AÑO,CVU,NOBILIS,NOMBRE DEL INVESTIGADOR,NIVEL,FECHA DE INICIO DE VIGENCIA,FECHA DE FIN DE VIGENCIA,ÁREA DEL CONOCIMIENTO,DISCIPLINA,SUBDISCIPLINA,ESPECIALIDAD,INSTITUCIÓN DE ADSCRIPCIÓN,DEPENDENCIA,ENTIDAD FEDERATIVA,PAÍS
2006,2404,DR.,"BAEZ LOPEZ, JOSE MIGUEL DAVID",1,2006-01-01,2009-12-31,VII.- INGENIERÍAS ,INGENIERIA DE COM. ELECT. Y CONTROL,ELECTRONICA,"CIRCUITOS, PROCESADO ANALOGICO Y DIGITAL DE SEÑALES",UNIVERSIDAD DE LAS AMERICAS PUEBLA,ESCUELA DE INGENIERIA,PUEBLA,MÉXICO
2006,4167,DR.,"BAEZ MACIAS, EDUARDO",1,2000-07-01,2010-06-30,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,HISTORIA,HISTORIA DEL ARTE,ARTE COLONIAL Y SIGLO XIX,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,INSTITUTO DE INVESTIGACIONES ESTETICAS,CIUDAD DE MÉXICO,MÉXICO
2006,3297,M.EN C.,"BAEZ PEDRAJO, ARMANDO",3,2000-07-01,2010-06-30,VII.- INGENIERÍAS ,INGENIERIA DE MATERIALES,INGENIERIA AMBIENTAL,QUIMICA ATMOSFERICA Y CONTAMINACION AMBIENTAL,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,CENTRO DE CIENCIAS DE LA ATMOSFERA,CIUDAD DE MÉXICO,MÉXICO
2006,11990,DR.,"BAEZ ROJAS, JOSE JAVIER",1,2004-01-01,2007-12-31,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA,OPTICA,IMAGENES MULTIESPECTRALES Y COLOR DIGITAL,"INSTITUTO NACIONAL DE ASTROFISICA OPTICA Y ELECTRONICA, (INAOE)",AREA DE OPTICA,PUEBLA,MÉXICO
2006,120228,DRA.,"BAEZ SALDAÑA, ARMIDA",1,2006-01-01,2008-12-31,II.- BIOLOGÍA Y QUÍMICA,BIOLOGIA,BIOQUIMICA,INMUNOLOG-A NUTRICIONAL,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,INSTITUTO DE INVESTIGACIONES BIOMEDICAS,CIUDAD DE MÉXICO,MÉXICO
2006,1308,DRA.,"BAEZA RAMIREZ, MARIA ISABEL",1,2004-01-01,2007-12-31,III.- MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD Y AMBIENTE,"GENETICA, BIOMEMBRANAS",INSTITUTO POLITÉCNICO NACIONAL,ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS,CIUDAD DE MÉXICO,MÉXICO
2006,31210,DR.,"BAGATELLA FLORES, NORMA",C,2004-01-01,2006-12-31,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA,MECANICA ESTADISTICA,TEORIA DE LIQUIDOS Y SISTEMAS BIOLOGICOS,UNIVERSIDAD VERACRUZANA,FACULTAD DE FISICA E INTELIGENCIA ARTIFICIAL,VERACRUZ DE IGNACIO DE LA LLAVE,MÉXICO
2006,19915,DR.,"BAH DIALLO, MAMADOU MOUSTAPHA",1,2005-01-01,2007-12-31,II.- BIOLOGÍA Y QUÍMICA,QUIMICA,QUIMICA ORGANICA,QUIMICA FARMACEUTICA (FARMACOGNOSIA),UNIVERSIDAD AUTONOMA DE QUERETARO,FACULTAD DE QUIMICA,QUERÉTARO,MÉXICO
2006,21689,DR.,"BAIER BURESCH, GEROLD",2,2005-01-01,2009-12-31,II.- BIOLOGÍA Y QUÍMICA,BIOLOGIA,BIOFISICA,SISTEMAS DINAMICOS NO-LINEALES,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,FACULTAD DE CIENCIAS,MORELOS,MÉXICO
2006,4619,DRA.,"BAILEY MORENO, ANA MARIA",2,2004-01-01,2008-12-31,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,BIOTECNOLOGIA,BIOTECNOLOGIA AGRICOLA,FITOPATOLOGIA,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,UNIDAD IRAPUATO,GUANAJUATO,MÉXICO
