NOMBRE DEL INVESTIGADOR
"JUAREZ HERNANDEZ,JULIAN"
"JUAREZ HERNANDEZ,MARIBEL"
"JUAREZ HERNANDEZ,PABLO"
"JUAREZ ISLAS,FRANCISCO JAVIER"
"JUAREZ ISLAS,JULIO ALBERTO"
"JUAREZ LOPEZ,ANA LAURA"
"JUAREZ LOPEZ,FERNANDO"
"JUAREZ LOPEZ,GUILLERMO"
"JUAREZ LOPEZ,JOSE ANTONIO"
"JUAREZ LOPEZ,JOSE MANUEL"
"JUAREZ LOPEZ,YARI"
"JUAREZ LOYA,ANGELICA"
"JUAREZ LUNA,DAVID"
"JUAREZ LUNA,VICTOR MANUEL"
"JUAREZ MARTINEZ,ABEL"
"JUAREZ MARTINEZ,CATALINA"
"JUAREZ MARTINEZ,GENARO"
"JUAREZ MARTINEZ,ULISES"
"JUAREZ MENDEZ,SERGIO"
"JUAREZ MENDOZA,OSCAR"
"JUAREZ MORALES,JOSE LUIS"
"JUAREZ MORENO,JUAN ANTONIO"
"JUAREZ MOSQUEDA,MARIA DE LOURDES"
"JUAREZ MUNOZ,JUANA"
"JUAREZ MUOZ,JUANA"
"JUAREZ NAJERA,MARGARITA"
"JUAREZ NIETO,CARLOS"
"JUAREZ NUEZ,JOSE MANUEL"
"JUAREZ NUNEZ,JOSE MANUEL"
"JUAREZ OROPEZA,MARCO ANTONIO"
"JUAREZ PEREZ,JOSE LUIS"
"JUAREZ RAMIREZ,CLARA"
"JUAREZ RAMIREZ,J. REYES"
"JUAREZ RAMIRO,LUIS"
"JUAREZ REYES,ALEJANDRO"
"JUAREZ RODRIGUEZ,MARIA DOLORES"
"JUAREZ RODRIGUEZ,PEDRO"
"JUAREZ ROMERO,MARGARITA"
"JUAREZ RUIZ,JUAN MANUEL"
"JUAREZ SALAZAR,RIGOBERTO"
"JUAREZ SANCHEZ,JOSE PEDRO"
"JUAREZ SANTIESTEBAN,HECTOR"
"JUAREZ TAPIA,JULIO CESAR"
"JUAREZ TOLEDO,RAFAEL"
"JUAREZ TORRES,ALEJANDRO"
"JUAREZ VAZQUEZ,ANA LILIA"
"JUAREZ VEGA,GUILLERMO"
"JUAREZ VELAZQUEZ,MARIA DEL ROCIO"
"JULIO MIRANDA,PATRICIA"
"JUNCO REY,MARIA DE LOS ANGELES"
"JURADO MOLINA,JESUS"
"JUSTO FERNANDEZ,ALFREDO"
"KAGEYAMA ESCOBAR,MARIA DE LA LUZ"
"KAIKINA,ELENA IGOREVNA"
"KALASHNIKOV,VIACHESLAV"
"KALASHNIKOV,VITALIY"
"KALMAN LANDMAN,JUDITH RACHAEL"
"KALMAN LANDMAN,JUDITH RACHEL"
"KANAOUN,SERGUEI"
"KAPLAN NAVARRO,JOSE CESAR"
"KENT SERNA,ROLLIN"
"KHARISSOV,BORIS ILDUSOVICH"
"KHARITONOV,VLADIMIR"
"KHARTCHENKO,VLADISLAV"
"KHOMENK,ANATOLY"
"KHOMENKO,ANATOLY"
"KHOTIAINTSEV DUSKRIATCHENKO,SERGUEI"
"KHOTYAINTSEV DUSKRIATCHENKO,SERGIY"
"KIDO CRUZ,ANTONIO"
"KINTO RAMIREZ,HECTOR"
"KLIMOVA BERESTNEVA,TATIANA"
"KOLB NEUHAUS,ROBERTO"
"KOLOKOLTSEV,OLEG"
"KORNEEV ZABELLO,NIKOLAI"
"KOSHEVA,SVITLANA"
"KOSHOVA,SVITLANA"
"KOSTER,ANDREAS"
"KOUDRIAVTSEV,IOURI"
"KOZLAREK,OLIVER"
"KRAL,KARLA"
"KRETZSCHMAR,THOMAS GUNTER"
"KRUTITSKAYA,ANASTASIA"
"KU CARRILLO,ROBERTO ALEJANDRO"
"KU CAUICH,JUAN CARLOS"
"KU VERA,JUAN CARLOS"
"KUCHERENKO GOLOVCHENKO,VALERI"
"KUMATE RODRIGUEZ,JESUS"
"LA O ARIAS,MANUEL ALEJANDRO"
"LABASTIDA RAMIREZ,ALEJANDRO"
"LABORDE DOVALI,FRANCISCO JAVIER"
"LAFAYE JACQUES,RENE"
"LAFAYE,JACQUES RENE"
"LAGARDA GARCIA,FRANCISCO OMAR"
"LAGUNA AGUILAR,MARICELA"
"LAGUNA CAMACHO,ANTONIO"
"LAGUNA MARTINEZ,MARIA GUADALUPE"
"LAGUNAS MARTINEZ,ALFREDO"
"LAGUNAS RANGEL,FRANCISCO ALEJANDRO"
"LAGUNES TORRES,ROBERTO"
"LAINEZ GONZALEZ,MAGDIEL"
"LAMADRID FIGUEROA,HECTOR MANUEL"
"LANDA HERNANDEZ,EMMANUEL"
"LANDA PINEDA,CESAR MANUEL"
"LANDA RAMIREZ,EDGAR"
"LANDA SALGADO,PATRICIA"
"LANDAVAZO ARIAS,MARCO ANTONIO"
"LANDAZURI BENITEZ,GISELA"
"LANDAZURI,BENITEZ GISELA"
"LANDERO HERNANDEZ,RENE"
"LANDERO HUERTA,DANIEL ADRIAN"
"LANDERO PEREZ,CAROLINA"
"LANDEROS JAIME,FRANCISCO JAVIER"
"LANDEROS SANCHEZ,BERTHA"
"LANDETA CORTES,GERARDO"
"LANDETA ESCAMILLA,OFELIA"
"LANDIN MIRANDA,MARIA DEL ROSARIO"
"LANGLE FLORES,ALFONSO"
"LANGLE FLORES,MIGUEL ANGEL"
"LANGSTON HAWKES,JOY"
"LARA ALVAREZ,CARLOS ALBERTO"
"LARA ARIAS,JORGE"
"LARA BANDA,MARIA DEL REFUGIO"
"LARA BUENO,ALEJANDRO"
"LARA CABALLERO,ALEJANDRO"
"LARA CABALLERO,MANUEL"
"LARA CAMACHO,EVANGELINA"
"LARA CAMACHO,VICTOR MANUEL"
"LARA CANTU,MARIA ASUNCION"
"LARA CARDOSO,JORGE"
"LARA CARMONA,VANESSA LIZBETH"
"LARA CHAVEZ,FERNANDO"
"LARA CRUZ,CARLOS"
"LARA CUEVAS,MARIA DOLORES"
"LARA DIAZ,ANA VERONICA"
"LARA DIAZ,VICTOR JAVIER"
"LARA ESQUEDA,AGUSTIN"
"LARA FLORES,MIGUEL"
"LARA FLORES,SARA MARIA"
"LARA GARCIA,HUGO ALBERTO"
"LARA GUERRA,HUMBERTO"
"LARA GUEVARA,ALBERTO"
"LARA HERNANDEZ,JOSE ANTONIO"
"LARA HERRERA,ALFREDO"
"LARA HIDALGO,CARLOS EDUARDO"
"LARA LARA,JAIME"
"LARA LARA,JOSE RUBEN"
"LARA LOPEZ,ANA LAURA"
"LARA LOPEZ,ARTURO"
"LARA LOPEZ,FELIPE"
"LARA LOPEZ,MARIA DE LOS ANGELES"
"LARA MARTINEZ,REYNA"
"LARA MENDEZ,AMACELI"
"LARA MENDOZA,RAUL ENRIQUE"
"LARA MIRELES,MARIA CONCEPCION"
"LARA MUNOZ,MARIA DEL CARMEN ELIZABETH"
"LARA ORTIZ,MARIA TERESA"
"LARA PINA,FERNANDO"
"LARA POMPA,NARA ELIZABETH"
"LARA PULIDO,JOSE ALBERTO"
"LARA RAMIREZ,RICARDO"
"LARA RAMOS,LUIS FERNANDO"
"LARA RAMOS,LUIS ROBERTO"
"LARA RESENDIZ,RAFAEL ALEJANDRO"
"LARA REYES,JESUS ANTONIO"
"LARA RIEGOS,JULIO CESAR"
"LARA RIVERA,JOSE ALEJANDRO"
"LARA RODRIGUEZ,ALVARO RAUL"
"LARA RODRIGUEZ,CARLOS ALBERTO"
"LARA RODRIGUEZ,DANIEL ALEJANDRO"
"LARA RODRIGUEZ,DOMINGO"
"LARA RODRIGUEZ,GABRIEL ANGEL"
"LARA RODRIGUEZ,JOSE ALEJANDRO"
"LARA RODRIGUEZ,LUIS DAVID"
"LARA RODRIGUEZ,LUIS MANUEL"
"LARA ROJAS,FERNANDO"
"LARA ROMERO,JAVIER"
"LARA ROMERO,LILY"
"LARA ROSANO,FELIPE DE JESUS"
"LARA RUIZ,JOSE DE JESUS"
"LARA VALDERRABANO,LEONARDO"
"LARA VELAZQUEZ,PEDRO"
"LARA VIVEROS,FRANCISCO MARCELO"
"LARA ZAVALA,NYDIA GUADALUPE"
"LARES JIMENEZ,LUIS FERNANDO"
"LARIOS LOPEZ,LETICIA"
"LARIOS RODRIGUEZ,EDUARDO ANTONIO"
"LARIOS ROSILLO,VICTOR MANUEL"
"LARIOS TREJO,JESUS ANTONIO"
"LARRAGA RAMIREZ,MARIA ELENA"
"LARRAZA RICO,SEBASTIAN"
"LARRE PEREZ,MARIA ISABEL"
"LARREA GALLO,FERNANDO"
"LASES HERNANDEZ,MARIA FERNANDA"
"LASTRA,MARIA SOLEDAD"
"LASTRAS MARTINEZ,LUIS FELIPE"
"LASTRAS MONTANO,MIGUEL ANGEL"
"LASTRE DOMINGUEZ,CARLOS MAURICIO"
"LAVALLE MARTINEZ,JOSE DE JESUS"
"LAVALLE MONTALVO,CARLOS"
"LAVIN DELGADO,JORGE ENRIQUE"
"LAZARO BAEZ,MARIA ISABEL"
"LAZARO HERNANDEZ,JORGE ADRIAN"
"LAZARO RUIZ,ELISEO"
"LAZCANO ORTIZ,MARGARITA"
"LAZCANO PEREZ,JOSE FERNANDO"
"LAZO CORVERA,JUAN PABLO"
"LAZO JAVALERA,MARIA FERNANDA"
"LAZOS CHAVERO,ELENA"
"LE BORGNE,SYLVIE"
"LE LAGADEC,RONAN MARIE"
"LEAL AVILA,MARIA DE LOS ANGELES"
"LEAL GARCIA,MA. LUISA"
"LEAL GARCIA,MARIA CONCEPCION"
"LEAL GARZA,CARLOS HUMBERTO"
"LEAL HERNANDEZ,MARISELA"
"LEAL LEAL,CARLOS ALEJANDRO"
"LEAL LEYTE,MARIA DEL PILAR"
"LEAL MENEGUS,ALEJANDRO"
"LEAL MORALES,CARLOS ALBERTO"
"LEAL NARANJO,JOSE ALFREDO"
"LEAL ORDOEZ,JULIO CESAR"
"LEAL ORDONEZ,JULIO CESAR"
"LEAL RAMOS,JESUS JAVIER"
"LEAL REYES,CARLOS ALBERTO"
"LEAL RIOS,FERNANDO"
"LEANOS MIRANDA,ALFREDO"
"LEAOS MIRANDA,ALFREDO"
"LECHUGA MONTENEGRO,JESUS"
"LECONA GUZMAN,CARLOS ALBERTO"
"LEDEA RODRIGUEZ,JOSE LEONARDO"
"LEDESMA ALONSO,RICARDO"
"LEDESMA VAZQUEZ,JORGE"
"LEDESMA ZALDIVAR,FEDERICO"
"LEDEZMA CAMPOS,MIGUEL ANGEL"
"LEDEZMA ROSAS,JOSE MANUEL"
"LEDEZMA TORRES,ROGELIO ALEJANDRO"
"LEDO VIDAL,JUAN MANUEL"
"LEE VERA,FELIPE DE JESUS"
"LEERO ELU,MARIA DEL CARMEN"
"LEIJA MARTINEZ,JOSE DE JESUS"
"LEIJA MARTINEZ,NEHEMIAS"
"LEIJA MENDOZA,ALEJANDRA"
"LEIJA SALAS,LORENZO"
"LEMUS LOPEZ,JAVIER"
"LEMUS RODRIGUEZ,ENRIQUE"
"LEMUS VARELA,MARIA DE LOURDES"
"LENERO ELU,MARIA DEL CARMEN"
"LEO AMADOR,GUILLERMO ENRIQUE"
"LEON ALVAREZ,DANIEL"
"LEON BORGES,JOSE ANTONIO"
"LEON CHAVEZ,MIGUEL ANGEL"
"LEON CISNEROS,KARLA"
"LEON CONTRERAS,JUAN CARLOS"
"LEON DE LA LUZ,JOSE LUIS"
"LEON DEL RIO,ALFONSO"
"LEON DOMINGUEZ,UMBERTO"
"LEON DUARTE,GUSTAVO ADOLFO"
"LEON FLORES,JESUS ALBERTO"
"LEON GALVAN,MIGUEL ANGEL"
"LEON GARCIA,ELIZABETH"
"LEON GARCIA,IMELDA"
"LEON GARCIA,RICARDO"
"LEON GARNICA,GERARDO"
"LEON GIL,JESUS ARMANDO"
"LEON HERNANDEZ,EFRAIN"
"LEON JIMENEZ,CAROLINA"
"LEON LOPEZ,ARELY"
"LEON LOPEZ,ARMANDO ALBERTO"
"LEON LOPEZ,JUAN ARTURO"
"LEON LOPEZ,LILIANA"
"LEON MALDONADO,ALEJANDRO"
"LEON MANRIQUEZ,JOSE LUIS"
"LEON MARTINEZ,FRANK MANUEL"
"LEON MEDINA,JOSE LUIS"
"LEON MEJIA,PATRICIA"
"LEON OCHOA,ESTEBAN MIGUEL"
"LEON OLAN,JUAN CARLOS"
"LEON ORTIZ,MIGUEL ANGEL"
"LEON ORTIZ,PABLO"
"LEON PATINO,CARLOS ALBERTO"
"LEON PATIO,CARLOS ALBERTO"
"LEON PEDROZA,JOSE ISRAEL"
"LEON PEREZ,ALFONSO"
"LEON PEREZ,FRANCISCO"
"LEON RODRIGUEZ,MIGUEL"
"LEON RODRIGUEZ,RENATO"
"LEON SALAZAR,CARLOS"
"LEON SANCHEZ,OMAR"
"LEON SANCHEZ,RIGOBERTO"
"LEON TAPIA,MIGUEL ANGEL"
"LEON VALDEZ,JOSE ANGEL"
"LEON VEGA,MARGARITA"
"LEON VELASCO,HORACIO"
"LEON VILLANUEVA,ANDRES"
"LEON Y RAMIREZ,CARLOS"
"LEON Y RAMIREZ,JUAN CARLOS"
"LEOS RODRIGUEZ,JUAN ANTONIO"
"LEPEZ GARCIA,RICARDO"
"LERMA GONZALEZ,CLAUDIA"
"LERMA RODRIGUEZ,ENRIQUETA"
"LEY CERVANTES,MELISSA"
"LEY CHAVEZ,ADRIANA"
"LEY DOMINGUEZ,DAVID"
"LEY GARCIA,JUDITH"
"LEYVA CASTELLANOS,ABEL"
"LEYVA CONTRERAS,AMANDO"
"LEYVA DANIEL,DIANA ELIZABETH"
"LEYVA GOMEZ,GERARDO"
"LEYVA GOMEZ,HECTOR"
"LEYVA HERNANDEZ,HECTOR ALEJANDRO"
"LEYVA LOPEZ,JUAN CARLOS"
"LEYVA LOPEZ,NAYELY"
"LEYVA LOPEZ,NORMA ELENA"
"LEYVA MARTINEZ,GUSTAVO"
"LEYVA PINA,MARCO ANTONIO"
"LEYVA RAMOS,JESUS"
"LEYVA RAMOS,ROBERTO"
"LEYVA VAZQUEZ,JORGE LUIS"
"LEYVA VAZQUEZ,MARCO ANTONIO"
"LEYVA,JUAN MANUEL"
"LEZAMA ANDALON,FRANCISCO JAVIER"
"LEZAMA CERVANTES,CARLOS"
"LEZAMA MARTINEZ,DIEGO"
"LEZNOV,ANDREY NIKOLAEVICH"
"LICEA JIMENEZ,LILIANA"
"LICEA RODRIGUEZ,JACOB"
"LICEAGA CORREA,MARIA DE LOS ANGELES"
"LIDA GARCIA,CLARA EUGENIA"
"LIEBANO HERNANDEZ,ENRIQUE"
"LIJANOVA,IRINA VICTOROVNA"
"LIMA MALVIDO,MARIA DE LA LUZ"
"LIMA PEREZ,JORGE"
"LIMAS HERNANDEZ,ALFREDO"
"LIMAS HERNANDEZ,MYRNA"
"LIMON ROMERO,JORGE"
"LIMON SANCHEZ,MARIA DE LOS ANGELES"
"LINARES CEDENO,FRANCISCO XAVIER"
"LINARES FLORES,JESUS"
"LINARES GARCIA,GABRIEL"
"LINARES GARCIA,JOSE ANTONIO"
"LINARES MAZARI,MARIA EDELMIRA"
"LIRA GALEANA,CARLOS"
"LIRA GONZALEZ,ANDRES"
"LIRA HERNANDEZ,IVAN ALONSO"
"LIRA LOPEZ,LILIANA"
"LIRA NORIEGA,ANDRES"
"LIRA PEREZ,JOSE DE JESUS"
"LIRA RICARDEZ,JOSE DE JESUS"
"LIRA SILVA,ELIZABETH"
"LIRA VASQUEZ,CARLOS ANTONIO DE JESUS"
"LIU,HONGBO"
"LIVAS GARCIA,ADRIAN"
"LIVERA MUNOZ,MANUEL"
"LIVERA MUOZ,MANUEL"
"LIZARDI MENDOZA,JAIME"
"LIZARRAGA HERNANDEZ,ARTURO"
"LIZARRAGA LIZARRAGA,GIOVANNI"
"LIZARRAGA LOPEZ,DANEIDA"
"LIZARRAGA MORALES,OMAR"
"LIZCANO FERNANDEZ,FRANCISCO"
"LLAMA LEAL,MIGUEL ANGEL"
"LLAMAS GARCIA,ARCELIA"
"LLAMAS GARRO,IGNACIO"
"LLANDERAL CAZARES,CELINA"
"LLANES CANEDO,CLAUDIA"
"LLANO SOTELO,JOSE MANUEL"
"LLANOS GOMEZ,MIGUEL ANGEL"
"LLANOS RAMIREZ,MARIA DEL CARMEN"
"LLANOS SERRANO,MARIA ELENA"
"LLEDIAS MARTINEZ,JOSE FERNANDO"
"LLERA HERRERA,RAUL ANTONIO"
"LLERA PACHECO,FRANCISCO JAVIER"
"LOBATO ORTIZ,RICARDO"
"LOBATO TAPIA,CARLOS ALBERTO"
"LOBO RODRIGUEZ,MARTHA OFELIA"
"LOCIA ESPINOZA,JOSE"
"LOERA ALVARADO,ESPERANZA"
"LOERA ALVARADO,GERARDO"
"LOERA ARIAS,MARIA DE JESUS"
"LOERA CASTAEDA,VERONICA"
"LOERA CASTANEDA,VERONICA"
"LOERA HERNANDEZ,IMELDA DE JESUS"
"LOEZA CORTE,JUAN MANUEL"
"LOEZA REYES,LAURA"
"LOINARD,LAURENT RAYMOND"
"LOMAS BARRIE,VICTOR MANUEL"
"LOMAS SORIA,MARIA DEL CONSUELO"
"LOME HURTADO,ALEJANDRO"
"LOMELI GONZALEZ,ARTURO"
"LOMELI GONZALEZ,JOEL"
"LOMELI RAMIREZ,MARIA GUADALUPE"
"LOMELI SANTOS,LUIS ALBERTO"
"LONA REYES,JUAN CARLOS"
"LONGAR BLANCO,MARIA DEL PILAR"
"LONGORIA HERNANDEZ,ADRIANA MARGARITA"
"LOPE ALZINA,DIANA GABRIELA"
"LOPEZ ACOSTA,JUAN CARLOS"
"LOPEZ ACOSTA,NORMA PATRICIA"
"LOPEZ AGUAYO,DANIEL"
"LOPEZ AGUILAR,FERNANDO"
"LOPEZ AGUILAR,KELVIN"
"LOPEZ AGUILAR,XOCHITL"
"LOPEZ AGUIRRE,DANIEL"
"LOPEZ AGUIRRE,JOSE LUIS"
"LOPEZ AGUIRRE,SAMUEL"
"LOPEZ ALANIS,ALBERTO"
"LOPEZ ALCOCER,JOSE DE JESUS"
"LOPEZ ALFARO,GILBERTO"
"LOPEZ ALMEJO,JOSE DE JESUS"
"LOPEZ ALONSO,SERGIO"
"LOPEZ ALONSO,VERONICA ELSA"
"LOPEZ ALVARENGA,JUAN CARLOS"
"LOPEZ ALVAREZ,BRISEIDA"
"LOPEZ ALVAREZ,MIGUEL ANGEL"
"LOPEZ ANDRADE,CARLOS ALBERTO"
"LOPEZ ANGEL,GUSTAVO"
"LOPEZ ANGULO,GABRIELA"
"LOPEZ APREZA,EDMUNDO"
"LOPEZ ARELLANO,MARCELA"
"LOPEZ ARELLANO,MARIA EUGENIA"
"LOPEZ ARELLANO,OLIVA"
"LOPEZ ARELLANO,RAQUEL"
"LOPEZ ARENAS,MARIA TERESA"
"LOPEZ AREVALO,JORGE"
"LOPEZ AREVALO,SAUL"
"LOPEZ ARRIAGA,ELSA"
"LOPEZ ARROYO,J. ISABEL"
"LOPEZ ARROYO,JOSE ISABEL"
"LOPEZ AUSTIN,ALFREDO"
"LOPEZ AVALOS,MARTIN"
"LOPEZ AVILES,GUADALUPE"
"LOPEZ AVITIA,ROBERTO"
"LOPEZ AYLLON,SERGIO"
"LOPEZ AYMES,GABRIELA"
"LOPEZ BADILLA,GUSTAVO"
"LOPEZ BAEZ,ISRAEL"
"LOPEZ BALTAZAR,JAVIER"
"LOPEZ BARCENAS,FRANCISCO JAVIER"
"LOPEZ BARRAZA,LYDIA MARIA"
"LOPEZ BARRERA,FABIOLA"
"LOPEZ BARRERA,JOSE ANTONIO"
"LOPEZ BARRERAS,JUAN ANDRES"
"LOPEZ BARRIENTOS,JOSE DANIEL"
"LOPEZ BASTIDAS,CATALINA"
"LOPEZ BATIZ,OSCAR ALBERTO"
"LOPEZ BAUTISTA,EVERARDO"
"LOPEZ BAUTISTA,MARIA DEL CARMEN"
"LOPEZ BELTRAN,ANA MARIA"
"LOPEZ BELTRAN,CARLOS"
"LOPEZ BENITEZ,ACELA"
"LOPEZ BETANCOURT,RAUL EDUARDO"
"LOPEZ BLANCO,JORGE"
"LOPEZ BOLANOS,RUBEN"
"LOPEZ BOLAOS,RUBEN"
"LOPEZ BONILLA,MARIA GUADALUPE"
"LOPEZ BRAVO,ROBERTO"
"LOPEZ BUCIO,JOSE"
"LOPEZ CAAMAL,ALFREDO"
"LOPEZ CAAMAL,FERNANDO"
"LOPEZ CABALLERO,MIGUEL"
"LOPEZ CABALLERO,PAULA"
"LOPEZ CABRERA,BRENDA"
"LOPEZ CALDERON,JORGE MANUEL"
"LOPEZ CALLEJAS,REGULO"
"LOPEZ CALVA,LUIS FELIPE"
"LOPEZ CALZADA,GABRIEL"
"LOPEZ CAMACHO,CESAR"
"LOPEZ CANALES,OSCAR ALBERTO"
"LOPEZ CANCINO,SURY ANTONIO"
"LOPEZ CARDOSO,ELIA MARCELA"
"LOPEZ CARLOS,MARCO ANTONIO"
"LOPEZ CARMONA,ANA MARIA"
"LOPEZ CARMONA,DANTE ALEJANDRO"
"LOPEZ CARMONA,FERNANDO"
"LOPEZ CARMONA,JUAN MANUEL"
"LOPEZ CARRERA,BENJAMIN"
"LOPEZ CARRETO,JUAN MANUEL"
"LOPEZ CARRILLO,LIZBETH"
"LOPEZ CARVALLO,JESUS ANTONIO"
"LOPEZ CASILLAS,FERNANDO"
"LOPEZ CASTAEDA,CANDIDO"
"LOPEZ CASTANEDA,ANTONIO"
"LOPEZ CASTANEDA,CANDIDO"
"LOPEZ CASTELLANOS,NAYAR"
"LOPEZ CASTILLO,GILBERTO"
"LOPEZ CASTILLO,LAURA MARGARITA"
"LOPEZ CASTILLO,MIGUEL ANGEL"
"LOPEZ CASTRO,GABRIEL"
"LOPEZ CASTRO,GUSTAVO"
"LOPEZ CERINO,MARISOL"
"LOPEZ CERVANTES,AIDA"
"LOPEZ CERVANTES,JAIME"
"LOPEZ CERVANTES,JOSE LUIS"
"LOPEZ CHAVARRIA,JOSE LUIS"
"LOPEZ CHAVEZ,ERNESTO"
"LOPEZ CHUKEN,ULRICO JAVIER"
"LOPEZ CISNEROS,SONIA"
"LOPEZ COELLO,CARLOS"
"LOPEZ COLOME,ANA MARIA"
"LOPEZ CONTRERAS,GUADALUPE"
"LOPEZ CONTRERAS,YOLANDA"
"LOPEZ CORRAL,ALFONSO"
"LOPEZ CORRAL,AURELIO"
"LOPEZ CORTES,ALEJANDRO"
"LOPEZ CORTES,DANIEL"
"LOPEZ CORTES,JOSE GUADALUPE"
"LOPEZ CRUZ,JOSE ELIAS"
"LOPEZ CRUZ,OMAR"
"LOPEZ CRUZ,PEDRO"
"LOPEZ CRUZ,RAFAEL"
"LOPEZ CUELLAR,MA DEL ROCIO"
"LOPEZ CUELLAR,MA. DEL ROCIO"
"LOPEZ CUENCA,SUSANA"
"LOPEZ CUEVAS,JORGE"
"LOPEZ CUEVAS,OSVALDO"
"LOPEZ CURIEL,JULIO CESAR"
"LOPEZ DE ALBA,CARLOS ALBERTO"
"LOPEZ DE HARO,PEDRO ANTONIO"
"LOPEZ DELGADO,ROSENDO"
"LOPEZ DIAZ DE LEON,CARLOS"
"LOPEZ DIAZ,ANDREA SELENE"
"LOPEZ DIAZ,JOSE ALBERTO"
"LOPEZ DIAZ,JUAN LUIS"
"LOPEZ DOMINGUEZ,EDUARDO"
"LOPEZ DOMINGUEZ,JESUS ALBERTO"
"LOPEZ ELIAS,JOSE ANTONIO"
"LOPEZ ESCOBAR,LUIS ANTONIO"
"LOPEZ ESPARZA,RICARDO"
"LOPEZ ESPINOZA,ANTONIO"
"LOPEZ ESPINOZA,MARCO ANTONIO"
"LOPEZ ESTRADA,JESUS"
"LOPEZ ESTRADA,RAUL EDUARDO"
"LOPEZ ESTRADA,SILVIA"
"LOPEZ FARIAS,RODRIGO"
"LOPEZ FELIX,GABRIELA"
"LOPEZ FERNANDEZ,ADRIANA"
"LOPEZ FERNANDEZ,RICARDO"
"LOPEZ FLORES,DAVID"
"LOPEZ FLORES,LETICIA"
"LOPEZ FLORES,RENE"
"LOPEZ FORJAS,MANUEL"
"LOPEZ FRANCO,CARLOS ALBERTO"
"LOPEZ FRANCO,GUILLERMO"
"LOPEZ FRANCO,OSCAR"
"LOPEZ FRANCO,YOLANDA LETICIA"
"LOPEZ FUERTE,FRANCISCO OMAR"
"LOPEZ GALINDO,LAURA LILIANA"
"LOPEZ GALLARDO,JULIO"
"LOPEZ GALLEGOS,ALEJANDRO"
"LOPEZ GAMBOA,GALO EMANUEL"
"LOPEZ GARCIA,ANA ISABEL"
"LOPEZ GARCIA,CLAUDIA MARINA"
"LOPEZ GARCIA,CLAUDIO"
"LOPEZ GARCIA,ERIK"
"LOPEZ GARCIA,ERIKA MARIA"
"LOPEZ GARCIA,FRANCISCO JAVIER"
"LOPEZ GARCIA,FRANCISCO MARCOS"
"LOPEZ GARCIA,IRVIN"
"LOPEZ GARCIA,JOSE"
"LOPEZ GARCIA,JOSE ALBERTO"
"LOPEZ GARCIA,JUAN"
"LOPEZ GARCIA,KENIA"
"LOPEZ GARCIA,MARIA DE LOURDES"
"LOPEZ GARCIA,MARIA MINERVA"
"LOPEZ GARCIA,PEDRO ANTONIO"
"LOPEZ GARZA,ESMERALDA"
"LOPEZ GARZA,GABRIEL"
"LOPEZ GARZA,MARTHA PATRICIA"
"LOPEZ GARZA,VICTOR"
"LOPEZ GIL,JOSE SALVADOR"
"LOPEZ GIL,SILVIA"
"LOPEZ GODINEZ,JUANA"
"LOPEZ GOMEZ,JAVIER"
"LOPEZ GOMEZ,JESUS"
"LOPEZ GOMEZ,MARIO"
"LOPEZ GOMEZ,RODOLFO"
"LOPEZ GOMEZ,SANDRA AREMY"
"LOPEZ GOMEZ,VICTOR"
"LOPEZ GONZALEZ,ALEXANDER"
"LOPEZ GONZALEZ,ALEXANDRO"
"LOPEZ GONZALEZ,ARALIA"
"LOPEZ GONZALEZ,BILY"
"LOPEZ GONZALEZ,CARLOS ALBERTO"
"LOPEZ GONZALEZ,DESIREE"
"LOPEZ GONZALEZ,GEHOVA"
"LOPEZ GONZALEZ,GEORGINA"
"LOPEZ GONZALEZ,IGNACIO"
"LOPEZ GONZALEZ,JAVIER"
"LOPEZ GONZALEZ,JESUS ALBERTO"
"LOPEZ GONZALEZ,JOSE"
"LOPEZ GONZALEZ,JUAN ALBERTO"
"LOPEZ GONZALEZ,MOISES"
"LOPEZ GONZALEZ,ROCIO"
"LOPEZ GONZALEZ,ROSENDO"
"LOPEZ GONZALEZ,SILVIA PATRICIA"
"LOPEZ GONZALEZ,ZINAELI"
"LOPEZ GOPAR,MARIO ENRIQUE"
"LOPEZ GRANADOS,ERNA MARTHA"
"LOPEZ GUERRERO,AIDA"
"LOPEZ GUERRERO,IRMA"
"LOPEZ GUERRERO,JAHEL"
"LOPEZ GUEVARA,VICTOR MANUEL"
"LOPEZ GUTIERREZ,JESUS RICARDO"
"LOPEZ GUZMAN,GRACIELA GUADALUPE"
"LOPEZ HERNANDEZ,ALBERTO"
"LOPEZ HERNANDEZ,CARLOS EDUARDO"
"LOPEZ HERNANDEZ,DIANA"
"LOPEZ HERNANDEZ,EDUARDO SALVADOR"
"LOPEZ HERNANDEZ,FRANCISCO JOSE"
"LOPEZ HERNANDEZ,HAYDEE"
"LOPEZ HERNANDEZ,ISAIAS"
"LOPEZ HERNANDEZ,ISRAEL ALEJANDRO"
"LOPEZ HERNANDEZ,JOSE RUDIER"
"LOPEZ HERNANDEZ,JUAN CARLOS"
"LOPEZ HERNANDEZ,LUIS HUMBERTO"
"LOPEZ HERNANDEZ,LUZ BERENICE"
"LOPEZ HERNANDEZ,MIRIAM"
"LOPEZ HERNANDEZ,OLGA NACORI"
"LOPEZ HERNANDEZ,OSVALDO"
"LOPEZ HERNANDEZ,YAMILE"
"LOPEZ HERRERA,AMELIA"
"LOPEZ HERRERA,FRANCISCO"
