NOMBRE DEL INVESTIGADOR
"AGUILAR VELAZQUEZ,DANIEL"
"AGUILAR VELAZQUEZ,JOSE ALONSO"
"AGUILAR YE,ARTURO"
"AGUILAR ZARATE,MAYRA"
"AGUILAR ZARATE,PEDRO"
"AGUILAR ZAVOZNIK,ALEJANDRO"
"AGUILAR,CESAR ANTONIO"
"AGUILERA AGUIRRE,SELENE"
"AGUILERA GONZALEZ,ELSA NADIA"
"AGUILERA IZAGUIRRE,GUSTAVO"
"AGUILERA MIRANDA,MARIA ELENA"
"AGUILERA ONTIVEROS,ANTONIO"
"AGUILERA RIVERA,DIANA"
"AGUILERA VELASCO,MARIA DE LOS ANGELES"
"AGUILETA ESTRADA,MIGUEL ANGEL"
"AGUIRRE ALVAREZ,GABRIEL"
"AGUIRRE ANAYA,ELEAZAR"
"AGUIRRE ANAYA,MARIA DEL CARMEN"
"AGUIRRE BECERRA,HUMBERTO"
"AGUIRRE CADENA,JUAN FRANCISCO"
"AGUIRRE CERVANTES,JOSE LUIS"
"AGUIRRE CHAVEZ,JUAN FRANCISCO"
"AGUIRRE CRESPO,FRANCISCO JAVIER"
"AGUIRRE DIAZ,SARA ALEJANDRA"
"AGUIRRE GAMBOA,PATRICIA DEL CARMEN"
"AGUIRRE GARCIA,MARIA MAGDALENA"
"AGUIRRE GOMEZ,ARTURO"
"AGUIRRE GOMEZ,JOSE ALFONSO"
"AGUIRRE GOMEZ,RAUL"
"AGUIRRE GONZALEZ,JORGE"
"AGUIRRE GUTIERREZ,CARLOS ALBERTO"
"AGUIRRE HERNANDEZ,EVA"
"AGUIRRE HERNANDEZ,GERARDO"
"AGUIRRE HERNANDEZ,JESUS"
"AGUIRRE HERNANDEZ,JORGE MANUEL"
"AGUIRRE HERNANDEZ,REBECA"
"AGUIRRE LAM,MARCO ANTONIO"
"AGUIRRE LINARES,JESUS"
"AGUIRRE LOPEZ,ARTURO"
"AGUIRRE LOPEZ,JUAN MANUEL"
"AGUIRRE LOPEZ,MARIO ALBERTO"
"AGUIRRE MANDUJANO,ELEAZAR"
"AGUIRRE MEDINA,JUAN FRANCISCO"
"AGUIRRE MORENO,ARTURO"
"AGUIRRE OLIVAS,DILIA"
"AGUIRRE PEREZ,DALIA MARIA"
"AGUIRRE RAMIREZ,EDWIN"
"AGUIRRE ROJAS,CARLOS ANTONIO"
"AGUIRRE SALA,JORGE FRANCISCO"
"AGUIRRE SALADO,CARLOS ARTURO"
"AGUIRRE SOTELO,VICTOR NESTOR"
"AGUNDEZ MARQUEZ,ROBERTO"
"AGUNDIS MATA,MARIA CONCEPCION"
"AIL CATZIM,CARLOS ENRIQUE"
"AINAGA VARGAS,MARIA DEL CARMEN"
"AJURIA IBARRA,ENRIQUE"
"AKE CASTILLO,JOSE ANTOLIN"
"AKE HAU,LUIS ALBERTO"
"AKE LOPEZ,JESUS RICARDO"
"ALAGON CANO,ALEJANDRO"
"ALAMILLA DANIEL,MA. DE LOS ANGELES"
"ALAMILLA LOPEZ,JORGE LUIS"
"ALANIS GARCIA,ALMA YOLANDA"
"ALANIS GARCIA,ERNESTO"
"ALANIS HERRERA,MARIA MAGDALENA"
"ALANIS LOPEZ,LILIA"
"ALANIS MENDEZ,JOSE LUIS"
"ALANIS MORALES,JOSE"
"ALANIS PEREZ,JAVIER"
"ALANIS RODRIGUEZ,EDUARDO"
"ALANIZ GUTIERREZ,LUIS"
"ALARCON AGUILAR,FRANCISCO JAVIER"
"ALARCON CANTU,EDUARDO"
"ALARCON FLORES,GILBERTO"
"ALARCON GUTIERREZ,ENRIQUE"
"ALARCON OLGUIN,VICTOR MANUEL"
"ALARCON RODRIGUEZ,NORMA MARINA"
"ALARCON,ALEJANDRO"
"ALAVEZ RAMIREZ,ALEJANDRO"
"ALAVEZ RAMIREZ,JUSTINO"
"ALBA ALDAVE,MARIA CRISTINA"
