NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY,NOMBRE_INVESTIGADOR_NORM,NOMBRE_PATENTE_NORM,ES_MISMA_PERSONA,SCORE,DETALLES
"ESPINOSA GARCIA,ANA CECILIA","ESPINOZA,CECILIA",6.9,"ESPINOSA GARCIA,ANA CECILIA","ESPINOZA,CECILIA",False,60.0,Institución
"ESPINOZA RAMIREZ,CESAR","ESPINOZA,CESAR",8.3,"ESPINOZA RAMIREZ,CESAR","ESPINOZA,CESAR",False,60.0,Institución
"ESQUIVEL MARTINEZ,JUAN MANUEL","ESQUIVEL,JUAN MANUEL",82.0,"ESQUIVEL MARTINEZ,JUAN MANUEL","ESQUIVEL,JUAN MANUEL",False,60.0,Institución
"ESTRADA GARCIA,IRIS CITLALI ELVIRA","ESTRADA GARCIA,IRIS CITLATI ELVIRA",9.7,"ESTRADA GARCIA,IRIS CITLALI ELVIRA","ESTRADA GARCIA,IRIS CITLATI ELVIRA",False,38.8,Similitud Nombre (97%)
"ESTRADA GUEL,IVANOVICH","ESTRADA GUEL,IVANOVICH",100.0,"ESTRADA GUEL,IVANOVICH","ESTRADA GUEL,IVANOVICH",False,40.0,Sin coincidencias
"ESTRADA VARGAS,ANA PAULA","ESTRADA VARGAS,ANA PAULA",100.0,"ESTRADA VARGAS,ANA PAULA","ESTRADA VARGAS,ANA PAULA",False,60.0,Fecha
"ESTRADA MARTINEZ,JORGE","ESTRADA,JORGE",8.0,"ESTRADA MARTINEZ,JORGE","ESTRADA,JORGE",False,40.0,Sin coincidencias
"ESTRADA HAEN,JOSE LUIS","ESTRADA,JOSE LUIS",8.6,"ESTRADA HAEN,JOSE LUIS","ESTRADA,JOSE LUIS",False,60.0,Institución
"ESTRADA AVALOS,JUAN","ESTRADA,JUAN",8.3,"ESTRADA AVALOS,JUAN","ESTRADA,JUAN",False,60.0,Institución
"FARIAS MANCILLA,JOSE RURIK","FARIAS MANCILLA,JOSE RURIK",100.0,"FARIAS MANCILLA,JOSE RURIK","FARIAS MANCILLA,JOSE RURIK",False,40.0,Sin coincidencias
"FEMAT FLORES,ALEJANDRO RICARDO","FEMAT FLORES,ALEJANDO RICARDO",9.8,"FEMAT FLORES,ALEJANDRO RICARDO","FEMAT FLORES,ALEJANDO RICARDO",False,60.0,Institución
"FEMAT FLORES,ALEJANDRO RICARDO","FEMAT FLORES,ALEJANDRO RICARDO",100.0,"FEMAT FLORES,ALEJANDRO RICARDO","FEMAT FLORES,ALEJANDRO RICARDO",False,60.0,Institución
"FEREGRINO URIBE,CLAUDIA","FEREGRINO URIBE,CLAUDIA",100.0,"FEREGRINO URIBE,CLAUDIA","FEREGRINO URIBE,CLAUDIA",False,40.0,Similitud Nombre (100%)
"FERNANDEZ DE CASTRO PEREDO,JORGE","FERNANDEZ DE CASTRO,JORGE",9.2,"FERNANDEZ DE CASTRO PEREDO,JORGE","FERNANDEZ DE CASTRO,JORGE",False,40.0,Sin coincidencias
"FERNANDEZ FUENTES,ANTONIO","FERNANDEZ FUENTES,ANTONIO",100.0,"FERNANDEZ FUENTES,ANTONIO","FERNANDEZ FUENTES,ANTONIO",False,60.0,Institución
"FERNANDEZ TAVIZON,SALVADOR","FERNANDEZ TAVIZON,SALVADOR",100.0,"FERNANDEZ TAVIZON,SALVADOR","FERNANDEZ TAVIZON,SALVADOR",False,40.0,Sin coincidencias
"FERNANDEZ RUIZ,JUAN","FERNANDEZ,JUAN",8.9,"FERNANDEZ RUIZ,JUAN","FERNANDEZ,JUAN",False,60.0,Institución
"FERRAT TORRES,GERARDO","FERRAT TORRES,GERARDO",100.0,"FERRAT TORRES,GERARDO","FERRAT TORRES,GERARDO",False,60.0,Institución
"FERREIRA BATISTA,CESAR VICENTE","FERREIRA BATISTA,CESAR VICENTE",100.0,"FERREIRA BATISTA,CESAR VICENTE","FERREIRA BATISTA,CESAR VICENTE",False,60.0,Institución
"FERRO FLORES,GUILLERMINA","FERRO FLORES,GUILLERMINA",100.0,"FERRO FLORES,GUILLERMINA","FERRO FLORES,GUILLERMINA",False,60.0,Institución
"FIGUEROA YANEZ,LUIS JOEL","FIGUEROA YANEZ,LUIS JOEL",100.0,"FIGUEROA YANEZ,LUIS JOEL","FIGUEROA YANEZ,LUIS JOEL",False,40.0,Similitud Nombre (100%)
"FIGUEROA IBARRA,CARLOS ALBERTO","FIGUEROA,CARLOS ALBERTO",8.4,"FIGUEROA IBARRA,CARLOS ALBERTO","FIGUEROA,CARLOS ALBERTO",False,60.0,Institución
"FLORES HIGUERA,FRANCISCO ANTONIO","FIGUEROA,FRANCISCO RAMON",7.2,"FLORES HIGUERA,FRANCISCO ANTONIO","FIGUEROA,FRANCISCO RAMON",False,60.0,Institución
"ROMERO FIGUEROA,GUILLERMO","FIGUEROA,GUILLERMO",8.4,"ROMERO FIGUEROA,GUILLERMO","FIGUEROA,GUILLERMO",True,80.0,"Institución, Fecha"
"FLORES FLORES,RODOLFO","FLORES FLORES,RODOLFO",100.0,"FLORES FLORES,RODOLFO","FLORES FLORES,RODOLFO",False,40.0,Similitud Nombre (100%)
"FLORES GALLARDO,SERGIO GABRIEL","FLORES GALLARDO,SERGIO GABRIEL",100.0,"FLORES GALLARDO,SERGIO GABRIEL","FLORES GALLARDO,SERGIO GABRIEL",False,40.0,Sin coincidencias
"FLORES OROPEZA,EUGENIO ALEJANDRO","FLORES OROPEZA,EUGENIO ALEJANDRO",100.0,"FLORES OROPEZA,EUGENIO ALEJANDRO","FLORES OROPEZA,EUGENIO ALEJANDRO",False,60.0,Institución
"FLORES RAMOS,MIGUEL ANGEL","FLORES RAMOS,MIGUEL ANGEL",100.0,"FLORES RAMOS,MIGUEL ANGEL","FLORES RAMOS,MIGUEL ANGEL",False,60.0,Fecha
"FLORES SANCHEZ,PATRICIA","FLORES SANCHEZ,PATRICIA",100.0,"FLORES SANCHEZ,PATRICIA","FLORES SANCHEZ,PATRICIA",False,60.0,Institución
"FLORES SANDOVAL,CESAR ANDRES","FLORES SANDOVAL,CESAR ANDRES",100.0,"FLORES SANDOVAL,CESAR ANDRES","FLORES SANDOVAL,CESAR ANDRES",False,60.0,Institución
"FLORES SANTOS,LETICIA","FLORES SANTOS,LETICIA",100.0,"FLORES SANTOS,LETICIA","FLORES SANTOS,LETICIA",False,40.0,Sin coincidencias
"FLORES VALDEZ,MARIO ALBERTO","FLORES VALDEZ,MARIO ALBERTO",100.0,"FLORES VALDEZ,MARIO ALBERTO","FLORES VALDEZ,MARIO ALBERTO",False,40.0,Similitud Nombre (100%)
"FLORES GARCIA,ANDRES","FLORES,ANDRES J",7.4,"FLORES GARCIA,ANDRES","FLORES,ANDRES J",False,37.2,Similitud Nombre (93%)
"FLORES GOMEZ,CARLOS ALBERTO","FLORES,CARLOS ALBERTO CONCHA",7.3,"FLORES GOMEZ,CARLOS ALBERTO","FLORES,CARLOS ALBERTO CONCHA",False,40.0,Sin coincidencias
"FLORES CURIEL,DANIEL","FLORES,DANIEL",8.1,"FLORES CURIEL,DANIEL","FLORES,DANIEL",False,60.0,Institución
"FLORES LOPEZ,EMIGDIO Z.","FLORES,EMIGDIO Z",8.0,"FLORES LOPEZ,EMIGDIO Z.","FLORES,EMIGDIO Z",False,40.0,Similitud Nombre (100%)
"FLORES GARCIA,FERNANDO","FLORES,FERNANDO",8.1,"FLORES GARCIA,FERNANDO","FLORES,FERNANDO",True,80.0,"Institución, Fecha"
"FLORES LOPEZ,JOSE MANUEL","FLORES,JOSE MANUEL",8.3,"FLORES LOPEZ,JOSE MANUEL","FLORES,JOSE MANUEL",False,60.0,Fecha
"FLORES GRACIA,JUAN","FLORES,JUAN F",7.1,"FLORES GRACIA,JUAN","FLORES,JUAN F",False,36.8,Similitud Nombre (92%)
"FLORES MEJIA,RAUL","FLORES,RAUL",8.3,"FLORES MEJIA,RAUL","FLORES,RAUL",False,60.0,Institución
"FLORES DAVILA,RODRIGO","FLORES,RODRIGO F",7.5,"FLORES DAVILA,RODRIGO","FLORES,RODRIGO F",False,37.2,Similitud Nombre (93%)
"FLOTA BANUELOS,MANUEL ISRAEL","FLOTA BANUELOS,MANUEL ISRAEL",100.0,"FLOTA BANUELOS,MANUEL ISRAEL","FLOTA BANUELOS,MANUEL ISRAEL",False,40.0,Similitud Nombre (100%)
"FRAGOSO GONZALEZ,GLADIS DEL CARMEN","FRAGOSO GONZALEZ,GLADIS DEL CARMEN",100.0,"FRAGOSO GONZALEZ,GLADIS DEL CARMEN","FRAGOSO GONZALEZ,GLADIS DEL CARMEN",False,60.0,Institución
"FUENTES AGUILAR,RITA QUETZIQUEL","FUENTES AGUILAR,RITA QUETZIQUEL",100.0,"FUENTES AGUILAR,RITA QUETZIQUEL","FUENTES AGUILAR,RITA QUETZIQUEL",False,60.0,Institución
"FUENTES MOYADO,SERGIO","FUENTES MOYADOS,SERGIO",9.8,"FUENTES MOYADO,SERGIO","FUENTES MOYADOS,SERGIO",False,60.0,Institución
"FUENTES MOYADO,SERGIO","FUENTES,SERGIO",8.3,"FUENTES MOYADO,SERGIO","FUENTES,SERGIO",False,60.0,Institución
"GALINDO ESQUIVEL,IGNACIO RENE","GALINDO ESQUIVEL,IGNACIO RENE",100.0,"GALINDO ESQUIVEL,IGNACIO RENE","GALINDO ESQUIVEL,IGNACIO RENE",False,60.0,Institución
"GALINDO SEVILLA,NORMA DEL CARMEN","GALINDO SEVILLA,NORMA DEL CARMEN",100.0,"GALINDO SEVILLA,NORMA DEL CARMEN","GALINDO SEVILLA,NORMA DEL CARMEN",False,40.0,Sin coincidencias
"GALLEGOS ROBLES,MIGUEL ANGEL","GALLEGOS,MIGUEL ANGEL",8.4,"GALLEGOS ROBLES,MIGUEL ANGEL","GALLEGOS,MIGUEL ANGEL",False,60.0,Institución
"GAMBA AYALA,GERARDO","GAMBA,GERARDO",81.2,"GAMBA AYALA,GERARDO","GAMBA,GERARDO",False,60.0,Institución
"GAMINO ROFFE,JOSE CARLOS","GAMIO ROFFE,JOSE  CARLOS",9.5,"GAMINO ROFFE,JOSE CARLOS","GAMIO ROFFE,JOSE  CARLOS",False,39.2,Similitud Nombre (98%)
"GARCIA CANTU,RIGOBERTO","GARCIA CANTU,RIGOBERTO",100.0,"GARCIA CANTU,RIGOBERTO","GARCIA CANTU,RIGOBERTO",False,40.0,Similitud Nombre (100%)
"GARCIA CASILLAS,PERLA ELVIA","GARCIA CASILLAS,PERLA ELVIA",100.0,"GARCIA CASILLAS,PERLA ELVIA","GARCIA CASILLAS,PERLA ELVIA",True,80.0,"Institución, Fecha"
"GARCIA CERDA,LUIS ALFONSO","GARCIA CERDA,LUIS ALFONSO",100.0,"GARCIA CERDA,LUIS ALFONSO","GARCIA CERDA,LUIS ALFONSO",False,40.0,Sin coincidencias
"GARCIA CRUZ,ISIDORO","GARCIA CRUZ,ISIDORO",100.0,"GARCIA CRUZ,ISIDORO","GARCIA CRUZ,ISIDORO",False,60.0,Institución
"GARCIA DE LEON,ROBERTO","GARCIA DE LEON,ROBERTO",100.0,"GARCIA DE LEON,ROBERTO","GARCIA DE LEON,ROBERTO",False,60.0,Institución
"GARCIA FLORES,BLANCA ESTELA","GARCIA FLORES,BLANCA ESTELA",100.0,"GARCIA FLORES,BLANCA ESTELA","GARCIA FLORES,BLANCA ESTELA",False,60.0,Institución
"GARCIA GARCIA,GUILLERMO","GARCIA GARCIA,GUILLERMO",100.0,"GARCIA GARCIA,GUILLERMO","GARCIA GARCIA,GUILLERMO",False,60.0,Institución
"GARCIA GONZALEZ,ALEJANDRO","GARCIA GONZALEZ,ALEJANDRO",100.0,"GARCIA GONZALEZ,ALEJANDRO","GARCIA GONZALEZ,ALEJANDRO",False,60.0,Institución
"GARCIA GONZALEZ,VICTOR GUADALUPE","GARCIA GONZALEZ,VICTOR GUADALUPE",100.0,"GARCIA GONZALEZ,VICTOR GUADALUPE","GARCIA GONZALEZ,VICTOR GUADALUPE",True,80.0,"Institución, Fecha"
"GARCIA LUNA,ARMANDO","GARCIA LUNA,ARMANDO",100.0,"GARCIA LUNA,ARMANDO","GARCIA LUNA,ARMANDO",False,60.0,Institución
