NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY,NOMBRE_INVESTIGADOR_NORM,NOMBRE_PATENTE_NORM,ES_MISMA_PERSONA,SCORE,DETALLES
"ANGELES ALVAREZ,PEDRO GUILLERMO","ANGELES ALVAREZ,PEDRO GUILLERMO",100.0,"ANGELES ALVAREZ,PEDRO GUILLERMO","ANGELES ALVAREZ,PEDRO GUILLERMO",False,60.0,Institución
"ANGELES CHAVEZ,CARLOS","ANGELES CHAVEZ,CARLOS",100.0,"ANGELES CHAVEZ,CARLOS","ANGELES CHAVEZ,CARLOS",False,60.0,Institución
"AQUINO OLIVOS,MARCO ANTONIO","AQUINO OLIVOS,MARCO ANTONIO",100.0,"AQUINO OLIVOS,MARCO ANTONIO","AQUINO OLIVOS,MARCO ANTONIO",False,60.0,Institución
"ARAMBULA COSIO,FERNANDO","ARAMBULA COSIO,FERNANDO",100.0,"ARAMBULA COSIO,FERNANDO","ARAMBULA COSIO,FERNANDO",False,60.0,Institución
"ARREOLA MENDOZA,LAURA","ARELLANO,LARA",7.4,"ARREOLA MENDOZA,LAURA","ARELLANO,LARA",False,60.0,Institución
"ARMENDARIZ BORUNDA,JUAN SOCORRO","ARMENDARIZ BORUNDA,JUAN SOCORRO",100.0,"ARMENDARIZ BORUNDA,JUAN SOCORRO","ARMENDARIZ BORUNDA,JUAN SOCORRO",False,60.0,Institución
"ARMENDARIZ HERRERA,HECTOR","ARMENDARIZ HERRERA,HECTOR",100.0,"ARMENDARIZ HERRERA,HECTOR","ARMENDARIZ HERRERA,HECTOR",False,60.0,Institución
"ARREDONDO HERNANDEZ,LUIS JOSE RENE","ARREDONDO HERNANDEZ,LUIS JOSE",8.9,"ARREDONDO HERNANDEZ,LUIS JOSE RENE","ARREDONDO HERNANDEZ,LUIS JOSE",False,60.0,Institución
"ARROYO CORDOBA,ISMAEL JAVIER","ARROYO CORDOVA,ISMAEL JAVIER",9.6,"ARROYO CORDOBA,ISMAEL JAVIER","ARROYO CORDOVA,ISMAEL JAVIER",False,60.0,Institución
"ASCANIO GASCA,GABRIEL","ASCANIO GASCA,GABRIEL",100.0,"ASCANIO GASCA,GABRIEL","ASCANIO GASCA,GABRIEL",False,60.0,Institución
"ASTUDILLO DE LA VEGA,HORACIO","ASTUDILLO DE LA VEGA,HORACIO",100.0,"ASTUDILLO DE LA VEGA,HORACIO","ASTUDILLO DE LA VEGA,HORACIO",False,60.0,Institución
"AVALOS GARCIA,JAVIER","AVALOS GARCIA,JAVIER",100.0,"AVALOS GARCIA,JAVIER","AVALOS GARCIA,JAVIER",False,60.0,Institución
"AVILA VILCHIS,JUAN CARLOS","AVILA VILCHIS,JUAN CARLOS",100.0,"AVILA VILCHIS,JUAN CARLOS","AVILA VILCHIS,JUAN CARLOS",True,80.0,"Institución, Fecha"
"AVILA ORTIZ,RAUL","AVILA,RAUL",81.2,"AVILA ORTIZ,RAUL","AVILA,RAUL",False,60.0,Institución
"AVILES CRUZ,CARLOS","AVILES,CARLOS",8.5,"AVILES CRUZ,CARLOS","AVILES,CARLOS",False,60.0,Institución
"AZORIN VEGA,ERIKA PATRICIA","AZORIN VEGA,ERIKA PATRICIA",100.0,"AZORIN VEGA,ERIKA PATRICIA","AZORIN VEGA,ERIKA PATRICIA",False,60.0,Institución
"BAEZA RAMIREZ,MARIA ISABEL","BAEZA RAMIREZ,MARIA ISABEL",100.0,"BAEZA RAMIREZ,MARIA ISABEL","BAEZA RAMIREZ,MARIA ISABEL",False,40.0,Similitud Nombre (100%)
"BANUELOS SANCHEZ,PEDRO","BANUELOS SANCHEZ,PEDRO",100.0,"BANUELOS SANCHEZ,PEDRO","BANUELOS SANCHEZ,PEDRO",False,40.0,Similitud Nombre (100%)
"BARAJAS RAMIREZ,JUAN GONZALO","BARAJAS RAMIREZ,JUAN GONZALO",100.0,"BARAJAS RAMIREZ,JUAN GONZALO","BARAJAS RAMIREZ,JUAN GONZALO",False,40.0,Sin coincidencias
"BARCENAS CASTANEDA,MARIANA","BARCENAS CASTANEDA,MARIANA",100.0,"BARCENAS CASTANEDA,MARIANA","BARCENAS CASTANEDA,MARIANA",False,40.0,Sin coincidencias
"BARONA GOMEZ,FRANCISCO","BARONA GOMEZ,FRANCISCO",100.0,"BARONA GOMEZ,FRANCISCO","BARONA GOMEZ,FRANCISCO",False,60.0,Institución
"BARRAGAN RODRIGUEZ,EFRAIN","BARRAGAN,EFRAIN",8.0,"BARRAGAN RODRIGUEZ,EFRAIN","BARRAGAN,EFRAIN",False,60.0,Institución
"BARREIRO RODRIGUEZ,GUADALUPE","BARREIRO RODRIGUEZ,GUADALUPE",100.0,"BARREIRO RODRIGUEZ,GUADALUPE","BARREIRO RODRIGUEZ,GUADALUPE",False,40.0,Sin coincidencias
"BARRIENTOS RODRIGUEZ,ERNESTO","BARRIENTOS,ERNESTO D",7.7,"BARRIENTOS RODRIGUEZ,ERNESTO","BARRIENTOS,ERNESTO D",False,38.0,Similitud Nombre (95%)
"BARRIOS PEREZ,JOSE ANTONIO","BARRIOS PEREZ,JOSE ANTONIO",100.0,"BARRIOS PEREZ,JOSE ANTONIO","BARRIOS PEREZ,JOSE ANTONIO",False,60.0,Institución
"BARROSO VILLA,JUAN GERARDO","BARROSO VILLA,JUAN GERARDO",100.0,"BARROSO VILLA,JUAN GERARDO","BARROSO VILLA,JUAN GERARDO",False,40.0,Sin coincidencias
"BARZANA GARCIA,EDUARDO","BARZANA,EDUARDO",8.3,"BARZANA GARCIA,EDUARDO","BARZANA,EDUARDO",True,80.0,"Institución, Fecha"
"BAYDYK,TETYANA","BAYDYK,TETYANA",100.0,"BAYDYK,TETYANA","BAYDYK,TETYANA",False,60.0,Institución
"BEAS BUJANOS,JOAQUIN","BEAS BUJANOS,JOAQUIN",100.0,"BEAS BUJANOS,JOAQUIN","BEAS BUJANOS,JOAQUIN",False,40.0,Sin coincidencias
"BECERRIL LUJAN,BALTAZAR","BECERRIL LUJAN,BALTAZAR",100.0,"BECERRIL LUJAN,BALTAZAR","BECERRIL LUJAN,BALTAZAR",False,60.0,Institución
"BECERRIL LUJAN,BALTAZAR","BECERRIL,BALTAZAR",8.6,"BECERRIL LUJAN,BALTAZAR","BECERRIL,BALTAZAR",False,60.0,Institución
"BELTRAN CHACON,RICARDO","BELTRAN CHACON,RICARDO",100.0,"BELTRAN CHACON,RICARDO","BELTRAN CHACON,RICARDO",False,40.0,Sin coincidencias
"BELTRAN CONDE,HIRAM ISAAC","BELTRAN CONDE,HIRAM ISAAC",100.0,"BELTRAN CONDE,HIRAM ISAAC","BELTRAN CONDE,HIRAM ISAAC",False,60.0,Institución
"BELTRAN CONDE,HIRAM ISAAC","BELTRAN CONDE,HIRAM ISSAC",9.5,"BELTRAN CONDE,HIRAM ISAAC","BELTRAN CONDE,HIRAM ISSAC",False,60.0,Institución
"BELTRAN BEACHE,MARIANA","BELTRAN,MARIA",75.0,"BELTRAN BEACHE,MARIANA","BELTRAN,MARIA",False,40.0,Sin coincidencias
"BENAVIDES LOZANO,JORGE ALEJANDRO","BENAVIDES LOZANO,JORGE ALEJANDRO",100.0,"BENAVIDES LOZANO,JORGE ALEJANDRO","BENAVIDES LOZANO,JORGE ALEJANDRO",False,60.0,Institución
"BENITEZ AGUILAR,JOSE LUIS RODOLFO","BENITEZ AGUILAR,JOSE LUIS RODOLFO",100.0,"BENITEZ AGUILAR,JOSE LUIS RODOLFO","BENITEZ AGUILAR,JOSE LUIS RODOLFO",False,60.0,Institución
"BERNAD BERNAD,MARIA JOSEFA","BERNAD BERNAD,MARIA JOSEFA",100.0,"BERNAD BERNAD,MARIA JOSEFA","BERNAD BERNAD,MARIA JOSEFA",False,60.0,Institución
"BERNAL PONCE,LUIS ARTURO","BERNAL,LUIS ALBERTO",7.2,"BERNAL PONCE,LUIS ARTURO","BERNAL,LUIS ALBERTO",False,60.0,Institución
"BORBOLLA ESCOBOZA,JOSE RAFAEL","BORBOLLA ESCOBOZA,JOSE RAFAEL",100.0,"BORBOLLA ESCOBOZA,JOSE RAFAEL","BORBOLLA ESCOBOZA,JOSE RAFAEL",False,60.0,Institución
"BOSQUES PADILLA,FRANCISCO JAVIER","BOSQUES PADILLA,FRANCISCO JAVIER",100.0,"BOSQUES PADILLA,FRANCISCO JAVIER","BOSQUES PADILLA,FRANCISCO JAVIER",False,60.0,Institución
"BOTELLO MENDEZ,ANDRES RAFAEL","BOTELLO MENDEZ,ANDRES RAFAEL",100.0,"BOTELLO MENDEZ,ANDRES RAFAEL","BOTELLO MENDEZ,ANDRES RAFAEL",False,40.0,Similitud Nombre (100%)
"BOUDA,JAN","BOUDA,JAN",100.0,"BOUDA,JAN","BOUDA,JAN",True,80.0,"Institución, Fecha"
"BRAVO DE LA PARRA,MARIA ALEJANDRA","BRAVO DE LA PARRA,MARIA ALEJANDRA",100.0,"BRAVO DE LA PARRA,MARIA ALEJANDRA","BRAVO DE LA PARRA,MARIA ALEJANDRA",False,60.0,Institución
"BRAVO PONCE,ALEJANDRA","BRAVO,ALEJANDRA",81.2,"BRAVO PONCE,ALEJANDRA","BRAVO,ALEJANDRA",False,40.0,Sin coincidencias
"BRUCE DAVIDSON,NEIL CHARLES","BRUCE DAVIDSON,NEIL CHARLES",100.0,"BRUCE DAVIDSON,NEIL CHARLES","BRUCE DAVIDSON,NEIL CHARLES",False,60.0,Institución
"BUENABAD CHAVEZ,JORGE","BUENABAD CHAVEZ,JORGE",100.0,"BUENABAD CHAVEZ,JORGE","BUENABAD CHAVEZ,JORGE",False,40.0,Similitud Nombre (100%)
"BUENROSTRO GONZALEZ,EDUARDO","BUENROSTRO GONZALEZ,EDUARDO",100.0,"BUENROSTRO GONZALEZ,EDUARDO","BUENROSTRO GONZALEZ,EDUARDO",False,60.0,Institución
"CABANILLAS LOPEZ,RAFAEL ENRIQUE","CABANILLAS LOPEZ,RAFAEL ENRIQUE",100.0,"CABANILLAS LOPEZ,RAFAEL ENRIQUE","CABANILLAS LOPEZ,RAFAEL ENRIQUE",False,60.0,Institución
"CABELLO ROBLES,JUAN JOSE","CABELLO,JUAN JOSE",8.3,"CABELLO ROBLES,JUAN JOSE","CABELLO,JUAN JOSE",True,80.0,"Institución, Fecha"
"CABRERA AQUINO,JOSE GUSTAVO","CABRERA AQUINO,JOSE GUSTAVO",100.0,"CABRERA AQUINO,JOSE GUSTAVO","CABRERA AQUINO,JOSE GUSTAVO",False,40.0,Sin coincidencias
"CABRERA LLANOS,ROBERTO MARCOS","CABRERA LLANOS,ROBERTO MARCOS",100.0,"CABRERA LLANOS,ROBERTO MARCOS","CABRERA LLANOS,ROBERTO MARCOS",False,40.0,Similitud Nombre (100%)
"CADENA NAVA,RUBEN DARIO","CADENA NAVA,RUBEN D",8.8,"CADENA NAVA,RUBEN DARIO","CADENA NAVA,RUBEN D",False,37.6,Similitud Nombre (94%)
"CADENAS PLIEGO,GREGORIO","CADENA PLIEGO,GREGORIO",9.8,"CADENAS PLIEGO,GREGORIO","CADENA PLIEGO,GREGORIO",False,39.2,Similitud Nombre (98%)
"CADENAS PLIEGO,GREGORIO","CADENAS PLIEGO,GREGORIO",100.0,"CADENAS PLIEGO,GREGORIO","CADENAS PLIEGO,GREGORIO",False,40.0,Similitud Nombre (100%)
"CALDERON CONTRERAS,RAFAEL","CALDERON,RAFAEL",8.0,"CALDERON CONTRERAS,RAFAEL","CALDERON,RAFAEL",False,60.0,Institución
"CAMACHO LOPEZ,MIGUEL ANGEL","CAMACHO LOPEZ,MIGUEL ANGEL",100.0,"CAMACHO LOPEZ,MIGUEL ANGEL","CAMACHO LOPEZ,MIGUEL ANGEL",False,40.0,Similitud Nombre (100%)
"CAMACHO LOPEZ,SANTIAGO","CAMACHO LOPEZ,SANTIAGO",100.0,"CAMACHO LOPEZ,SANTIAGO","CAMACHO LOPEZ,SANTIAGO",False,40.0,Similitud Nombre (100%)
"CAMACHO PEREZ,JOSE RODRIGO","CAMACHO PEREZ,JOSE RODRIGO",100.0,"CAMACHO PEREZ,JOSE RODRIGO","CAMACHO PEREZ,JOSE RODRIGO",False,60.0,Fecha
"CAMACHO MOLINA,ALEJANDRA","CAMACHO,ALEJANDRA",8.3,"CAMACHO MOLINA,ALEJANDRA","CAMACHO,ALEJANDRA",False,40.0,Sin coincidencias
"CAMPORREDONDO SAUCEDO,JESUS EMILIO","CAMPORREDONDO SAUCEDO,JESUS EMILIO",100.0,"CAMPORREDONDO SAUCEDO,JESUS EMILIO","CAMPORREDONDO SAUCEDO,JESUS EMILIO",False,40.0,Similitud Nombre (100%)
"CAMPOS CANTON,ERIC","CAMPOS CANTON,ERIC",100.0,"CAMPOS CANTON,ERIC","CAMPOS CANTON,ERIC",False,60.0,Institución
"CAMPOS CANTON,ISAAC","CAMPOS CANTON,ISAAC",100.0,"CAMPOS CANTON,ISAAC","CAMPOS CANTON,ISAAC",True,80.0,"Institución, Fecha"
"CAMPOSECO SOLIS,ROBERTO","CAMPOSECO SOLIS,ROBERTO",100.0,"CAMPOSECO SOLIS,ROBERTO","CAMPOSECO SOLIS,ROBERTO",True,80.0,"Institución, Fecha"
"CANTO IBANEZ,JORGE JOAQUIN","CANTO IBANEZ,JORGE JOAQUIN",100.0,"CANTO IBANEZ,JORGE JOAQUIN","CANTO IBANEZ,JORGE JOAQUIN",False,40.0,Similitud Nombre (100%)
"CARBAJAL ARIZAGA,GREGORIO GUADALUPE","CARBAJAL ARIZAGA,GREGORIO GUADALUPE",100.0,"CARBAJAL ARIZAGA,GREGORIO GUADALUPE","CARBAJAL ARIZAGA,GREGORIO GUADALUPE",False,60.0,Institución
"CARBAJAL DE NOVA,CAROLINA","CARBAJAL DE NOVA,CAROLINA",100.0,"CARBAJAL DE NOVA,CAROLINA","CARBAJAL DE NOVA,CAROLINA",False,60.0,Institución
"CARDENAS CARDENAS,EDUARDO","CARDENAS,EDUARDO",82.0,"CARDENAS CARDENAS,EDUARDO","CARDENAS,EDUARDO",False,60.0,Institución
"CARRILLO FUENTEVILLA,ROBERTO","CARRILLO FUENTEVILLA,ROBERTO",100.0,"CARRILLO FUENTEVILLA,ROBERTO","CARRILLO FUENTEVILLA,ROBERTO",False,60.0,Institución
"CARRILLO PEDROZA,FRANCISCO RAUL","CARRILLO PEDROZA,FRANCISCO RAUL",100.0,"CARRILLO PEDROZA,FRANCISCO RAUL","CARRILLO PEDROZA,FRANCISCO RAUL",False,40.0,Similitud Nombre (100%)
"CARRION VILLARNOVO,GLORIA LUZ LAURA","CARRION VILLARNOVO,GLORIA LUZ LAURA",100.0,"CARRION VILLARNOVO,GLORIA LUZ LAURA","CARRION VILLARNOVO,GLORIA LUZ LAURA",False,60.0,Institución
"CARTAS ROSADO,ANA ROCIO","CARTAS ROSADO,ANA ROCIO",100.0,"CARTAS ROSADO,ANA ROCIO","CARTAS ROSADO,ANA ROCIO",False,60.0,Institución
"CASTANEDA LOPEZ,LUIS CARLOS","CASTANEDA LOPEZ,LUIS CARLOS",100.0,"CASTANEDA LOPEZ,LUIS CARLOS","CASTANEDA LOPEZ,LUIS CARLOS",False,60.0,Institución
"CASTANO DE LA SERNA,ENRIQUE","CASTANO DE LA SERNA,ENRIQUE",100.0,"CASTANO DE LA SERNA,ENRIQUE","CASTANO DE LA SERNA,ENRIQUE",False,40.0,Similitud Nombre (100%)
"CASTANO MENESES,VICTOR MANUEL","CASTANO MENESES,VICTOR MANUEL",100.0,"CASTANO MENESES,VICTOR MANUEL","CASTANO MENESES,VICTOR MANUEL",False,40.0,Similitud Nombre (100%)
"CASTANON NAJERA,GUILLERMO","CASTANO,GUILLERMO",8.1,"CASTANON NAJERA,GUILLERMO","CASTANO,GUILLERMO",False,60.0,Institución
"CASTANON AVILA,GERARDO ANTONIO","CASTANON AVILA,GERARDO ANTONIO",100.0,"CASTANON AVILA,GERARDO ANTONIO","CASTANON AVILA,GERARDO ANTONIO",False,40.0,Similitud Nombre (100%)
"CASTELLANOS RODRIGUEZ,SERGIO","CASTELLANOS,SERGIO",84.3,"CASTELLANOS RODRIGUEZ,SERGIO","CASTELLANOS,SERGIO",False,40.0,Sin coincidencias
"CASTILLEJOS ESCOBAR,ALFONSO HUMBERTO","CASTILLEJOS ESCOBAR,ALFONSO HUMBERTO",100.0,"CASTILLEJOS ESCOBAR,ALFONSO HUMBERTO","CASTILLEJOS ESCOBAR,ALFONSO HUMBERTO",False,40.0,Similitud Nombre (100%)
"CASTILLO BOCANEGRA,RAFAEL","CASTILLO BOCANEGRA,RAFAEL",100.0,"CASTILLO BOCANEGRA,RAFAEL","CASTILLO BOCANEGRA,RAFAEL",False,60.0,Institución
"CASTILLO CERVANTES,SALVADOR","CASTILLO CERVANTES,SALVADOR",100.0,"CASTILLO CERVANTES,SALVADOR","CASTILLO CERVANTES,SALVADOR",False,60.0,Institución
"CASTILLO PARRA,GABRIELA","CASTILLO,GABRIELA",8.6,"CASTILLO PARRA,GABRIELA","CASTILLO,GABRIELA",False,60.0,Institución
"CASTILLO NONATO,JESUS","CASTILLO,JESUS J",7.6,"CASTILLO NONATO,JESUS","CASTILLO,JESUS J",False,37.2,Similitud Nombre (93%)
"CASTILLO TEJAS,JORGE","CASTILLO,JORGE",8.6,"CASTILLO TEJAS,JORGE","CASTILLO,JORGE",False,60.0,Institución
"CASTORENA CORTES,GLADYS TERESA","CASTORENA CORTES,GLADYS TERESA",100.0,"CASTORENA CORTES,GLADYS TERESA","CASTORENA CORTES,GLADYS TERESA",False,60.0,Institución
"CASTREJON VACIO,FERNANDO","CASTREJON VACIO,FERNANDO",100.0,"CASTREJON VACIO,FERNANDO","CASTREJON VACIO,FERNANDO",False,40.0,Similitud Nombre (100%)
"CAREAGA REYNA,GUILLERMO","CASTREZANA,GUILLERMO",8.0,"CAREAGA REYNA,GUILLERMO","CASTREZANA,GUILLERMO",False,60.0,Institución
"CASTRO ROSAS,JAVIER","CASTRO ROSAS,JAVIER",100.0,"CASTRO ROSAS,JAVIER","CASTRO ROSAS,JAVIER",False,60.0,Institución
"CASTRO SOTELO,LAURA VERONICA","CASTRO SOTELO,LAURA VERONICA",100.0,"CASTRO SOTELO,LAURA VERONICA","CASTRO SOTELO,LAURA VERONICA",False,60.0,Institución
"CASTRO ROCHA,ARTURO","CASTRO,ARTURO",8.3,"CASTRO ROCHA,ARTURO","CASTRO,ARTURO",False,60.0,Institución
"LEON CASTRO,ERNESTO","CASTRO,ERNESTO",8.5,"LEON CASTRO,ERNESTO","CASTRO,ERNESTO",False,60.0,Institución
"CASTRUITA DE LEON,GRISELDA","CASTRUITA DE LEON,GRISELDA",100.0,"CASTRUITA DE LEON,GRISELDA","CASTRUITA DE LEON,GRISELDA",False,40.0,Sin coincidencias
"CEDENO VIVEROS,LUIS DANIEL","CEDENO VIVEROS,LUIS DANIEL",100.0,"CEDENO VIVEROS,LUIS DANIEL","CEDENO VIVEROS,LUIS DANIEL",False,40.0,Similitud Nombre (100%)
"CENDEJAS SANTANA,GABRIEL","CENDEJAS SANTANA,GABRIEL",100.0,"CENDEJAS SANTANA,GABRIEL","CENDEJAS SANTANA,GABRIEL",False,40.0,Sin coincidencias
"CENDEJAS ZARAGOZA,LEOPOLDO","CENDEJAS ZARAGOZA,LEOPOLDO",100.0,"CENDEJAS ZARAGOZA,LEOPOLDO","CENDEJAS ZARAGOZA,LEOPOLDO",False,60.0,Institución
"CENTENO NOLASCO,GUILLERMO","CENTENO NOLASCO,GUILLERMO",100.0,"CENTENO NOLASCO,GUILLERMO","CENTENO NOLASCO,GUILLERMO",False,60.0,Institución
"CERON CAMACHO,RICARDO","CERON CAMACHO,RICARDO",100.0,"CERON CAMACHO,RICARDO","CERON CAMACHO,RICARDO",False,60.0,Institución
"CERVANTES TORRES,JACQUELYNNE BRENDA","CERVANTES TORRES,JACQUELYNNE BRENDA",100.0,"CERVANTES TORRES,JACQUELYNNE BRENDA","CERVANTES TORRES,JACQUELYNNE BRENDA",False,40.0,Sin coincidencias
"CERVANTES ORTIZ,FRANCISCO","CERVANTES,FRANCISCO",87.5,"CERVANTES ORTIZ,FRANCISCO","CERVANTES,FRANCISCO",False,40.0,Sin coincidencias
"CERVANTES ORTIZ,FRANCISCO","CERVANTES,FRANCISCO J",82.5,"CERVANTES ORTIZ,FRANCISCO","CERVANTES,FRANCISCO J",False,38.0,Similitud Nombre (95%)
"CERVANTES PEREZ,JUAN","CERVANTES,JUAN",87.5,"CERVANTES PEREZ,JUAN","CERVANTES,JUAN",False,60.0,Institución
"CEVADA MAYA,ENRIQUE","CEVADA MAYA,ENRIQUE",100.0,"CEVADA MAYA,ENRIQUE","CEVADA MAYA,ENRIQUE",True,80.0,"Institución, Fecha"
"CEVALLOS GAOS,ANA MARIA","CEVALLOS,ANA MARIA",88.9,"CEVALLOS GAOS,ANA MARIA","CEVALLOS,ANA MARIA",True,80.0,"Institución, Fecha"
"CHAGOYA Y HAZAS,VICTORIA EUGENIA","CHAGOYA HAZAS,VICTORIA EUGENIA",9.6,"CHAGOYA Y HAZAS,VICTORIA EUGENIA","CHAGOYA HAZAS,VICTORIA EUGENIA",False,40.0,Similitud Nombre (100%)
"CHAPELA CASTANARES,VICTOR MANUEL","CHAPELA CASTANARES,VICTOR MANUEL",100.0,"CHAPELA CASTANARES,VICTOR MANUEL","CHAPELA CASTANARES,VICTOR MANUEL",False,60.0,Institución
"CHAUHAN,GAURAV","CHAUHAN,GAURAV",100.0,"CHAUHAN,GAURAV","CHAUHAN,GAURAV",False,60.0,Institución
"CHAUVIN,ANNE LAURE PATRICIA","CHAUVIN,ANNE LAURE PATRICIA",100.0,"CHAUVIN,ANNE LAURE PATRICIA","CHAUVIN,ANNE LAURE PATRICIA",False,40.0,Similitud Nombre (100%)
"CHAVEZ GOMEZ,BENJAMIN","CHAVEZ GOMEZ,BENJAMIN",100.0,"CHAVEZ GOMEZ,BENJAMIN","CHAVEZ GOMEZ,BENJAMIN",False,60.0,Institución
"CHAVEZ MIYAUCHI,TOMAS EDUARDO","CHAVEZ MIYAUCHI,TOMAS EDUARDO",100.0,"CHAVEZ MIYAUCHI,TOMAS EDUARDO","CHAVEZ MIYAUCHI,TOMAS EDUARDO",False,60.0,Fecha
"CHAVEZ REYES,ARTURO","CHAVEZ REYES,ARTURO",100.0,"CHAVEZ REYES,ARTURO","CHAVEZ REYES,ARTURO",False,40.0,Similitud Nombre (100%)
"CHERNYKH,ANDREY","CHERKAS,ANDREY",8.3,"CHERNYKH,ANDREY","CHERKAS,ANDREY",False,40.0,Sin coincidencias
"CHICUREL UZIEL,RICARDO","CHICUREL UZIEL,RICARDO",100.0,"CHICUREL UZIEL,RICARDO","CHICUREL UZIEL,RICARDO",False,60.0,Institución
"CHICUREL Y UZIEL,ENRIQUE JAIME","CHICUREL Y UZIEL,ENRIQUE JAIME",100.0,"CHICUREL Y UZIEL,ENRIQUE JAIME","CHICUREL Y UZIEL,ENRIQUE JAIME",False,60.0,Institución
"CISNEROS DEVORA,RODOLFO","CISNEROS DEVORA,RODOLFO",100.0,"CISNEROS DEVORA,RODOLFO","CISNEROS DEVORA,RODOLFO",False,60.0,Institución
"COLLINS MARTINEZ,VIRGINIA HIDALINA","COLLINS MARTINEZ,VIRGINIA HIDOLINA",9.7,"COLLINS MARTINEZ,VIRGINIA HIDALINA","COLLINS MARTINEZ,VIRGINIA HIDOLINA",False,60.0,Fecha
"CONTRERAS DE LEON,JOSE EULALIO","CONTRERAS DE LEON,JOSE EULALIO",100.0,"CONTRERAS DE LEON,JOSE EULALIO","CONTRERAS DE LEON,JOSE EULALIO",False,40.0,Sin coincidencias
"CONTRERAS MASSE,ROBERTO ANTONIO","CONTRERAS MASSE,ROBERTO ANTONIO",100.0,"CONTRERAS MASSE,ROBERTO ANTONIO","CONTRERAS MASSE,ROBERTO ANTONIO",False,40.0,Sin coincidencias
"CONTRERAS RAMOS,SILVIA MARIBEL","CONTRERAS RAMOS,SILVIA MARIBEL",100.0,"CONTRERAS RAMOS,SILVIA MARIBEL","CONTRERAS RAMOS,SILVIA MARIBEL",False,60.0,Institución
"CONTRERAS CRISTAN,ALBERTO","CONTRERAS,ALBERTO",8.4,"CONTRERAS CRISTAN,ALBERTO","CONTRERAS,ALBERTO",False,60.0,Institución
"CONTRERAS CUEVAS,ANTONIO","CONTRERAS,ANTONIO",86.0,"CONTRERAS CUEVAS,ANTONIO","CONTRERAS,ANTONIO",False,60.0,Institución
"CONTRERAS JUAREZ,ROBERTO","CONTRERAS,ROBERTO",86.0,"CONTRERAS JUAREZ,ROBERTO","CONTRERAS,ROBERTO",False,60.0,Institución
"CORDOVA DIAZ,RENE KTNWA","CORDOVA DIAZ,RENE KTNWA",100.0,"CORDOVA DIAZ,RENE KTNWA","CORDOVA DIAZ,RENE KTNWA",True,80.0,"Institución, Fecha"
"CORELLA MADUENO,MARIA ALBA GUADALUPE","CORELLA,MARIA ALBA GUADALUPE",8.1,"CORELLA MADUENO,MARIA ALBA GUADALUPE","CORELLA,MARIA ALBA GUADALUPE",False,60.0,Institución
"CORONA GALVAN,SERGIO","CORONA GALVAN,SERGIO",100.0,"CORONA GALVAN,SERGIO","CORONA GALVAN,SERGIO",False,40.0,Sin coincidencias
"CORONA VILLEGAS,MIGUEL","CORONA VILLEGAS,MIGUEL",100.0,"CORONA VILLEGAS,MIGUEL","CORONA VILLEGAS,MIGUEL",False,40.0,Sin coincidencias
"CORTES ESPINOSA,DIANA VERONICA","CORTES ESPINOSA,DIANA VERONICA",100.0,"CORTES ESPINOSA,DIANA VERONICA","CORTES ESPINOSA,DIANA VERONICA",False,40.0,Similitud Nombre (100%)
"CORTES JACOME,MARIA ANTONIA","CORTES JACOME,MARIA ANTONIA",100.0,"CORTES JACOME,MARIA ANTONIA","CORTES JACOME,MARIA ANTONIA",False,60.0,Institución
"CORTES RAMIREZ,JORGE ARMANDO","CORTES RAMIREZ,JORGE ARMANDO",100.0,"CORTES RAMIREZ,JORGE ARMANDO","CORTES RAMIREZ,JORGE ARMANDO",False,60.0,Institución
"CORTES CUEVAS,ARTURO","CORTES,ARTURO",8.1,"CORTES CUEVAS,ARTURO","CORTES,ARTURO",False,60.0,Institución
"CORVERA POIRE,EUGENIA","CORVERA POIRE,EUGENIA",100.0,"CORVERA POIRE,EUGENIA","CORVERA POIRE,EUGENIA",False,40.0,Similitud Nombre (100%)
"CRUZ BARBA,LUIS EMILIO","CRUZ BARBA,LUIS EMILIO",100.0,"CRUZ BARBA,LUIS EMILIO","CRUZ BARBA,LUIS EMILIO",False,40.0,Similitud Nombre (100%)
"CRUZ CRUZ,GUILLERMO JESUS","CRUZ CRUZ,GUILLERMO JESUS",100.0,"CRUZ CRUZ,GUILLERMO JESUS","CRUZ CRUZ,GUILLERMO JESUS",False,60.0,Institución
"CRUZ MORALES,PABLO","CRUZ MORALES,PABLO",100.0,"CRUZ MORALES,PABLO","CRUZ MORALES,PABLO",True,80.0,"Institución, Fecha"
"CRUZ VEGA,ISRAEL","CRUZ,ISRAEL",8.0,"CRUZ VEGA,ISRAEL","CRUZ,ISRAEL",False,60.0,Institución
"CRUZ NOVA,PEDRO","CRUZ,PEDRO",8.0,"CRUZ NOVA,PEDRO","CRUZ,PEDRO",False,60.0,Institución
"CUEVAS PACHECO ,GREGORIO","CUEVAS PACHECO,GREGORIO",100.0,"CUEVAS PACHECO ,GREGORIO","CUEVAS PACHECO,GREGORIO",False,40.0,Similitud Nombre (100%)
"CUEVAS MORENO,RICARDO","CUEVAS,RICARDO",8.1,"CUEVAS MORENO,RICARDO","CUEVAS,RICARDO",False,60.0,Institución
