patent_number,patent_title,patent_date,inventor_city,inventor_country,inventor_first_name,inventor_first_seen_date,inventor_id,inventor_last_name,inventor_last_seen_date,inventor_lastknown_city,inventor_lastknown_country,inventor_sequence,inventor_state,inventor_state_fips,inventor_total_num_patents
D744274,Head of a machine for making tortillas,2015-12-01,Guadalupe,MX,Juan A.,2003-01-21,fl:ju_ln:martinez-15,Martinez,2018-12-04,Acatlán de Osorio,MX,2,,,8
D744329,Food container,2015-12-01,San Antonio,US,J. Michael,2014-01-21,fl:j._ln:joergensen-1,Joergensen,2019-07-16,San Antonio,US,1,TX,48,11
D744329,Food container,2015-12-01,San Antonio,US,Keith,2015-11-24,fl:ke_ln:kandt-1,Kandt,2015-12-01,San Antonio,US,4,TX,48,2
D744329,Food container,2015-12-01,San Antonio,US,Bryant P.,2007-07-24,fl:br_ln:ambelang-2,Ambelang,2016-12-27,San Antonio,US,0,TX,48,21
D744329,Food container,2015-12-01,Kingsbury,US,David C.,1981-03-17,fl:da_ln:shaver-2,Shaver,2015-12-01,Kingsbury,US,2,TX,48,23
D744329,Food container,2015-12-01,Zapopan,MX,Emilio,2014-03-18,fl:em_ln:fuentes-1,Fuentes,2015-12-01,Zapopan,MX,3,,,6
D745820,Connector,2015-12-22,Querétaro,MX,Joaquin,2015-12-22,fl:jo_ln:alvarezbrena-1,Alvarez Brena,2016-03-08,Querétaro,MX,0,,,2
D745840,Muffler,2015-12-22,Oil City,US,Kenneth,2015-12-22,tn2zmyu9hy7flf5wwjez6wlc7,Swartfager,2015-12-22,Oil City,US,2,PA,42,1
D745840,Muffler,2015-12-22,White Lake,US,William,2013-12-03,fl:wi_ln:maholick-1,Maholick,2015-12-22,White Lake,US,0,MI,26,6
D745840,Muffler,2015-12-22,San Luis Potosí,MX,Miguel,2014-09-09,fl:mi_ln:hernandez-6,Hernandez,2015-12-22,San Luis Potosí,MX,3,,,3
D745840,Muffler,2015-12-22,Erie,US,Jaime Jesus,2013-12-03,fl:ja_ln:garcia-6,Garcia,2015-12-22,Erie,US,1,PA,42,5
D746679,Container handle,2016-01-05,Monterrey,MX,Alpha Edith,2015-04-07,fl:al_ln:jassogomez-1,Jasso Gomez,2020-03-17,Monterrey,MX,0,,,19
D746681,Container cover,2016-01-05,Monterrey,MX,Alpha Edith,2015-04-07,fl:al_ln:jassogomez-1,Jasso Gomez,2020-03-17,Monterrey,MX,0,,,19
D747438,Gas cylinder safety guard,2016-01-12,Mexico City,MX,Eduardo Alva,2006-04-04,fl:ed_ln:sanchez-5,Sanchez,2017-03-21,Mexico City,MX,0,,,5
D749138,Twin screw pump,2016-02-09,Querétaro,MX,Jose,2016-02-09,iv0fvhpxoen3szyok8i2zjrgs,Rangel Hernandez,2016-02-09,Querétaro,MX,2,,,1
D749138,Twin screw pump,2016-02-09,Querétaro,MX,Alejandro,2016-02-09,tx3poq8ghjlwcwbiif1zk0m3q,Martinez Sanudo,2016-02-09,Querétaro,MX,0,,,1
D749138,Twin screw pump,2016-02-09,Querétaro,MX,Geraldo,2016-02-09,q417fnvyt6kdawu2f6eeiq19s,Vega Borbolla,2016-02-09,Querétaro,MX,1,,,1
D749277,Sandbox with cover for cats,2016-02-09,Tlaltizapan,MX,Carlos Jose,2013-04-30,fl:ca_ln:avalossartorio-1,Avalos Sartorio,2019-12-31,Tlalnepantla,MX,1,,,10
D749277,Sandbox with cover for cats,2016-02-09,Tlaltizapan,MX,Miguel Jose,2013-04-30,fl:mi_ln:avalossartorio-1,Avalos Sartorio,2019-12-31,Tlalnepantla,MX,0,,,10
D750416,Apparatus for cooking,2016-03-01,San Fernando,MX,Ma. Guadalupe Zuniga,2016-03-01,fl:ma_ln:meraz-1,Meraz,2016-03-01,San Fernando,MX,0,,,2
D750417,Apparatus for cooking,2016-03-01,San Fernando,MX,Ma. Guadalupe Zuniga,2016-03-01,fl:ma_ln:meraz-1,Meraz,2016-03-01,San Fernando,MX,0,,,2
D750955,Mechanical connector,2016-03-08,Querétaro,MX,Joaquin,2015-12-22,fl:jo_ln:alvarezbrena-1,Alvarez Brena,2016-03-08,Querétaro,MX,0,,,2
D750970,Display structure,2016-03-08,Mexico City,MX,Noe Vazquez,2016-03-08,fl:no_ln:moreno-3,Moreno,2016-03-08,Mexico City,MX,0,,,1
D751303,Frame,2016-03-15,Garcia,MX,David Alberto,2014-07-01,fl:da_ln:musinavarro-1,Musi Navarro,2016-03-15,Garcia,MX,0,,,3
D751730,Gate,2016-03-15,Mexico City,MX,Adriana,2016-03-15,2ewx4awctu6suj0iudrv0ffw8,Guerra-Asunsolo,2016-03-15,Mexico City,MX,0,,,1
D752161,Fitness rack,2016-03-22,Hermosillo,MX,Francis,2016-03-22,wb8bdcyzd6b3awp4n3omojdha,Wartenbergh,2016-03-22,Hermosillo,MX,0,,,1
D752445,Container,2016-03-29,Monterrey,MX,Alpha Edith,2015-04-07,fl:al_ln:jassogomez-1,Jasso Gomez,2020-03-17,Monterrey,MX,0,,,19
D752446,Container,2016-03-29,Monterrey,MX,Alpha Edith,2015-04-07,fl:al_ln:jassogomez-1,Jasso Gomez,2020-03-17,Monterrey,MX,0,,,19
D753270,Elbow piece with drainage branch and flexible hose,2016-04-05,San Pedro Garza García,MX,Eduardo,1998-09-08,fl:ed_ln:coronado-1,Coronado,2023-11-28,Río Rico,MX,0,,,40
D753488,Lock for cork,2016-04-12,Abdenago C. García (Lagunitas),MX,Miguel F.,2014-03-18,fl:mi_ln:escobar-2,Escobar,2016-04-12,Abdenago C. García (Lagunitas),MX,0,,,3
D753488,Lock for cork,2016-04-12,Abdenago C. García (Lagunitas),MX,Antonio,2016-04-12,fl:an_ln:machuca-1,Machuca,2016-04-12,Abdenago C. García (Lagunitas),MX,1,,,1
D753488,Lock for cork,2016-04-12,Abdenago C. García (Lagunitas),MX,Ricardo,2014-03-18,fl:ri_ln:escobar-2,Escobar,2023-03-28,Sunrise Harbor,US,2,,,5
D754541,Container cover,2016-04-26,Monterrey,MX,Alpha Edith,2015-04-07,fl:al_ln:jassogomez-1,Jasso Gomez,2020-03-17,Monterrey,MX,0,,,19
D754546,Liquor bottle,2016-04-26,Guadalajara,MX,Fernando,2014-07-22,fl:fe_ln:perezcabrera-1,Perez-Cabrera,2016-04-26,Guadalajara,MX,0,,,11
D754640,GPS patch antenna,2016-04-26,Tijuana,MX,Javier Ruben,2014-05-06,fl:ja_ln:florescuadras-1,Flores-Cuadras,2024-02-13,Chandler,US,1,,,19
D754640,GPS patch antenna,2016-04-26,Ensenada,MX,Eleazar,2015-09-15,fl:el_ln:zuniga-2,Zuniga,2017-09-12,Escondido,US,0,,,4
D754964,Key chain,2016-05-03,Veracruz,MX,Pedro,2016-05-03,fl:pe_ln:hernandez-3,Hernandez,2023-03-21,Miami,US,0,,,5
D755354,Elbow piece with drainage branch,2016-05-03,San Pedro Garza García,MX,Eduardo,1998-09-08,fl:ed_ln:coronado-1,Coronado,2023-11-28,Río Rico,MX,0,,,40
D755926,Sprayer tank with skirt,2016-05-10,Lagos de Moreno,MX,Pedro,2012-12-18,fl:pe_ln:wirzluchsinger-1,Wirz Luchsinger,2023-12-19,Lagos de Moreno,MX,0,,,9
