NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY
"TORRES ALVAREZ,MARIA BERTHA","ALVAREZ,MARIA BERTA",81.15942028985508
"ALVAREZ,MARIO MOISES","ALVAREZ,MARIO MOISES",100.0
"ALVAREZ SALAS,OMAR DANIEL","ALVAREZ,OMAR RANGEL",75.9090909090909
"CRUZ ALVAREZ,OSCAR","ALVAREZ,OSCAR",86.84210526315789
"ALARCON CANTU,EDUARDO","ALVARO GALUE,EDUARDO",82.0
"LOZANO FLORES,CARLOS","ALVIZO FLORES,CARLOS",88.46153846153845
"ALZATE GAVIRIA,LILIANA MARIA","ALZATE GAVIRIA,LILIANA MARIA",100.0
"MALDONADO AGUILAR,MIGUEL ANGEL","AMADO AGUILAR,MIGUEL ANGEL",90.0
"SALAS RAMIREZ,MARIBEL","AMADOR RAMIREZ,MARIBEL",87.03703703703704
"AMBROSIO LAZARO,ROBERTO CARLOS","AMBROSIO LAZARO,ROBERTO CARLOS",100.0
"AMEZAGA MADRID,PATRICIA","AMEZAGA MADRID,PATRICIA",100.0
"AMEZCUA ALLIERI,MYRIAM ADELA","AMEZCUA ALLIERI,MYRIAM ADELA",100.0
"ANAYA DURAND,ALEJANDRO","ANAYA OLVERA,ALEJANDRO",83.33333333333334
"ALANIS PEREZ,JAVIER","ANAYA PEREZ,JAVIER",84.78260869565217
"ANCHEYTA JUAREZ,JORGE","ANCHEYTA JUAREZ,JORGE",100.0
"ANDRADE SOTO,MANUEL ANTONIO","ANDRADE GRESS,JUAN ANTONIO",74.46153846153845
"MANON GARIBAY,GUILLERMO JOSE","ANGARITA,GUILLERMO",72.46376811594203
"ANGELES ALVAREZ,PEDRO GUILLERMO","ANGELES ALVAREZ,PEDRO GUILLERMO",100.0
"ANGELES CHAVEZ,CARLOS","ANGELES CHAVEZ,CARLOS",100.0
"NEGER,CHRISTOPH","ANGERER,CHRISTOF",74.50980392156862
"ARIAS DURAN,LUIS","ANGUIANO DURAN,LUIS",86.0
"SWANTON,MICHAEL WALTER","ANTOGNOLI,MICHAEL R",70.38043478260869
"RICO MARTINEZ,JOSE MARIA","APARICIO ARRANZ,JOSE MARIA ELOY",72.14285714285714
"MARICHAL SALINAS,CARLOS","APODACA SALINAS,CARLOS",85.48387096774194
"ESQUIVEL HERNANDEZ,MARIA TERESA","APONTE HERNANDEZ,MARIA TERESA",82.35294117647058
"AQUINO OLIVOS,MARCO ANTONIO","AQUINO OLIVOS,MARCO ANTONIO",100.0
"ARAMBULA COSIO,FERNANDO","ARAMBULA COSIO,FERNANDO",100.0
"GARCIA PENA,GABRIEL ERNESTO","ARANA,GABRIEL RUELAS",69.18103448275862
"LARA ROMERO,JAVIER","ARANDA COTERO,JAVIER",83.33333333333334
"DURAN PADILLA,MARCO ANTONIO","ARAUJO PADILLA,MARCO ANTONIO",87.03703703703704
"ROE SOSA,ADRIANA","ARCE OSUNA,MARIANA",76.1904761904762
