NOMBRE DEL INVESTIGADOR,NOMBRE_INVENTOR,Ratio
"PEREZ ROMO,PATRICIA","PEREZ ROMO,PATRICIA",100.0
"ZAPATA PENASCO,NORMA ICOQUIH","ZAPATA PENASCO,NORMA ICOQUIH",100.0
"GARIBAY FEBLES,VICENTE","GARIBAY FEBLES,VICENTE",100.0
"PACHECO Y ALCALA,UBALDO SADOTT","PACHECO Y ALCALA,UBALDO SADOTT",100.0
"CASTANO MENESES,VICTOR MANUEL","CASTANO MENESES,VICTOR MANUEL",100.0
"LIKHANOVA,NATALYA VICTOROVNA","LIKHANOVA,NATALYA VICTOROVNA",100.0
"MOCTEZUMA BERTHIER,ANDRES EDUARDO","MOCTEZUMA BERTHIER,ANDRES EDUARDO",100.0
"OLIVARES XOMETL,CRESCENCIO OCTAVIO","OLIVARES XOMETL,CRESCENCIO OCTAVIO",100.0
"VELAZQUEZ LOPEZ,MIGUEL ANGEL","VELAZQUEZ FLORES,MIGUEL ANGEL",91.2280701754386
"RODRIGUEZ SALINAS,JUAN JOSE","RODRIGUEZ SALINAS,JUAN JOSE",100.0
"ORTEGA GARCIA,FELIPE DE JESUS","ORTEGA GARCIA,FELIPE DE JESUS",100.0
"SCHACHT HERNANDEZ,PERSI","SCHACHT HERNANDEZ,PERSI",100.0
"MAR JUAREZ,ELIZABETH","MAR JUAREZ,ELIZABETH",100.0
"VELEZ ARGUMEDO,CATALINA MARIA","VELEZ ARGUMEDO,CATALINA MARIA",100.0
"ARMENDARIZ BORUNDA,JUAN SOCORRO","ARMENDARIZ BORUNDA,JUAN SOCORRO",100.0
"RUELAS LEPE,RUBEN","RUELAS LEPE,RUBEN",100.0
"GEVORGYAN,GOHAR","GEVORGYAN,GOHAR",100.0
"MANUCHARYAN,KAREN","MANUCHARYAN,KAREN",100.0
"CERON CAMACHO,RICARDO","CERON CAMACHO,RICARDO",100.0
"RAMIREZ DE SANTIAGO,MARIO","RAMIREZ DE SANTIAGO,MARIO",100.0
"VALLEJO CARDONA,ALBA ADRIANA","VALLEJO CARDONA,ALBA ADRIANA",100.0
"ALMEIDA LOYA,SERGIO FABIAN","ALMEIDA LOYA,SERGIO FABIAN",100.0
"CRUZ MORALES,PABLO","CRUZ MORALES,PABLO",100.0
"BARONA GOMEZ,FRANCISCO","BARONA GOMEZ,FRANCISCO",100.0
"NAVA LARA,MARIA DEL ROCIO","NAVA LARA,MARIA DEL ROCIO",100.0
"RAMIREZ PEREZ,JORGE FRANCISCO","RAMIREZ PEREZ,JORGE FRANCISCO",100.0
"MARTINEZ MAGADAN,JOSE MANUEL","MARTINEZ MAGADAN,JOSE MANUEL",100.0
"LOPEZ RAMIREZ,SIMON","LOPEZ RAMIREZ,SIMON",100.0
"DURAN VALENCIA,CECILIA DE LOS ANGELES","DURAN VALENCIA,CECILIA DE LOS ANGELES",100.0
"OVIEDO ROA,RAUL","OVIEDO ROA,RAUL",100.0
"ORTEGA RODRIGUEZ,ALEJANDRO","ORTEGA RODRIGUEZ,ALEJANDRO",100.0
"VAZQUEZ DUHALT,RAFAEL","VAZQUEZ DUHALT,RAFAEL",100.0
"MARTIN DEL CAMPO LOPEZ,FABIOLA","MARTIN DEL CAMPO LOPEZ,FABIOLA",100.0
"GARCIA GARCIA,GUILLERMO","GARCIA GARCIA,GUILLERMO",100.0
"SANCHEZ SCHMITZ,GUZMAN GERARDO ALFONSO","SANCHEZ SCHMITZ,GUZMAN GERARDO ALFONSO",100.0
"CHAUVIN,ANNE LAURE PATRICIA","CHAUVIN,ANNE LAURE PATRICIA",100.0
"ORDUNA REYES,ERNESTO","ORDUNA REYES,ERNESTO",100.0
"BENAVIDES LOZANO,JORGE ALEJANDRO","BENAVIDES LOZANO,JORGE ALEJANDRO",100.0
"RODRIGUEZ SANCHEZ,DARIANA GRACIELA","RODRIGUEZ SANCHEZ,DARIANA GRACIELA",100.0
"GUTIERREZ URIBE,JANET ALEJANDRA","GUTIERREZ URIBE,JANET ALEJANDRA",100.0
"HERNANDEZ BRENES,CARMEN","HERNANDEZ BRENES,CARMEN",100.0
"MIKI YOSHIDA,MARIO","MIKI YOSHIDA,MARIO",100.0
"NAGAMEDIANOVA,ZOULFIA","NAGAMEDIANOVA,ZOULFIA",100.0
"PIZA RUIZ,PEDRO","PIZA RUIZ,PEDRO",100.0
"AMEZAGA MADRID,PATRICIA","AMEZAGA MADRID,PATRICIA",100.0
