NOMBRE_INVENTOR
"de la Torre Garcia,Juan Antonio"
"Baldini,Gerardo"
"Daenzer,Troy A"
"Hernandez Cruz,Alfonso"
"Kuhn,Bernd"
"Rupp,Roland"
"Klein,Jurgen"
"Krumbach,Bernd"
"Munozledo,Federico Castro"
"Kuri Harcuch,Walid"
"Mendez Mata,Lucia"
"Meli,Fabrizio"
"Rojo,Jose Andres"
"Elizondo,Alejandro A"
"Basu,Amiyo K"
"Rodriquez,Lorenzo Guadalupe"
"Pelka,Jean Francois"
"Salazar Olivio,Luis"
"Marsch Moreno,Meytha"
"Cruz Gomez,M Javier"
"Cohen Barki,Andres"
"Ramirez de Arellano Aburto,Nicolas"
"De La Fuente Farias,Jorge"
"Edmunds,Andrew"
"Aluja Schuneman,Martin Ramon"
"Diaz Fleischer,Francisco"
"Hagmann,Leonhard"
"Arcaro,David J"
"Mendoza,Gabriel J"
"Escobar Harrity,Miguel Francisco"
"Simon,Gerard K"
"Salazar,Ruben"
"Conlon,Thomas T"
"Cuevas Morales,Alfredo"
"Chavez Rosas,Mario Alberto"
"Moreno Olguin,Arturo"
"Sanchez Guevara,Moises"
"Nicholson,Warren Baxter"
"Aguinaga,Esau"
"Coronel Arredondo,David"
"Campos,Eduardo Enrrique Arguello"
"Icaza Acereto,Juan Jose"
"Hou,Daqing"
"Priesca,Jaime Quintana"
"Diaz,Herman"
"Nehring,Guilherme"
"Cortez Garcia,Antonio"
"Ortiz, Jr,Angel L"
"Jones,Marshall Gordon"
"Whipple, III,Walter"
"Rodriguez,Marco Acosta"
"Erikson,Carl Edward"
"Wirth,Xaver"
"Valles,Benjamin"
"Ikenaga,Hiroshi M"
"Rad,Mahmood"
"Shost,Mark A"
"Burrola,Santos"
"Ogura,Tetsuya"
"Huato,Julio"
"Robles Gil Bueno,Pablo"
"Schroeder,Fred Georg"
"Urueta,David"
"Campbell,David"
"Ramirez Tobias,Homero"
"Lopez Gonzalez,Walter"
"Lazaro Franco,Alberto"
"Martinez Burckhardt,Juan C"
"Ruiz,Israel Cruz"
"Fematt,Rafael Antonio"
"Arias,Herman"
"Cauduro,Armando"
"Aragon,Gabriel Arturo Carpio"
"Flores,Jose L G"
"Alvizouri,German"
"Carrillo,Alvaro"
"Newcomer,Samuel S"
"Gutierrez,Roberto"
"Coffey,Joseph C"
"Lona,Arturo"
"Hernandez Burgos,Jose"
"Salcedo,Ignacio Ramirez"
"Fernandez,Laura"
"Huerta,Benjamin"
"Mireles,Pedro G"
"Almaraz,Jose L"
"Carballido,Jose Luis Martinez"
"Rosbery,Jose Fuentes"
"Elizondo Salinas,Jesus Gerardo"
"Obregon Pena,Eduardo Amado"
"Seredin Storb,Gerasim"
"Healy,Rafael"
"Garcia Garza,Angel"
"Lopez Serrano Ramos,Francisco"
"Mille Loera,Luis Enrique"
"Solis,Efren"
"Subramanian,Viswanathan"
"Leanos,Eliseo Alfredo Bonilla"
"Hamer,David E"
"Cevallos,Ana Maria"
"Ward,Honorine"
"Keusch,Gerald T"
"Lopez,Ruben M"
"Gomez Del Campo,Juan Cordero"
"De Buen Unna,Nestor"
"Guevara Nieto,Luis German"
"Grau Genesias,Jaime"
"Almeida,Carlos"
"Velazquez,Jose"
"Becerra,Carlos F"
"Fong,Keith B"
"Morales,Veronica"
"Heinrichs,Jeffrey"
"Cordova,Ramon"
"Baranda,Pedro S"
"Prewo,Karl M"
"Jarmon,David C"
"Thompson,Mark S"
"Burgos,Victor"
"Robles,Rogelio"
"Bartol,Muriel L"
"Bartol,Luis E"
"Rodriguez,Luis E"
"Concha,Miguel A"
"Lopez,Jorge Louis"
"Mijares,Carlos"
"Mo,Hans"
"Lindstrom,Olof"
"Dalbo,Michael"
"Larson,Dave"
"Rios,Esteban"
"Topete,Jaime"
"Mayville,William Joseph"
"Mendizabal,Oscar H Bermudez"
"Santamaria,Gabriela Espinosa"
"Barrera,Jesus Manuel Bautista"
"Ramirez de Lara,Ma de Lourdes"
"Petersen,Hans Kurt"
"Vestergaard,Anders"
"Funder Kristensen,Torben"
"Rasmussen,Mogens H"
"Mondragon Parra,Eduardo R"
"Hamerich,Andreas"
"Lehnert,Lutz"
"Nguyen,Ngoc Thach"
"Sander,Werner"
"Binnewies,Arno Albert"
"Binio,Hans Joachim"
"Boecker,Karl Wilhelm"
"Meyer,Gunter"
"Stichnoth,Heinz"
"Krause,Dietmar"
"Weigt,Josef"
"Tran,Quang N"
"Garcia,Enrique Joel Valencia"
"Allen, Jr,Aberdeen"
"Ramirez Rivera,Pablo Alvaro"
"Askins,Javier Pena"
"Capuano,Daniel"
"Zapata,Ulises Zertuche"
"Nagorski,Richard H"
"Thomas,Robert W"
"McClellan,Daniel"
"Dobbins,Jeffrey L"
"Adams,Nathan"
"Reyes,Marco Tulio Nossa"
"Hess,Jeffrey"
"Schulte,Charles A"
"Hermann,George D"
"Drews,Michael J"
"de la Pena,Jose"
"Khouri,Roger K"
"de la Torre,Roger"
"Howell,Thomas A"
"Willis,David"
"Calderon De Los Santos,Juan Jose"
"Nava,Rita Mancilla"
"Lopez De Silanes,Juan"
"Pedain,Klaus Ulrich"
"Balassa,Juan"
"Kremer,Dr Gernot"
"Lopez,Pablo"
"Bolivar Flores,Yesid"
"Giberti Fornaciari,Serse"
"Moreno Moreno,Juan Jose"
"Urbina Menchaca,Luis Gerardo"
"Gonzalez,Rafael"
"Michelena,Carlos Roberto"
"Borchert,Robert C"
"Viesca,Victor Manuel"
"Brown,Stan"
"Solis Martinez,Ivan Jorge"
"Valadez Castillo,Rafael"
"Sanchez,Ramon"
"Godinez,Jose J Ortiz"
"Laufer,Michael D"
"Wadhwani,Suresh"
"Brown,Tony"
"Adame,Octavio V"
"Nguyen,Hein"
"Khalaj,Saeed Steve"
"Hughes,Gregg"
"Goth,Paul"
"Sanchez,Manuel"
"Newman,Robert A"
"Torres,Juan Carlos"
"Barbosa,Sergio"
"Larranaga,Javier"
"Criniti,Joseph"
"Campbell,Thomas Randolph"
"Santoro,Vito William"
"Thomson,Mark"
"Tobin,Michael"
"Ramirez,Leopoldo"
"Escobar,Sergio"
"Romero,Manuel"
"Rodriguez,Maria Sonia Limon"
"Loera,Luis Enrique Mille"
"Rosas,Jose"
"Cervantes,Roberto"
"Castanon,Gerardo"
"Talavera,Marina"
"Godoy,Arquimedes"
"Martinez,Daniel"
"O'Donnell,Hugh J"
"Mello,Ary O"
"Martinez Romero,Oscar"
"Garcia Moreno,Edson Francisco"
"Ruizpalacios Remus,Rodrigo"
"Aguirre,Jaime De La Torre"
"Logan,Douglas E"
"Wesson,John P"
"Hubbard,James L"
"Hollowell,Richard L"
"Strbuncelj,Zlatko"
"Pitts,John T"
"Nelles,Paul"
"Llorach,Gerald"
"Felix Faure,Catherine"
"Lopez,Guillermo Lopez"
"Echartea,Jesus Palomino"
"Suzuki,Shiro"
"Franco,Israel"
"Garcia,Mariano Fernandez"
"Lucero,Alfredo"
"Mendieta Jimenez,Francisco"
"Spirin,Vasilii V"
"Miridonov,Serguei"
"Shlyagin,Mikhail G"
"Posadas Sanchez,Daniel"
"Montes Valdez,Sergio"
"Murga Gonzalez,Patricio G"
"Ranc Gomez,Jose"
"Sarmiento,Carlos Gutierrez"
"Ortega,Pablo Cortina"
"Nieto,Javier Ortega"
"Haro,Antonio"
"Baez,Marco A"
"Warner,R Jay"
"Robelo Grajales,Gustavo Angel"
"Torres,Jose"
"Solorzano,Fernando Alejo"
"Murphy,Carl D"
"Sanchez Santiago,Francisco Javier"
"Ramirez,Ricardo Bustos"
"Fernandez,Leobardo Paulino"
"Aguilar Faisal,Jose Leopoldo"
"Ramirez,Carlos Wong"
"Uc,Monica Lara"
"Baeza Ramirez,Maria Isabel"
"Mar,Ituriel"
"Weber,Alexis C"
"Vasquez,Juan"
"Slechta,Scott"
"Merwin,Mari"
"Margain Ortiz,Gustavo"
"Loredo Murphy,Jorge"
"Olin Nunez,Miguel Angel"
"Flores Ponce,Juan"
"Dihora,Jiten Odhavji"
"GarciaGonzalez,Roberto"
"Saini,Gaurav"
"Poul,Marie Alix"
"Marks,James D"
"Becerril,Baltazar"
"Udd,Eric"
"Estrada,Jose Luis"
"Carlin,Omar"
"Cavazos Gutierrez,Rodrigo"
"Haber,Jose Cherem"
"Litchfield,Simon C"
"Johnson,C James"
"Parada,Aida"
"Perea, Jr,Lorenzo"
"Cabrera,Carlos"
"Ngo,Tuan V"
"Fernandez Grandizo Martinez,Jesus"
"Morales,Omar Torres"
"Martinez,Jesus"
"Barron,Luis"
"Collins,Duane Zedric"
"Hess,Jeffery A"
"Lawton,Robert J"
"Villanueva,Jose Alvaro Barba"
"Holder,William A"
"Badillo,Janneth"
"Schall,Norbert"
"Simmler Hubenthal,Hubert"
"Feldhaus,Herrmann Gerardo"
"Contreras,Elizabeth Sotelo"
"Recio,Mario A"
"Sanchez,Efrain Joel Pena"
"Stierle,Thomas"
"Payant,Andre"
"Martinez Carrillo,Daniel A"
"Sutter,Jeffrey A"
"Dupuie,Bradley A"
"Rogerio,Aranda"
"Zhang,Changhong"
"Mucha,Jason"
"Makar,Simon"
"Cobas Asensio,Rafael"
"Hiltunen,Larry"
"McCoy,John C"
"Mendenhall,Russell A"
"Mui,Paul K"
"Borbolla Gonzalez,Teodoro Rodrigo"
"Uijen,Wilhelmus"
"Wiechers,Alelandro"
"Acacio,Victor"
"Cantu Gonzalez,Ricardo"
"Smith,Malcolm"
"Mann,Donald C"
"Mosley,Raymond A"
"Ramirez,Manuel"
"Maynez,Rafael"
"Sanchez,Ana Silvia"
"Guerrero Zepeda,Marco A"
"Sandoval,Jaime"
"Cano,Carlos"
"Hamm,Donald Joseph"
"Puno,Christopher"
"Felix,Catherine Titus"
"Hawthorne,Shirley A"
"Hanson,Gary"
"Kasperchik,Vladek"
"McManus,Richard J"
"Guo,Shilin"
"Burch,Eric L"
"Weeks,Dan M"
"Johnsen,David J"
"Becerra Novoa,Jorge O"
"Mascorro Gallardo,Jose Oscar"
"Van Dijck,Patrick"
"Iturriaga de la Fuente,Gabriel"
"Van Vaeck,Christophe"
"Thevelein,Johan"
"Quintela,Richard"
"Medellin,Francisco"
"Kish,Thomas G"
"Ramirez,Ramiro"
"Yamamoto,Yoshihiro"
"McBride,Laura"
"Takeuchi,Shojiro"
"Bhattacharya,Shubho"
"Gutierrez,Saul Gonzalez"
"Zubia,Raul"
"Reyna,Javier"
"Spirine,Vassili"
"Chliaguine,Mikhail"
"Jimenez,Francisco Javier Jimenez"
"Abenchuchan,Enrique Mitrani"
"Rock,Emilio Sacristan"
"Quintanar,David"
"Allemann,Eric"
"Fessi,Hatem"
"Doelker,Eric"
"Maldonado,Miguel"
"Leising,Frederic"
"Taton,Daniel"
"Dureault,Alex"
"Destarac,Mathias"
"Gnanou,Yves"
"Green,Alan H"
"Quintana,Manuel"
"Andersen,Eric L"
"Fujii,Wesley Alan"
"Trejo,Luis"
"Muris Trevino,Alfonso R"
"Sivik,Mark Robert"
"Kasturi,Chandrika"
"Scheper,William Michael"
"Berger,Patricia Sara"
"Schafer,Michael Gayle"
"Kluesener,Bernard William"
"Bodet,Jean Francois"
"Lipsey, II,Percy J"
"Puhalla,Craig J"
"Tongo,Ernesto J"
"Gazdecki,Randal D"
"Alarcon,Jose I"
"Viveros,Jacobo Torres"
"Cardoza,Sergio"
"Hermida Ochoa,Elias"
"Sanchez Pina,Jose L"
"Krause Sennewald,Georg K"
"Maloof,Alberto Carrillo"
"Gonzalez,Gustavo"
"Verstovsek,Srdan"
"Sotelo Lerma,Merida"
"Zingaro,Ralph A"
"Freireich,Emil"
"Duzkale,Hatice"
"Kantarjian,Hagop"
"Garza,Juan Jose Gonzalez"
"Barranon,Jose Angel Cardenas"
"Granguillhome,Enrique R Cardenas"
"Urquidi,Carlos A"
"Sanchez,Francisco"
"Mercado,Humberto Quezada"
"Vazquez,Mariano Perez"
"Castonguay,Guy"
"Tea,Jose Gustavo Fernandez"
"Bucio,Miguel Angel Herrera"
"Bradley,John"
"Orozco,Gavaldon Humberto"
"Salazar Leal,Rita Lorena"
"Revuelta Doval,Jose"
"Buitrago Serna,Maria Jose"
"Gonzalez Hernandez,Gloria Angelica"
"Garcia Ramirez,Jose Javier"
"Santos Garcia,Maria Angeles"
"Garcia,Maria L"
"Povlsen,Inge Lise"
"Hostrup,Pernille"
"Olsen,Torkil Steenholt"
"Soe,Jorn"
"Poulsen,Charlotte Horsmans"
"Represas de Almeida,Jose"
"Quintanilla,Alethia R"
"Talavera,Jesus B"
"Yager,Christopher"
"Brown,Francis"
"Villasana,Renato V"
"Gan,Zhongxue"
"Brogardh,Torgny"
"Tang,Qing"
"Brantmark,Hakan"
"Arcos Gomar,Benjamin F"
"Arcos Castro,Tupac"
"Hermida,Elias Humberto Ochoa"
"Coss,Oscar Augusto Martinez"
"Sanchez B,Eduardo T"
"Pecqueur,Remi"
"Hoshida,Takeshi"
"Castro Munozledo,Federico"
"Berry,Alan"
"Valle,Fernando"
"Mejia,Noemi"
"Herrera,Daniel"
"Torres Montalvo,Jose Heriberto"
"Gutierrez Gaitan,Miguel Angel"
"Garza Ortiz,Marco Antonio"
"Ramos,Ituriel Mar"
"Moreno,Gabriel"
"Gutierrez,Jorge"
"Hernandez,Omri"
"Flores Fuentes,Gerardo"
"Cerda Rivera,Fernando"
"Gaytan Cavazos,Carlos"
"Slack,Harry"
"Tipton,Gary A"
"Alfonso,Perez Sanchez"
"Adrian,Gonzalez Parada"
"Luis,Nieto Sanchez Jose"
"Tollius,Tom"
"Perez Cordova,Ramon"
"Duarte Escareno,Pablo Enrique"
"Lizcano Zulaica,Carlos"
"Delaere,Marc"
"Guzman,Roberto"
"Van Hoecke,Pedro"
"Batlaw,Rajnish"
"ESTRADA,Jorge"
"Valdez,Ricardo"
"Huerta,Rolando"
"Alvarado,Andres Guevara"
"Alemany,Jose  Torres"
"Vera,Enrique R M"
"Eguia Marquez,Graciela"
"Castillo Linton,Carlos Enrique"
"Lopez Gonzales,Waltter"
"Terres Rojas,Eduardo"
"Barrera,Vincente Rodriguez"
"Valladolid,Ramon Torres"
"Alexander,Arnon"
"Payne,Jonathan"
"Rodriguez,Hector"
"Garza de La Garza,Sanjuana"
"Roberts,David"
"Martin,Luis"
"Casas,Juan Antonio"
"Channell,Garry R"
"Gonzalez,Jaime"
"Ramirez,Juan Fernando"
"Perez,Efren"
"Luck,Richard Henry"
"Needham,David"
"Aldred,Alexander"
"Trusty,Paul Anthony"
"Ponce,Rafael Antonio Martinez"
"Sada Trevino,Adrian"
"Celorio Villasenor,Armando"
"Maiz,Javier Villarreal"
"Martinez,Juan Carlos"
"Schwark,Diane M"
"Dagosto,Michael"
"Ortiz,Alejandro Lopez"
"Valenzuela,Oscar"
"de la Torre Saenz,Luis"
"Aguirre,Manuel Roman"
"Elguezabal,Alfredo Aguilar"
"Mitrani Abenchuchan,Enrique"
"Marquez Lucero,Alfredo"
"Cusack,Christopher C"
"Jennings,Daniel Lee"
"Miller,Cliff"
"Laban,Christopher Scott"
"Cortina,Francisco Martinez de Velasco"
"Rietzler,Manfred"
"Jacoby,Brian"
"Parsons,Mary"
"Hander,Jennifer Elizabeth"
"Kelly,Joseph William"
"Montes,Nolvia Elizabeth Zelaya"
"Neel,Donald Vaughn"
"Taylor,Darrell L"
"Maya,Mendez Mauro Eduardo"
"Perez,Sanchez Alfonso"
"Nieto,Sanchez Jose Luis"
"Tijerina,Mario"
"DiTroia,Gary W"
"Guillaumin,Laurent"
"Richer Santos,Eugenio Guillermo"
"Albizuri,Inigo"
"Garza Alvarez,Jose Rafael"
"Davila,Gabriel"
"Salvador,Nicte"
"Quintero de la Garza,Raul Gerardo"
"Kakoschke,Dale"
"Urednicek,Mirek"
"Pavon,Ruben"
"Ocampo,Fernando Vicente Ruiz"
"Alvarez,Mario Moises"
"Leung,Shun Wang"
"Tummala,Srinivas"
"Lo,Ehrlic"
"Rifai,Osamah"
"Rohrs,Jonathan D"
"Diaz,Mauricio"
"Nayfeh,Samir"
"Akamphon,Sappinandana"
"Warman,Emily C"
"Gamboa,Oscar"
"Davis,James R"
"Hamer,Colin"
"Martinez de Velasco Cortina,Francisco"
"Rodriquez,Heberto Ramos"
"Trevino,Lizbeth"
"Murray,Brendan Dermot"
"Fong,Howard Lam Ho"
"Cano,Manuel Luis"
"Lawten,Robert J"
"Davila,Vincente Gonzalez"
"Tongo,Jorge E"
"Turner,David"
"Gundy,Raymond P"
"Baccigotti,Marco Dondi"
"Chliwnyj,Alex"
"Ortiz,Ricardo"
"Guerra,Jose"
"Schroeder,Thaddeus"
"Aldana,Francisc Javier Ramirez"
"Villalobos,Antonio"
"Landgrave,Enrique"
"Gonzalez,Criseida"
"Ayala,Ignacio Luis"
"Gutierrez Ortega,Gerardo"
"Balderas Ayala,Manuel Gerardo"
"Cardenas Siller,Leopoldo"
"Nagaswami,Nikhll S"
"De Anda Uribe,Victor Manuel"
"Serna Garza,Fernando"
"Hernandez,Salvador"
"Flores,Jose G"
"Yanes,Luis Armando"
"Rosti,Shawn"
"Reardon,Laura I"
"Gonzalez Cruz,Jorge Carlos"
"Uribe Quintanilla,Antonio"
"Shelley,Michael James"
"Camacho Lopez,Miguel Angel"
"Palffy Muhoray,Peter"
"Ochoa,Carlos"
"Siadati,Mohammad H"
"Alonso,Gabriel"
"Chianelli,Russell R"
"Robledo,Epitacio"
"Shaver,David C"
"Keer Rendon,Arturo"
"Alcantara,Miguel"
"Cardona,M C Mario D Torres"
"Rosales,Jose Antonio Trujillo"
"Lugo Saucedo,Maria Selene"
"Cardenas Flores,Raul D"
"Henning,John"
"Culpepper,Bert"
"Kircher,Timothy"
"Cross,David"
"Gomez,Fermin Enecoiz"
"Valenzuela Grado,Jaime"
"Garcia Casillas,Perla Elvia"
"Burciaga Melendez,Pedro"
"Garcia Luna,Armando"
"Yamakawa,Toru"
"De Garay Arellano,David Antonio"
"Delpire,Eric"
"Gamba,Gerardo"
"Mount,David"
"George,Alfred"
"Gutierrez Vazquez,Hernan I"
"Camarena Villasenor,Jose De Jesus"
"Ortiz,Evodio"
"Trujillo,Armado"
"Riveron Rojas,Ana Maria"
"Herrera Isidron,Jose"
"Noa Blanco,Maria Dolores"
"Arencibia Diaz,Oscar"
"Javert Higginson,Elisa"
"Gigato Perez,Regnar"
"Batista Santiler,Luis Mariano"
"Orozco Orozco,Esther"
"Perez Perez,Gabriel"
"Ruiz Esquivel,Leonardo"
"Lopez Canova,Lilia"
"Canino Ramos,Carlos Alberto"
"Beltran,Maria"
"Tijerina,Abraham"
"McAndrew,Stuart"
"Wortley,Jonathan"
"Bees,David"
"Molina,Humberto"
"Ramirez,Hector"
"Silva,Pedro"
"Buendia,Manuel Torres"
"Zevallos,Manuel Legendre"
"Corvera Poire,Eugenia"
"Del Rio Portilla,Jesus"
"Lopez de Haro,Mariano"
"Zuehl,Carsten"
"Madero O'Brien,Miguel E"
"Jackson,George W"
"Collins,David"
"Alfaro Luna,Jorge Alberto"
"Moysen Romero,Claudia Evelia"
"Trejo Olvera,Jose  Carlos"
"Saucedo Flores,Emmanuel"
"Menez,Guillermo"
"Fimognari,Domenico"
"Garcia,Ruben"
"Ortiz,Luis M"
"Lopez,Kermit D"
"Calderon,Moises"
"De Luna,Salvador"
"Ortega,Jesus Santoyo"
"Campos,Mauricio"
"Esparza,Gilberto"
"Esquivel,Jesus"
"Correa,Hugo C"
"Duenas,Jose Luis"
"Castillo,Rosa Elena"
"Velazquez,Carlos Vega"
"Coello,Arthur"
"Quintanar Guzman,Adriana"
"Rivero Jimenez,Carmela"
"Rodriquez,Gustavo"
"Cordona,Mario D T"
"Heremans,Joseph P"
"Partin,Dale L"
"Fuentes,Sergio"
"Torres,Brenda"
"Picard,Wayne David"
"Zinobile,Raymond J"
"Scates,Mark O"
"Trueba,David A"
"Talancon,Jose J Arturo"
"Brown,Kim"
"Watts,Brian"
"Tran,Lan"
"Arreaga Garza,Jose Arturo"
"Anctil,Susan"
"ATWELL,Scott"
"Rangel,Gabriel Davila"
"Lestourgeon,Kevin C"
"Rivas,Olegario"
"Jaua,Jose Ernesto"
"Lopez,Hendry"
"Escoto,Alejandro Raigoza"
"Zaleta,Leocadio Meza"
"Lara,Gerardo Teefilo Pavon"
"Hernandez,Jos{acute over ())}{acute over (})}e   Lorenzo Urbina"
"Carrillo,Oswaldo"
"Grassmuck,Michael D"
"Maxwell,Susan A"
"Chairez,Francisco"
"Murillo, Jr,Tomas"
"Monreal,Jose"
"Heiras,Filiberto"
"Rodriguez,Cesar"
"Neitzel,Roger S"
"Vazquez,Fernando"
"Macias,Jose"
"Perez,Sergio"
"Venegas,Ken R"
"Renteria,Armando Rimoldi"
"Kramer,Peter K"
"Wagener,Michael"
"Rascon,Raul Antonio"
"Ibarra,Martin"
"Macias Horta,Jose  Antonio"
"Medina Herrera,Mauro"
"Gonzalez Ramirez,Jesus Ariel"
"Avina Vielma,Saul"
"Ramirez Aguilar,Guillermo"
"Varela Fuentes,Fernando"
"Flores Jauregui,Jose Manuel"
"Butron,Manuel Fernando Mejias"
"Schloemer,George C"
"Marquez,Elias"
"St Louis,Robert Thomas"
"Channell,Heidi"
"Jacobs,Tyler"
"Garcia,Guadalupe"
"Szwedowicz,Jaroslaw Leszek"
"Masserey,Pierre Alain"
"Szwedowicz,Dariusz"
"Herrera,Juvenal"
"Monroy,Armando"
"Lu,Jianyang"
"Federspiel,Fred J"
"Waelbroeck,Henri"
"Gonzalez,Roberto"
"Lozano,Andres M"
"Jimenez,Fiacro"
"Velasco,Marcos"
"Milke Rojo,Jorge Guillermo"
"Kautzer,Jeffrey Alan"
"Wang,Kuang Yu"
"Neumann,David"
"Williams,Danny L"
"Montes,Eduardo"
"Frias,Luis Ontiveros"
"Caseres,Crisoforo Peralta"
"de Lagarde,Daniel Leon"
"Brown,J Ernest"
"Fu,Diankui"
"Blanco,Juan Gabriel"
"Francini,Pia Angela"
"Cavazzoli,Gustavo"
"Kirby,Matthew J"
"Rodriguez,Jose L"
"Barrera,Leonel A"
"Alonso,Armando Diaz"
"Noriega,Alvaro Vallejo"
"Cavada,Luis"
"Burtch,Matthew T"
"Diessner,Horst D"
"Burbank,Fred H"
"Elizondo Riojas,Guillermo"
"Altieri,Greig E"
"Jones,Michael L"
"Gonzalez,Alejandro"
"Kocherga,Michael E"
"Gurrola Briones,Georgina"
"Garcia Rodriguez,Ma Consuelo"
"Valdez Cruz,Norma Adriana"
"Corona Villegas,Miguel"
"POSSANI POSTAY,Lourival Domingos"
"Lopez Guajardo,Ricardo Alejandro"
"Ayala,Vicente Aldape"
"Mahnken,Brian"
"Park,Jeffrey M"
"Santurtun,Santiago"
"Culbertson,David M"
"Montalvo,Juan J"
"Delamora,Cristian D"
"Hernandez Hernandez,Enrique"
"Ornelas Cravioto,Alejandro"
"Canales,Salvador A"
"Moller,David D"
"Schneider,Philip K"
"Quiroz Mercado,Hugo"
"Zubieta,Antonio"
"Winter,John M"
"Rezac,Willard J"
"Arce,Itzcoatl Bareno"
"Zamudio,Oscar Rodriquez"
"Cassassuce,Florence Valerie"
"Elizondo,Daniel Alejandro Romero"
"Ye,Jose Luis Alcantar"
"Carrasco Aguirre,Raymundo"
"Rubio,Alberto E"
"Gallegos,Salvador"
"Lehr,Gregory"
"Molinar,Sergio R"
"Hansen,Dennis"
"Villalobos,Federico"
"Eaton,Jerry L"
"Kulakofsky,David"
"Pulido,Pedro"
"Morales,Octavio Araujo"
"Bonifacio,Raul"
"Garcia Castillo,Guillermo"
"Avalos Guzman,Rafael"
"Coronado,Nicte"
"Ruiz,Fermin"
"Riano Umbarila,Lidia"
"Taylor,Alfred Alexander"
"Palma,Luigi Di"
"Maglinger,Frank W"
"Rangel,Leonardo"
"Griffith,Joseph Michael"
"Hortin,Gregory Gene"
"Argumedo,Sinuhe"
"Artola,Victor"
"Humberto,Orozoo Gavaldon"
"Garcia,Ceferino"
"Castrellon,Martha Alejandra Azcarate"
"Romero,Claudia Evelia Moysen"
"Jima,Jorge Alberto Alfaro"
"Olvera,Jose Carlos Trejo"
"Ugolini,Alan W"
"Barnes,Ray S"
"Dennis,Robert W"
"Rodriguez Rivera,Jose Antonio"
"O'Flynn,Kelly Anthony"
"Gao,Mingzhang"
"Bravo,Jose Jaime Zuniga"
"Pacheco,Jesus"
"Giger,Robert John"
"Mears,Mark Gilmore"
"Montanez,Roberto"
"Davila,Vicente"
"Pena,Victor"
"Pena,Ricardo Medina"
"Adams,Randy Howard"
"Bucay Bissu,Moises"
"Riley,Robert Q"
"Iuchi,Shiro"
"Green,Howard"
"Lozada y Cassou,Marcelo"
"Flores Ortiz,Luis Francisco"
"Ruiz Morales,Yosadara"
"MORA VALLEJO,Rodolfo Juventino"
"Tabla,Octavio Parra"
"Estrada,Luis Vazquez"
"Hernandez Perez,Lazaro Eusebio"
"De Moral Mas,Jose  Luis Jorge"
"Kamentser,Boris"
"Zul,Francisco"
"Kamentser,Eugenia"
"Haaser,Frederic Gardner"
"Yapp,Scott"
"Cisneros,Angelica"
"Hunter,Dewey"
"Saucedo,Eduardo"
"Barnes,Francisco Jose"
"Saucedo,Raul Agustin"
"De La Fuente,Jose A"
"Rodriguez Garay,Gerardo"
"Moreland,Jeffrey C"
"Perales Solis,Norberto Hector"
"Narasimhan,Dave"
"Rito Palomares,Marco A"
"Serna Saldivar,Sergio"
"Olvera,Ricardo Montoya"
"Quiroga,Jose Torres"
"Delgado Mecinas,Nestor"
"Wielenga,Bob L"
"Ramirez Delgado,Roberto"
"Barrow,Harry"
"Barrett,Michael Paul"
"Corben,John"
"Johnson,Ashley Bernard"
"Rytlewski,Gary L"
"Jenkins,Charles"
"Massu,Rodrigo Lobeira"
"Ramirez,J Fernando"
"Gray,Mathew A"
"Ramirez,Uzziel A"
"Perez,Rodolfo"
"Sliney,Thomas C"
"Perez,Tito G"
"De La Mora,Rodolfo"
"Hollinger,R Donald"
"Maya,Aldo"
"Magnanti,Luigi R"
"Piter,Jesus M"
"Freiwald,John T"
"Barba,Gabriel Sanchez"
"Wilson,David L"
"de Alba Garcin,Sergio Garcia"
"Garcia,Rogelio Reyna"
"Stewart,Bradley C"
"Sell,Heinz W"
"Cabrales,Victor Cordero"
"Kasak,Alexander N"
"Willacker,Michael"
"Coro,Luz Maria"
"Taylor,James W"
"Kanan,Antonio"
"Alcantara,Oscar M"
"Herrera Gurrola,David"
"Slager,Irvin M"
"Khehra,Mehtab S"
"Rebolledo,Victor"
"de Silanes,Juan Lopez"
"Paniagua Solis,Jorge F"
"Mancilla Nava,Rita"
"Zavala Avelar,Juan Pablo"
"Cumplido,Rene"
"Goodall,Roger Morgan"
"Jones,Simon"
"Salinas,Octavio Beltran"
"Luther,James Phillip"
"Garcia,Cesar G"
"Pavon,Gerardo"
"Hurley,William Carl"
"Mitchell,Todd Edward"
"Sanchez,Manuel Alejandro Lopez"
"Lewallen,Christopher Paul"
"Martin,Roland"
"Ortiz Aleman,Jose  Carlos"
"Gamio Roffe,Jose  Carlos"
"Mays,Richard A"
"De Los Santos,Ernesto"
"Patel,Umeshkumar R"
"Fujiwara,Kazuhiro"
"Yamaki,Shigehiro"
"Morita,Haruki"
"Yakabe,Yoshinori"
"Kogiso,Kazuyuki"
"Trueba,Luis"
"Anaya Olvera,Alejandro"
"Messner,Thomas Wayne"
"Espinosa,Juan"
"Amaya,Marco"
"Smith,Paul N"
"Jodts,Richard"
"Camarillo,Carlos"
"Marzi,Steve"
"Villalobos,Marco A"
"Deeter,Gary A"
"Rojas Garcia,Jose Manuel"
"Revilla Vazquez,Javier"
"Gutierrez Cruz,Gerardo"
"Sivanandan,Vaithianathan"
"Vazquez,Maria Elena"
"Campogarrido,Raul"
"Gonzalez Hernandez,Carlos"
