NOMBRE_INVENTOR
"Ivars Barcelo,Francisco"
"QUINTANA SOLORZANO,Roberto"
"Del Angel Vicente,Paz"
"Lopez Nieto,Jose Manuel"
"Masso Ramirez,Amada"
"ARMENDARIZ HERRERA,Hector"
"GUZMAN CASTILLO,Maria de Lourdes Alejandra"
"Ruiz,J Elias"
"Luna Olvera,Ricardo David"
"Delgado,Gerardo Brigido"
"CHANDRASEKARAN,YOGESH DHANABALAN"
"THALLS,SCOTT T"
"Heater,Timothy E"
"Ramirez,Jose Aldo"
"Anand,Prabhjee"
"Luhahi,Ndjeka K"
"Saavedra,Oscar"
"Marini Parissi,Jesus"
"Gomez Melchor,Jorge"
"Morales Alvarez,Sergio"
"Perales Munoz,Waldemar Alejandro"
"Kleen,Randall John"
"Sanchez,John Eder"
"Santoyo,Fernando Mendoza"
"Gonzalez,Francisco Javier"
"Velazquez Salazar,J Jesus"
"Ponce Pedraza,Arturo"
"Jose Yacaman,Miguel"
"Liu,Li"
"Quang,Dam Le"
"Urtaza Guerra,Juan Antonio"
"Miranda Nieto,Jorge Adolfo"
"Erales,Miguel Angel"
"Romero Contreras,Javier"
"Ruiz Espinoza,Rodrigo"
"Celedon Barcena,Patricia"
"Hernandez Suarez,Rogelio"
"Jimenez Cruz,Federico Jesus"
"Rodriguez Rodriguez,Javier Esteban"
"Marin Rosas,Celia"
"Martinez Guerrero,Maria del Carmen"
"Castaneda Lopez,Luis Carlos"
"Murrieta Guevara,Florentino Rafael"
"Jaramillo Jacob,Alicia del Rayo"
"Tellez,Jonnathan Ricardo"
"Ramirez,Carmen Josefina"
"Davila,Omar Odin"
"Loaiza,Jan Rene"
"Chicurel,Ricardo"
"Sosa Alfaro,Arian Jose"
"Hernandez Cervantes,Oscar"
"Santana Sanchez,Tonatiuh"
"Santo Rincon,Antonio Espiritu"
"Vijay,Vikas"
"Villegas,Miguel Mendez"
"Chang,Yi Cheng"
"Nunez Sanchez,Angel Enrique"
"Lopez Lima,Jose Daniel"
"Carrion Villarnovo,Gloria Luz Laura"
"Hernandez Leal,Tania Isadora"
"Ramirez Pavon,Omar Antonio"
"Peregrina Loera,Jose Alfredo"
"Castro Duran,David"
"Hernandez Aviles,Ernesto"
"Quijano Martinez,Jose Sebastian"
"Artigas Monroy,Ernesto"
"Diaz Sanchez,Edgar"
"Gascon Rivera,Maria Cristina"
"Aburto Crespo,Hiram"
"Rosas,Jesus Fernando Escalante"
"Mashetty,Srikanth G"
"Suheil,Hassan S"
"Machado,Miguel Armando"
"Martinez Lopez,Jose Manuel"
"Mares Gallardo,Maria Teresa"
"Hernandez Perez,Fidencio"
"Cano Dominguez,Jose Luis"
"Garcia Gutierrez,Jose Luis"
"Aleman Vazquez,Laura Olivia"
"Perez Lecuona,Federico"
"Paisano Rodriguez,Fernando"
"Santillan Gutierrez,Diego"
"Betancourt Santana,Gabriela"
"Falconer,Maynard C"
"Leddige,Michael W"
"Sreerama,Chaitanya"
"Zenteno Ramirez,Antonio"
"Hall,Stephen H"
"Oluwafemi,Olufemi B"
"Rivera Romano,Pedro"
"Galvan Guzman,Eugenio"
"Flores Silguero,Carlos"
"Cano Rodriguez,Valdimir"
"Rodriguez Najera,Gerardo"
"Wheeler,Grant Michael"
"Smith,Mark"
"Ragalyi,Steven P"
"Ledesma Orozco,Elias Rigoberto"
"Petitpas,Guillaume"
"Switzer,Vernon A"
"Aceves,Salvador M"
"Espinosa Loza,Francisco"
"Alcantar Camarena,Victor Alfonso"
"Carpio,Bernard Binuya"
"Gamez,Jesus Alberto"
"Flores Baca,Adrian"
"Murillo,Daniel"
"Sievers,Scott E"
"Cano,Gustavo"
"Campbell,Brent"
"Pfarr,John T"
