Inventor,inventor_id,a
Francisco Romero Salido,fl:fr_ln:romerosalido-1,
Francisco Sosa,fl:fr_ln:sosa-1,
Francisco Vargas,fl:fr_ln:vargas-2,
Gabriel de la Rosa Esparza,fl:ga_ln:esparza-1,
Gabriel GOJON-ZORRILLA,fl:ga_ln:gojonzorrilla-1,
Gabriel Hernández-Zamora,fl:ga_ln:hernandezzamora-1,
Gabriel Padilla,fl:ga_ln:padilla-1,
Georgina Cecilia Laredo Sanchez,fl:ge_ln:laredosanchez-1,
Gerardo Castanon,fl:ge_ln:castanon-1,
Gerardo Hernandez Gonzalez,fl:ge_ln:gonzalez-4,
Gerardo Mijares Saenz,fl:ge_ln:saenz-2,
Gian Carlo Morlet Ugalde,fl:gi_ln:ugalde-1,
Gilberto Robles González,fl:gi_ln:roblesgonzalez-1,
Gildardo Ramirez,fl:gi_ln:ramirez-2,
Gladys Teresa Castorena Cortes,fl:gl_ln:castorenacortes-1,
Graciela Morales,fl:gr_ln:morales-1,
Graciela Reyes Granados,fl:gr_ln:reyesgranados-1,
Guadalupe Rodriguez Sanchez,fl:gu_ln:sanchez-2,
Guanghui Sun,fl:gu_ln:sun-79,
Guillermo Cesar Cervantes Guarneros,fl:gu_ln:cervantesguarneros-1,
Guillermo Locht,fl:gu_ln:locht-1,
Guillermo-José Aguirre-Esponda,fl:gu_ln:aguirreesponda-1,
Gustavo Eduardo Valencia Cruz,fl:gu_ln:valenciacruz-1,
Hector Daniel Martinez,fl:he_ln:martinez-1,
Hector G. Martinez,fl:he_ln:martinez-3,
Hector Hernandez Hernandez,fl:he_ln:hernandezhernandez-1,
Héctor Jaime Alba,fl:he_ln:alba-1,
Heliodoro OSUNA,fl:he_ln:osuna-1,
Herbert Höpfl,fl:he_ln:hopfl-1,
Herman Arias,fl:he_ln:arias-1,
Hiram Aburto,fl:hi_ln:aburto-1,
Horacio Solis,fl:ho_ln:solis-1,
Hugo Antonio Munoz Acosta,fl:hu_ln:acosta-1,
Hugo Fuentes,fl:hu_ln:fuentes-1,
Humberto Orozco Gavaldon,fl:or_ln:humberto-2,
Irene Cruz Leyva,fl:ir_ln:leyva-1,
Ivan Alejandro Gonzalez,fl:iv_ln:gonzalez-1,
Ivan Alejandro Herrera Agassini,fl:iv_ln:herreraagassini-1,
Ivan Jesus Lopez,fl:iv_ln:lopez-1,
Ivan Perez,fl:iv_ln:perez-1,
J. Jesus Castillo Munguia,fl:j._ln:castillomunguia-1,
Jacobo Zyman Beer,fl:ja_ln:zymanbeer-1,
Jaime López-Cervantes,fl:ja_ln:lopezcervantes-1,
Jaime Valenzuela Grado,fl:ja_ln:valenzuelagrado-1,
Jairo Abraham Cruz Lopez,fl:ja_ln:cruzlopez-1,
Jaquelin Martinez Viramontes,fl:ja_ln:martinezviramontes-1,
Javier Aranda Cotero,fl:ja_ln:arandacotero-1,
Javier Castro Rosas,fl:ja_ln:castrorosas-1,
Javier Esteban Rodriguez Rodriguez,fl:ja_ln:rodriguezrodriguez-1,
Javier Ramirez,fl:ja_ln:ramirez-4,
Jeronimo Ramirez,fl:je_ln:ramirez-11,
Jessica Valeria FUENTES SANTIAGO,fl:je_ln:fuentessantiago-1,
Jesus Alejandro Tule,fl:je_ln:tule-1,
Jesus Fernandez-Grandizo Martinez,fl:je_ln:fernandezgrandizomartinez-1,
Jesus Marini Parissi,fl:je_ln:mariniparissi-1,
Jesus Vazquez,fl:je_ln:vazquez-1,
