Nombre Buscado,Mejor Coincidencia,Similitud
"ACOSTA NAJARRO,DWIGHT ROBERTO","ACOSTA NAJARRO,DWIGHT ROBERTO",100.0
"GUTIERREZ GARZA,ESTHELA MARIA","GUTIERREZ GARZA,ESTHELA MARIA",100.0
"VINIEGRA VELAZQUEZ,LEONARDO ENRIQUE","VINIEGRA VELAZQUEZ,LEONARDO ENRIQUE",100.0
"PEÑA DIAZ,ANTONIO CALVIN","PEÑA DIAZ, ANTONIO CALVIN",97.95918367346938
"VILLAFUERTE Y CASTREJON,MARIA ELENA DEL REFUGIO","VILLAFUERTE Y CASTREJON,MARIA ELENA DEL REFUGIO",100.0
"LOPEZ COLOME,ANA MARIA","LOPEZ COLOME,ANA MARIA",100.0
"PEREZ Y PERAZA,JORGE ALBERTO","PEREZ Y PERAZA,JORGE ALBERTO",100.0
"RIVERA REBOLLEDO,JOSE MANUEL","RIVERA REBOLLEDO,JOSE MANUEL",100.0
"CORONADO GALLARDO,MANUEL","CORONADO GALLARDO,MANUEL",100.0
"VARGAS GUTIERREZ,GREGORIO","VARGAS GUTIERREZ,GREGORIO",100.0
"PEREZ ENRIQUEZ,HECTOR ROMAN","PEREZ ENRIQUEZ,HECTOR ROMAN",100.0
"VALDES GALICIA,JOSE FRANCISCO","VALDES GALICIA,JOSE FRANCISCO",100.0
"GOMEZ ARROYO,SANDRA LUZ","GOMEZ ARROYO,SANDRA LUZ",100.0
"VILLALOBOS Y PIETRINI,RAFAEL DE JESUS","VILLALOBOS Y PIETRINI,RAFAEL DE JESUS",100.0
"CALLEJA GJUMLICH,JORGE HUGO","CALLEJA GJUMLICH,JORGE HUGO",100.0
"DIAZ GUERRERO,GABRIELA ALICIA","DIAZ GUERRERO,GABRIELA ALICIA",100.0
"FUENTES MOYADO,SERGIO","FUENTES MOYADO,SERGIO",100.0
"GONZALEZ FLORES,AGUSTIN EDUARDO","GONZALEZ FLORES,AGUSTIN EDUARDO",100.0
"ROSENBAUM PITLUCK,MARCOS","ROSENBAUM PITLUCK,MARCOS",100.0
"SHIMADA MIYASAKA,ARMANDO SADAJIKO","SHIMADA MIYASAKA,ARMANDO SADAJIKO",100.0
"MEDRANO ROLDAN,HIRAM","MEDRANO ROLDAN,HIRAM",100.0
"TORRES JIMENEZ,JOSE","TORRES JIMENEZ,JOSE",100.0
"ALMANZA SALGADO,RAFAEL","ALMANZA SALGADO,RAFAEL",100.0
"SANTIAGO CRUZ,MARIA DE JESUS LEONIDES","SANTIAGO CRUZ,MARIA DE JESUS LEONIDES",100.0
"LARQUE SAAVEDRA,FRANCISCO ALFONSO","LARQUE SAAVEDRA,FRANCISCO ALFONSO",100.0
"DIAZ MIRANDA,SOFIA YOLANDA","DIAZ MIRANDA,SOFIA YOLANDA",100.0
"DE OLIVEIRA BARBOSA,ORLANDINA","DE OLIVEIRA BARBOSA,ORLANDINA",100.0
"GARCIA Y CALDERON,GASTON DANIEL","GARCIA Y CALDERON,GASTON DANIEL",100.0
"MARTINEZ MADRID,MIGUEL","MARTINEZ MADRID,MIGUEL",100.0
"ORTIZ ORTIZ,LIBRADO","ORTIZ ORTIZ,LIBRADO",100.0
"GOMEZ MANCILLA,JULIO CESAR","GOMEZ MANCILLA,JULIO CESAR",100.0
"NAJERA CORONADO,MARTHA ILIA","NAJERA CORONADO,MARTHA ILIA",100.0
"CONDES Y LARA,MIGUEL","CONDES Y LARA,MIGUEL",100.0
"DEL CASTILLO MUSSOT,MARCELO","DEL CASTILLO MUSSOT,MARCELO",100.0
"ESCOBOSA ECHAVARRIA,ARTURO","ESCOBOSA ECHAVARRIA,ARTURO",100.0
"ASOMOZA Y PALACIO,JOSE PABLO RENE","ASOMOZA Y PALACIO,JOSE PABLO RENE",100.0
"MAGAÑA SOLIS,LUIS FERNANDO","MAGAÑA SOLIS, LUIS FERNANDO",98.11320754716981
"VAZQUEZ MANTECON,MARIA DEL CARMEN","VAZQUEZ MANTECON,MARIA DEL CARMEN",100.0
"FALCONY GUAJARDO,CIRO","FALCONY GUAJARDO,CIRO",100.0
"LUNA ACOSTA,GERMAN AURELIO","LUNA ACOSTA,GERMAN AURELIO",100.0
"MALDONADO GRANIEL,LUIS ANGEL","MALDONADO GRANIEL,LUIS ANGEL",100.0
PELLICER GRAHAMFRANCISCO JULIO,PELLICER GRAHAMFRANCISCO JULIO,100.0
"ALCOCER VARELA,JORGE CARLOS","ALCOCER VARELA,JORGE CARLOS",100.0
"CELIS SANDOVAL,HELIODORO","CELIS SANDOVAL,HELIODORO",100.0
"REYES SANCHEZ,JOSE LUIS","REYES SANCHEZ,JOSE LUIS",100.0
"PONCE DE LEON ROSALES,SAMUEL","PONCE DE LEON ROSALES,SAMUEL",100.0
"PICK STEINER,SUSAN EMILY","PICK STEINER,SUSAN EMILY",100.0
"MORA DELGADO,MARCO ANTONIO","MORA DELGADO,MARCO ANTONIO",100.0
"ZARATE DEL VALLE,PEDRO FAUSTINO","ZARATE DEL VALLE,PEDRO FAUSTINO",100.0
"ARANDA GOMEZ,JOSE JORGE","ARANDA GOMEZ,JOSE JORGE",100.0
"SALAZAR IBARGUEN,HUMBERTO ANTONIO","SALAZAR IBARGUEN,HUMBERTO ANTONIO",100.0
"ROJO ASENJO,ONOFRE","ROJO ASENJO,ONOFRE",100.0
"ESPIN OCAMPO,ELDA GUADALUPE","ESPIN OCAMPO,ELDA GUADALUPE",100.0
"PALACIOS DE LA LAMA,RAFAEL RAUL","PALACIOS DE LA LAMA,RAFAEL RAUL",100.0
"FARIAS SANCHEZ,MARIO HUMBERTO","FARIAS SANCHEZ,MARIO HUMBERTO",100.0
"COTA ARAIZA,ERNESTO","COTA ARAIZA,ERNESTO",100.0
"DEL CASTILLO DAVILA,LUIS FELIPE","DEL CASTILLO DAVILA,LUIS FELIPE",100.0
"VENTURA JUAREZ,JAVIER","VENTURA JUAREZ,JAVIER",100.0
"RODRIGUEZ ZEPEDA,ROSALIO FERNANDO","RODRIGUEZ ZEPEDA,ROSALIO FERNANDO",100.0
"DOMINGUEZ ESQUIVEL,JOSE MANUEL","DOMINGUEZ ESQUIVEL,JOSE MANUEL",100.0
"PALACIOS VARGAS,GUADALUPE","PALACIOS VARGAS,GUADALUPE",100.0
PIÑA GARZA EDUARDO,PIÑA GARZA EDUARDO,100.0
"ESPINDOLA CASTRO,JUAN MANUEL","ESPINDOLA CASTRO,JUAN MANUEL",100.0
"SINGH SINGH,SHRI KRISHNA","SINGH SINGH,SHRI KRISHNA",100.0
"CORTES ZORRILLA,JOSE","CORTES ZORRILLA,JOSE",100.0
"MARTINEZ GOMEZ,LORENZO","MARTINEZ GOMEZ,LORENZO",100.0
"PAREDES LOPEZ,OCTAVIO","PAREDES LOPEZ,OCTAVIO",100.0
"FERREIRO SCHIAVI,EMILIA BEATRIZ MARIA","FERREIRO SCHIAVI,EMILIA BEATRIZ MARIA",100.0
"SAURI DUCH,ENRIQUE","SAURI DUCH,ENRIQUE",100.0
"ANDRADE NARVAEZ,FERNANDO JOSE","ANDRADE NARVAEZ, FERNANDO JOSE",98.30508474576271
"ARREGUIN SANCHEZ,FRANCISCO","ARREGUIN SANCHEZ,FRANCISCO",100.0
"DICKINSON BANNACK,FEDERICO HORACIO","DICKINSON BANNACK,FEDERICO HORACIO",100.0
"BARCENA GAMA,JOSE RICARDO","BARCENA GAMA,JOSE RICARDO",100.0
"LAGUNES TEJEDA,ANGEL","LAGUNES TEJEDA,ANGEL",100.0
"PARRA HAKE,MIGUEL PEDRO","PARRA HAKE,MIGUEL PEDRO",100.0
"SOMANATHAN,RATNASAMY","SOMANATHAN , RATNASAMY",95.23809523809523
"CARRILLO CALVET,HUMBERTO ANDRES","CARRILLO CALVET,HUMBERTO ANDRES",100.0
"VAZQUEZ PELAEZ,CARLOS GUSTAVO","VAZQUEZ PELAEZ,CARLOS GUSTAVO",100.0
"MARTINEZ RICHA,ANTONIO","MARTINEZ RICHA,ANTONIO",100.0
"RECAMIER ANGELINI,JOSE FRANCISCO","RECAMIER ANGELINI,JOSE FRANCISCO",100.0
"JAUREGUI RENAUD,ROCIO","JAUREGUI RENAUD,ROCIO",100.0
"MANCILLA PERCINO,TERESA","MANCILLA PERCINO,TERESA",100.0
"SOLORZA FERIA,OMAR","SOLORZA FERIA,OMAR",100.0
"PAZ SANDOVAL,MARIA DE LOS ANGELES","PAZ SANDOVAL,MARIA DE LOS ANGELES",100.0
"IBAÑEZ CORNEJO,JORGE GUILLERMO","IBAÑEZ CORNEJO,JORGE GUILLERMO",100.0
"CONTRERAS THEUREL,ROSALINDA","CONTRERAS THEUREL,ROSALINDA",100.0
"LAGUARDA FIGUERAS,ALFREDO","LAGUARDA FIGUERAS,ALFREDO",100.0
"BARRERA Y PEREZ,RUBEN GERARDO","BARRERA Y PEREZ,RUBEN GERARDO",100.0
"BRUNER E ITURBIDE,CARLOS ANTONIO","BRUNER E ITURBIDE,CARLOS ANTONIO",100.0
"CRUZ JIMENEZ,SALVADOR ANTONIO","CRUZ JIMENEZ,SALVADOR ANTONIO",100.0
