NOMBRE_INVENTOR,NOMBRE DEL INVESTIGADOR,Ratio,inventor_id,CVU
"MARTINEZ,LUIS","MARTINEZ ANDRADE,LUIS",83.0,,165889.0
"MENDOZA,MONICA","MENDEZ DIAZ,MONICA",83.0,fl:mo_ln:mendoza-1,25578.0
"MORALES,JORGE","MORALES MONTOR,JORGE",83.0,fl:jo_ln:morales-18,15566.0
"MORENO,ALEJANDRO","MORENO GOMEZ,ALEJANDRO",83.0,,592192.0
"MORENO,JAIME","MORENO PEREZ,JAIME",83.0,,16941.0
"OCAMPO,RAUL","OCAMPO PEREZ,RAUL",83.0,,160109.0
"PEREZ,CLAUDIA","PEREZ CRUZ,CLAUDIA",83.0,,39243.0
"PEREZ,IVAN","PEREZ DIAZ,IVAN",83.0,fl:iv_ln:perez-1,40913.0
"PEREZ,MARCOS","PEREZ SATO,MARCOS",83.0,fl:ma_ln:perez-48,37460.0
"PEREZ,RAFAEL","PEREZ PENA,RAFAEL",83.0,,458529.0
"QUINTANAR,DAVID","QUINTANAR GUERRERO,DAVID",83.0,,19540.0
"RAMIREZ,MANUEL","RAMIREZ ARANDA,MANUEL",83.0,,101752.0
"RAMIREZ,PEDRO","RAMIREZ GARCIA,PEDRO",83.0,,1430.0
"REYES,LUIS","REYES MURO,LUIS",83.0,,120660.0
"RIVERA,RAFAEL","RIVERA LOPEZ,RAFAEL",83.0,,336746.0
"ROBLES,ROGELIO","ROBLES LOPEZ,ROGELIO",83.0,,391608.0
"SANCHEZ,ALBERTO","SANCHEZ MEDINA,ALBERTO",83.0,fl:al_ln:pulidosanchez-1,39502.0
"SANCHEZ,CESAR","SANCHEZ OCAMPO,CESAR",83.0,fl:ce_ln:sanchez-3,257267.0
"SANCHEZ,LAURA","SANCHEZ CHAPUL,LAURA",83.0,fl:la_ln:sanchez-3,122340.0
"SANTANA,MIGUEL ANGEL","SANTANA ARANDA,MIGUEL ANGEL",83.0,,31516.0
"VARGAS,RODRIGO","VARGAS RAMOS,RODRIGO",83.0,,40375.0
"VELASCO,MARCOS","VELASCO CAMPOS,MARCOS",83.0,,2984.0
"CONTRERAS,ALBERTO","CONTRERAS CRISTAN,ALBERTO",84.0,,20334.0
"FIGUEROA,CARLOS ALBERTO","FIGUEROA IBARRA,CARLOS ALBERTO",84.0,,12775.0
"GALLEGOS,MIGUEL ANGEL","GALLEGOS ROBLES,MIGUEL ANGEL",84.0,fl:mi_ln:gallegos-1,36608.0
"GONZALEZ,PEDRO","GONZALEZ ZAMORA,PEDRO",84.0,fl:pe_ln:gonzalez-4,407777.0
"GUTIERREZ,ALBERTO","GUTIERREZ BECERRA,ALBERTO",84.0,,160426.0
"HERNANDEZ,BENJAMIN","HERNANDEZ MARQUEZ,BENJAMIN",84.0,,484897.0
"HERNANDEZ,ROBERTO","HERNANDEZ RAYGOZA,ROBERTO",84.0,fl:ro_ln:hernandez-5,771883.0
"MARTINEZ,FEDERICO","MARTINEZ MONTES,FEDERICO",84.0,,2834.0
"MARTINEZ,ISMAEL","MARTINEZ CORTES,ISMAEL",84.0,,390987.0
"RODRIGUEZ,JUAN","RODRIGUEZ RAMIREZ,JUAN",84.0,,68180.0
"SANDOVAL,JOSE","SANDOVAL CORTES,JOSE",84.0,,39976.0
"WAELBROECK,HENRI","WAELBROECK GOGNEAUX,HENRI",84.0,,
"AVILES,CARLOS","AVILES CRUZ,CARLOS",85.0,,120690.0
"GARCIA,ARMANDO","GARCIA LUNA,ARMANDO",85.0,fl:al_ln:garciagonzalez-1,33303.0
"GARCIA,FERNANDO","GARCIA PAEZ,FERNANDO",85.0,fl:fe_ln:garcia-9,111885.0
"GARCIA,HECTOR","GARCIA NAVA,HECTOR",85.0,,46325.0
"GARCIA,JESUS","GARCIA DIAZ,JESUS",85.0,fl:je_ln:garcia-29,20438.0
"GARCIA,OSCAR","GARCIA LEAL,OSCAR",85.0,,122432.0
"GARCIA,RAFAEL","GARCIA RUIZ,RAFAEL",85.0,fl:ra_ln:garcia-30,388545.0
"HERMOSILLO,JORGE","HERMOSILLO VALADEZ,JORGE",85.0,,87822.0
"MENDEZ,ANTONIO","MENDEZ BLAS,ANTONIO",85.0,fl:an_ln:mendez-3,123735.0
"MORENO,JOSE ANTONIO","MORENO RAZO,JOSE ANTONIO",85.0,,100044.0
"VILLANUEVA,CARLOS","VILLANUEVA VALADEZ,CARLOS",85.0,,495260.0
"ALVAREZ,CARLOS","ALVAREZ MOYA,CARLOS",86.0,,217794.0
"BECERRIL,BALTAZAR","BECERRIL LUJAN,BALTAZAR",86.0,,2325.0
"CASTILLO,GABRIELA","CASTILLO PARRA,GABRIELA",86.0,,36150.0
"CASTILLO,JORGE","CASTILLO TEJAS,JORGE",86.0,,123090.0
"ESTRADA,JOSE LUIS","ESTRADA HAEN,JOSE LUIS",86.0,,33752.0
"GONZALEZ,ALEJANDRO","GONZALEZ GOMEZ,ALEJANDRO",86.0,fl:iv_ln:gonzalez-1,19731.0
"GONZALEZ,CLAUDIA","GONZALEZ GOMEZ,CLAUDIA",86.0,fl:cl_ln:gonzalez-4,239151.0
"GONZALEZ,FELIPE","GONZALEZ ORTIZ,FELIPE",86.0,,25365.0
"GONZALEZ,FERNANDO","GONZALEZ CERON,FERNANDO",86.0,fl:aa_ln:gonzalezcordova-1,161819.0
"GONZALEZ,JOSE","GONZALEZ TOVAR,JOSE",86.0,,340899.0
"GONZALEZ,JUAN CARLOS","GONZALEZ VIDAL,JUAN CARLOS",86.0,,25255.0
"GONZALEZ,JUAN MIGUEL","GONZALEZ LOPEZ,JUAN MIGUEL",86.0,fl:ju_ln:gonzalez-18,211801.0
"GONZALEZ,ROBERTO","GONZALEZ ACOLT,ROBERTO",86.0,,239953.0
"MARTINEZ,ANTONIO","MARTINEZ RICHA,ANTONIO",86.0,fl:ed_ln:martinez-12,534.0
"MARTINEZ,CARLOS EDUARDO","MARTINEZ NUNEZ,CARLOS EDUARDO",86.0,,565274.0
"MARTINEZ,EDUARDO","MARTINEZ MARIN,EDUARDO",86.0,,1051588.0
"MARTINEZ,HUGO","MARTINEZ OCHOA,HUGO",86.0,,768795.0
"MARTINEZ,JUAN CARLOS","MARTINEZ ROSAS,JUAN CARLOS",86.0,fl:ju_ln:martinezlaurent-1,45861.0
"MARTINEZ,MOISES","MARTINEZ MARES,MOISES",86.0,,121980.0
"MERCADO,EDUARDO","MERCADO CRUZ,EDUARDO",86.0,,215987.0
"RAMIREZ,MARIO","RAMIREZ LEPE,MARIO",86.0,,120106.0
"VALENCIA,ARTURO","VALENCIA ISLAS,ARTURO",86.0,,95964.0
"VAZQUEZ,LUIS","VAZQUEZ LEON,LUIS",86.0,fl:lu_ln:vazquez-3,6735.0
"VAZQUEZ,MARIA ELENA","VAZQUEZ LIRA,MARIA ELENA",86.0,fl:ma_ln:vazquez-7,585184.0
"VAZQUEZ,OSCAR","VAZQUEZ VERA,OSCAR",86.0,,164040.0
"VILLASENOR,LUIS","VILLASENOR PINEDA,LUIS",87.0,fl:lu_ln:villasenor-1,21224.0
"CADENA NAVA,RUBEN D","CADENA NAVA,RUBEN DARIO",88.0,,36135.0
