NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY,ES_MISMA_PERSONA,DETALLES,UBICACION_DATAF,UBICACION_INVENTOR,AÑO_PATENTE,PERIODOS_VALIDOS
"MARTINEZ MARES,MOISES","MARTINEZ,MOISES",8.636.363.636.363.630,True,Fecha [patente 2014] válida en: 2012-2015,"CIUDAD DE MEXICO,MEXICO","HOUSTON,US",2014,2012-2015
"MAS OLIVA,JAIME","MAS OLIVA,JAIME",100,True,"Fecha [patente 2017] válida en: 2016-2025, 2016-2036","CIUDAD DE MEXICO,MEXICO","SUCHIAPA,MX",2017,"2016-2025, 2016-2036"
"MASCORRO GALLARDO,JOSE OSCAR","MASCORRO GALLARDO,JOSE OSCAR",100,True,Similitud Nombre (100%),,,,
"MAYA FLORES,ETEL","MAYA FLORES,ETEL",100,True,Sin coincidencias,"SIN INSTITUCION,SIN INSTITUCION","MEXICO CITY,MX",2018,
"MEAS VONG,YUNNY","MEAS VONG,YUNNY",100,True,"Fecha [patente 2020] válida en: 2019-2033, 2019-2028","QUERETARO,MEXICO","QUERETARO,MX",2020,"2019-2033, 2019-2028"
"MEDINA MENDOZA,ANA KARINA","MEDINA MENDOZA,ANA KARINA",100,True,"Fecha [patente 2021] válida en: 2020-2022, 2020-2024","CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2021,"2020-2022, 2020-2024"
"MEJIA CENTENO,ISIDRO","MEJIA CENTENO,ISIDRO",100,True,Fecha [patente 2018] válida en: 2017-2020,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,2017-2020
"MEJIA PEREZ,GUSTAVO","MEJIA PEREZ,GUSTAVO",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","MATAMOROS,MX",2018,
"MELGAR FERNANDEZ,ROBERTO CARLOS","MELGAR FERNANDEZ,ROBERTO CARLOS",100,True,Similitud Nombre (100%),,,,
"MENA CERVANTES,VIOLETA YASMIN","MENA CERVANTES,VIOLETA YASMIN",100,True,Fecha [patente 2018] válida en: 2015-2018,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,2015-2018
"MENA CERVANTES,VIOLETA YASMIN","MENA CERVANTES,VIOLETA YAZMIN",9.642.857.142.857.140,True,Fecha [patente 2019] válida en: 2019-2022,"CIUDAD DE MEXICO,MEXICO","XICO,MX",2019,2019-2022
"MENDEZ TENORIO,ALFONSO","MENDEZ TENORIO,ALFONSO",100,True,Similitud Nombre (100%),,,,
"MENDOZA DE LA CRUZ,JOSE LUIS","MENDOZA DE LA CRUZ,JOSE LUIS",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","XICO,MX",2015,
"MENDOZA DE LA CRUZ,JOSE LUIS","MENDOZA DE LA CRUZ,JOSELUIS",9.705.882.352.941.170,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2014,
"MENDOZA DUARTE,MONICA ELVIRA","MENDOZA DUARTE,MONICA ELVIRA",100,True,Sin coincidencias,"CHIHUAHUA,MEXICO","CHIHUAHUA,MX",2017,
"MENDOZA,CARLOS","MENDOZA,CARLOS",100,True,Fecha [patente 2021] válida en: 2020-2024,"QUERETARO,MEXICO","MERIDA,MX",2021,2020-2024
"MENDEZ LOZANO,JESUS","MENDOZA,JESUS",85,True,Fecha [patente 2019] válida en: 2018-2021,"SINALOA,MEXICO","QUERETARO,MX",2019,2018-2021
"MENDEZ DIAZ,MONICA","MENDOZA,MONICA",8.333.333.333.333.330,True,Fecha [patente 2022] válida en: 2021-2023,"CIUDAD DE MEXICO,MEXICO","PUEBLA,MX",2022,2021-2023
"MENESES RUIZ,EDITH","MENESES RUIZ,EDITH",100,True,Fecha [patente 2021] válida en: 2020-2022,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2021,2020-2022
"MERCADO CRUZ,EDUARDO","MERCADO,EDUARDO",8.684.210.526.315.780,True,Sin coincidencias,"MEXICO,MEXICO","NAUCALPAN,MX",2001,
"GARCIA GARCIA,JESUS ALBERTO","MEXICANO GARCIA,JESUS ALBERTO",8.214.285.714.285.710,True,Fecha [patente 2022] válida en: 2021-2024,"COAHUILA DE ZARAGOZA,MEXICO","ACUITZIO DEL CANJE,MX",2022,2021-2024
"MIJAREZ CASTRO,RITO","MIJAREZ CASTRO,RITO",100,True,Fecha [patente 2017] válida en: 2015-2018,"MORELOS,MEXICO","TLALTIZAPAN,MX",2017,2015-2018
"MIKI YOSHIDA,MARIO","MIKI YOSHIDA,MARIO",100,True,"Fecha [patente 2020] válida en: 2020-2029, 2020-2036","CHIHUAHUA,MEXICO","CHIHUAHUA,MX",2020,"2020-2029, 2020-2036"
"MIRANDA GUERRERO,ROBERTO","MIRANDA GUERRERO,ROBERTO",100,True,Fecha [patente 2001] válida en: 2001-2004,"JALISCO,MEXICO","VILLA LUVIANOS,MX",2001,2001-2004
"MIRANDA OLVERA,ALMA DELIA","MIRANDA OLVERA,ALMA DELIA",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","XICO,MX",2018,
"MIRANDA LOPEZ,FRANCISCO","MIRANDA,FRANCISCO",85,True,Fecha [patente 2017] válida en: 2014-2018,"CIUDAD DE MEXICO,MEXICO","LUNAR LANE,MX",2017,2014-2018
"MIRELES JR. GARCIA,JOSE","MIRELES JR GARCIA,JOSE",9.857.142.857.142.850,True,Similitud Nombre (100%),,,,
"MIRIDONOV,SERGUEI","MIRIDONOV,SERGUEI",100,True,Fecha [patente 2004] válida en: 2002-2005,"BAJA CALIFORNIA,MEXICO","ENSENADA,MX",2004,2002-2005
"MOCTEZUMA BERTHIER,ANDRES EDUARDO","MOCTEZUMA BERTHIER,ANDRES EDUARDO",100,True,Fecha [patente 2019] válida en: 2018-2021,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2019,2018-2021
"MOLINA TORRES,JORGE","MOLINA TORRES,JORGE",100,True,Similitud Nombre (100%),,,,
"MONDRAGON GONZALEZ,RICARDO","MONDRAGON GONZALEZ,RICARDO",100,True,Sin coincidencias,"SIN INSTITUCION DE ADSCRIPCION,SIN INSTITUCION DE ADSCRIPCION","ESTADO DE MEXICO,MX",2023,
