NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY,ES_MISMA_PERSONA,DETALLES,UBICACION_DATAF,UBICACION_INVENTOR,AÑO_PATENTE,PERIODOS_VALIDOS
"CARRILLO FUENTEVILLA,ROBERTO","CARRILLO FUENTEVILLA,ROBERTO",100,True,Fecha [patente 2019] válida en: 2015-2019,"PUEBLA,MEXICO","SAN PEDRO GARZA GARCIA,MX",2019,2015-2019
"CARRILLO PEDROZA,FRANCISCO RAUL","CARRILLO PEDROZA,FRANCISCO RAUL",100,True,Similitud Nombre (100%),,,,
"CARRION VILLARNOVO,GLORIA LUZ LAURA","CARRION VILLARNOVO,GLORIA LUZ LAURA",100,True,Fecha [patente 2018] válida en: 2016-2019,"VERACRUZ DE IGNACIO DE LA LLAVE,MEXICO","VERACRUZ,MX",2018,2016-2019
"CARTAS ROSADO,ANA ROCIO","CARTAS ROSADO,ANA ROCIO",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2020,
"CASTANEDA LOPEZ,LUIS CARLOS","CASTANEDA LOPEZ,LUIS CARLOS",100,True,Fecha [patente 2018] válida en: 2018-2021,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,2018-2021
"CASTANO DE LA SERNA,ENRIQUE","CASTANO DE LA SERNA,ENRIQUE",100,True,Similitud Nombre (100%),,,,
"CASTANO MENESES,VICTOR MANUEL","CASTANO MENESES,VICTOR MANUEL",100,True,Similitud Nombre (100%),,,,
"CASTANON NAJERA,GUILLERMO","CASTANO,GUILLERMO",8.181.818.181.818.180,True,Fecha [patente 2020] válida en: 2018-2021,"TABASCO,MEXICO","TIJUANA,MX",2020,2018-2021
"CASTANON AVILA,GERARDO ANTONIO","CASTANON AVILA,GERARDO ANTONIO",100,True,Similitud Nombre (100%),,,,
"CASTILLEJOS ESCOBAR,ALFONSO HUMBERTO","CASTILLEJOS ESCOBAR,ALFONSO HUMBERTO",100,True,Similitud Nombre (100%),,,,
"CASTILLO BOCANEGRA,RAFAEL","CASTILLO BOCANEGRA,RAFAEL",100,True,"Fecha [patente 2019] válida en: 2017-2036, 2017-2021","CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2019,"2017-2036, 2017-2021"
"CASTILLO CERVANTES,SALVADOR","CASTILLO CERVANTES,SALVADOR",100,True,"Fecha [patente 2018] válida en: 2015-2019, 2015-2033","CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,"2015-2019, 2015-2033"
"CASTILLO TEJAS,JORGE","CASTILLO,JORGE",8.636.363.636.363.630,True,Fecha [patente 2021] válida en: 2018-2021,"TLAXCALA,MEXICO","IXMIQUILPAN,MX",2021,2018-2021
"CASTORENA CORTES,GLADYS TERESA","CASTORENA CORTES,GLADYS TERESA",100,True,Fecha [patente 2019] válida en: 2016-2019,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2019,2016-2019
"CASTREJON VACIO,FERNANDO","CASTREJON VACIO,FERNANDO",100,True,Similitud Nombre (100%),,,,
"CASTRO ROSAS,JAVIER","CASTRO ROSAS,JAVIER",100,True,Fecha [patente 2020] válida en: 2019-2023,"HIDALGO,MEXICO","IXMIQUILPAN,MX",2020,2019-2023
"CASTRO SOTELO,LAURA VERONICA","CASTRO SOTELO,LAURA VERONICA",100,True,Fecha [patente 2018] válida en: 2016-2019,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,2016-2019
"CASTRUITA DE LEON,GRISELDA","CASTRUITA DE LEON,GRISELDA",100,True,Fecha [patente 2017] válida en: 2016-2018,"COAHUILA DE ZARAGOZA,MEXICO","SALTILLO,MX",2017,2016-2018
"CEDENO VIVEROS,LUIS DANIEL","CEDENO VIVEROS,LUIS DANIEL",100,True,Similitud Nombre (100%),,,,
"CENDEJAS SANTANA,GABRIEL","CENDEJAS SANTANA,GABRIEL",100,True,Fecha [patente 2014] válida en: 2014-2016,"COAHUILA DE ZARAGOZA,MEXICO","MEXICO CITY,MX",2014,2014-2016
"CENDEJAS ZARAGOZA,LEOPOLDO","CENDEJAS ZARAGOZA,LEOPOLDO",100,True,Fecha [patente 2023] válida en: 2021-2024,"QUERETARO,MEXICO","EL OJITE,MX",2023,2021-2024
"CENTENO NOLASCO,GUILLERMO","CENTENO NOLASCO,GUILLERMO",100,True,Fecha [patente 2018] válida en: 2017-2020,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,2017-2020
"CERON CAMACHO,RICARDO","CERON CAMACHO,RICARDO",100,True,Fecha [patente 2019] válida en: 2019-2022,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2019,2019-2022
"CERVANTES TORRES,JACQUELYNNE BRENDA","CERVANTES TORRES,JACQUELYNNE BRENDA",100,True,Sin coincidencias,"SIN INSTITUCION DE ADSCRIPCION,SIN INSTITUCION DE ADSCRIPCION","MEXICO CITY,MX",2021,
"CEVADA MAYA,ENRIQUE","CEVADA MAYA,ENRIQUE",100,True,Fecha [patente 2019] válida en: 2017-2019,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2019,2017-2019
"CEVALLOS GAOS,ANA MARIA","CEVALLOS,ANA MARIA",880.952.381,True,Fecha [patente 2003] válida en: 2000-2003,"CIUDAD DE MEXICO,MEXICO","COYOACAN,MX",2003,2000-2003
"CHAGOYA Y HAZAS,VICTORIA EUGENIA","CHAGOYA HAZAS,VICTORIA EUGENIA",9.642.857.142.857.140,True,Similitud Nombre (100%),,,,
"CHAPELA CASTANARES,VICTOR MANUEL","CHAPELA CASTANARES,VICTOR MANUEL",100,True,Fecha [patente 2011] válida en: 2011-2015,"PUEBLA,MEXICO","CHOLULA,MX",2011,2011-2015
"CHAUHAN,GAURAV","CHAUHAN,GAURAV",100,True,Fecha [patente 2023] válida en: 2022-2025,"NUEVO LEON,MEXICO","MONTERREY,MX",2023,2022-2025
"CHAUVIN,ANNE LAURE PATRICIA","CHAUVIN,ANNE LAURE PATRICIA",100,True,Similitud Nombre (100%),,,,
"CHAVEZ GOMEZ,BENJAMIN","CHAVEZ GOMEZ,BENJAMIN",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2017,
"CHAVEZ MIYAUCHI,TOMAS EDUARDO","CHAVEZ MIYAUCHI,TOMAS EDUARDO",100,True,Fecha [patente 2016] válida en: 2015-2017,"SIN INSTITUCION DE ADSCRIPCION,SIN INSTITUCION DE ADSCRIPCION","MEXICO CITY,MX",2016,2015-2017
"CHAVEZ REYES,ARTURO","CHAVEZ REYES,ARTURO",100,True,Similitud Nombre (100%),,,,
"CHERNYKH,ANDREY","CHERKAS,ANDREY",8.333.333.333.333.330,True,Sin coincidencias,"BAJA CALIFORNIA,MEXICO","KRASNOZNAMENSK,RU",2020,
"CHICUREL UZIEL,RICARDO","CHICUREL UZIEL,RICARDO",100,True,Fecha [patente 2015] válida en: 2015-2019,"CIUDAD DE MEXICO,MEXICO","SUCHIAPA,MX",2015,2015-2019
"CHICUREL Y UZIEL,ENRIQUE JAIME","CHICUREL Y UZIEL,ENRIQUE JAIME",100,True,Fecha [patente 2016] válida en: 2015-2019,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2016,2015-2019
"CISNEROS DEVORA,RODOLFO","CISNEROS DEVORA,RODOLFO",100,True,Fecha [patente 2019] válida en: 2019-2022,"CIUDAD DE MEXICO,MEXICO","XICO,MX",2019,2019-2022
"COLLINS MARTINEZ,VIRGINIA HIDALINA","COLLINS MARTINEZ,VIRGINIA HIDOLINA",9.705.882.352.941.170,True,Fecha [patente 2018] válida en: 2018-2022,"CHIHUAHUA,MEXICO","CHIHUAHUA,MX",2018,2018-2022
"CONTRERAS DE LEON,JOSE EULALIO","CONTRERAS DE LEON,JOSE EULALIO",100,True,Sin coincidencias,"NUEVO LEON,MEXICO","AGUALEGUAS,MX",2013,
"CONTRERAS MASSE,ROBERTO ANTONIO","CONTRERAS MASSE,ROBERTO ANTONIO",100,True,Sin coincidencias,"CHIHUAHUA,MEXICO","CIUDAD JUAREZ,MX",2020,
"CONTRERAS RAMOS,SILVIA MARIBEL","CONTRERAS RAMOS,SILVIA MARIBEL",100,True,Fecha [patente 2020] válida en: 2019-2023,"CIUDAD DE MEXICO,MEXICO","GUADALAJARA,MX",2020,2019-2023
"CONTRERAS CRISTAN,ALBERTO","CONTRERAS,ALBERTO",8.461.538.461.538.460,True,Fecha [patente 2023] válida en: 2021-2024,"CIUDAD DE MEXICO,MEXICO","TOLUCA,MX",2023,2021-2024
"CONTRERAS CUEVAS,ANTONIO","CONTRERAS,ANTONIO",86,True,Fecha [patente 2022] válida en: 2022-2026,"CIUDAD DE MEXICO,MEXICO","AURORA,US",2022,2022-2026
"CORDOVA DIAZ,RENE KTNWA","CORDOVA DIAZ,RENE KTNWA",100,True,Fecha [patente 2017] válida en: 2015-2017,"NUEVO LEON,MEXICO","MONTERREY,MX",2017,2015-2017
"CORONA GALVAN,SERGIO","CORONA GALVAN,SERGIO",100,True,Sin coincidencias,"TAMAULIPAS,MEXICO","LAS ROZAS,ES",2021,
"CORONA VILLEGAS,MIGUEL","CORONA VILLEGAS,MIGUEL",100,True,Sin coincidencias,"SIN INSTITUCION DE ADSCRIPCION,SIN INSTITUCION DE ADSCRIPCION","CUERNAVACA,MX",2008,
"CORTES ESPINOSA,DIANA VERONICA","CORTES ESPINOSA,DIANA VERONICA",100,True,Similitud Nombre (100%),,,,
"CORTES JACOME,MARIA ANTONIA","CORTES JACOME,MARIA ANTONIA",100,True,Fecha [patente 2021] válida en: 2019-2022,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2021,2019-2022
"CORTES RAMIREZ,JORGE ARMANDO","CORTES RAMIREZ,JORGE ARMANDO",100,True,Fecha [patente 2012] válida en: 2010-2013,"NUEVO LEON,MEXICO","SAN MATEO DEL MAR,MX",2012,2010-2013
"CORTES CUEVAS,ARTURO","CORTES,ARTURO",8.157.894.736.842.100,True,Fecha [patente 2021] válida en: 2019-2022,"CIUDAD DE MEXICO,MEXICO","ESTADO DE MEXICO,MX",2021,2019-2022
"CORVERA POIRE,EUGENIA","CORVERA POIRE,EUGENIA",100,True,Similitud Nombre (100%),,,,
"CRUZ BARBA,LUIS EMILIO","CRUZ BARBA,LUIS EMILIO",100,True,Similitud Nombre (100%),,,,
"CRUZ CRUZ,GUILLERMO JESUS","CRUZ CRUZ,GUILLERMO JESUS",100,True,Fecha [patente 2013] válida en: 2010-2014,"MEXICO,MEXICO","XICO,MX",2013,2010-2014
"CRUZ MORALES,PABLO","CRUZ MORALES,PABLO",100,True,Fecha [patente 2019] válida en: 2017-2019,"GUANAJUATO,MEXICO","GUANAJUATO,MX",2019,2017-2019
"CUEVAS PACHECO ,GREGORIO","CUEVAS PACHECO,GREGORIO",100,True,Similitud Nombre (100%),,,,
"CUEVAS MORENO,RICARDO","CUEVAS,RICARDO",8.157.894.736.842.100,True,Fecha [patente 2021] válida en: 2019-2021,"TAMAULIPAS,MEXICO","QUERETARO,MX",2021,2019-2021
"DAVILA JIMENEZ,MARTIN MARINO","DAVILA JIMENEZ,MARTIN MARINO",100,True,Fecha [patente 2013] válida en: 2013-2015,"PUEBLA,MEXICO","PUEBLA,MX",2013,2013-2015
"DAVILA VAZQUEZ,GUSTAVO","DAVILA VAZQUEZ,GUSTAVO",100,True,Sin coincidencias,"JALISCO,MEXICO","GUADALAJARA,MX",2020,
"DE LA CRUZ CORDERO,RICARDO ABRAHAM","DE LA CRUZ CORDERO,RICARDO ABRAHAM",100,True,Sin coincidencias,"MORELOS,MEXICO","HUIXTLA,MX",2012,
"DE LA ROSA SANTAMARIA,ROBERTO","DE LA ROSA SANTAMARIA,ROBERTO",100,True,Sin coincidencias,"TABASCO,MEXICO","CARDENAS,MX",2021,
"DE LANGE,DIRK FREDERIK","DE LANGE,DIRK FREDERIK",100,True,Fecha [patente 2021] válida en: 2018-2021,"SAN LUIS POTOSI,MEXICO","SAN LUIS POTOSI,MX",2021,2018-2021
"DEL ANGEL VICENTE,PAZ","DEL ANGEL VICENTE,PAZ",100,True,Fecha [patente 2018] válida en: 2018-2020,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,2018-2020
"DEL RIO GARCIA,JUAN CARLOS","DEL RIO,JUAN CARLOS",8.333.333.333.333.330,True,Sin coincidencias,"MEXICO,MEXICO","MEXICO CITY,MX",2020,
"DELGADO COELLO,BLANCA ALICIA","DELGADO COELLO,BLANCA ALICIA",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","SUCHIAPA,MX",2017,
"DIAZ DE LA GARZA,ROCIO ISABEL","DIAZ DE LA GARZA,ROCIO ISABEL",100,True,Fecha [patente 2021] válida en: 2018-2021,"NUEVO LEON,MEXICO","MONTERREY,MX",2021,2018-2021
"DIAZ DE LEON GOMEZ,RAMON ENRIQUE","DIAZ DE LEON GOMEZ,RAMON ENRIQUE",100,True,Similitud Nombre (100%),,,,
"DIAZ DE LEON HERNANDEZ,JORGE NOE","DIAZ DE LEON HERNANDEZ,JORGE NOE",100,True,Fecha [patente 2017] válida en: 2015-2017,"BAJA CALIFORNIA,MEXICO","BAJA CALIFORNIA,MX",2017,2015-2017
"DIAZ FLEISCHER,FRANCISCO","DIAZ FLEISCHER,FRANCISCO",100,True,Similitud Nombre (100%),,,,
"DIAZ RUIZ,MARIA DE LOS ANGELES ARACELI","DIAZ RUIZ,MARIA DE LOS ANGELES ARACELI",100,True,Fecha [patente 2013] válida en: 2012-2015,"CIUDAD DE MEXICO,MEXICO","XICO,MX",2013,2012-2015
"DOMINGUEZ AGUILAR,MARCO ANTONIO","DOMINGUEZ AGUILAR,MARCO ANTONIO",100,True,Fecha [patente 2018] válida en: 2018-2021,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,2018-2021
"DOMINGUEZ CHAVEZ,JORGE GUILLERMO","DOMINGUEZ CHAVEZ,JORGE GUILLERMO",100,True,"Fecha [patente 2019] válida en: 2017-2019, 2018-2022","MORELOS,MEXICO","CUERNAVACA,MX",2019,"2017-2019, 2018-2022"
"DOMINGUEZ ESQUIVEL,JOSE MANUEL","DOMINGUEZ ESQUIVEL,JOSE MANUEL",100,True,Fecha [patente 2018] válida en: 2010-2019,"CIUDAD DE MEXICO,MEXICO","XICO,MX",2018,2010-2019
"DOMINGUEZ MALDONADO,JORGE ARTURO","DOMINGUEZ MALDONADO,JORGE ARTURO",100,True,Similitud Nombre (100%),,,,
"DOUDA,YOURI","DOUDA,YOURI",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2015,
"DUARTE VAZQUEZ,MIGUEL ANGEL","DUARTE VAZQUEZ,MIGUEL ANGEL",100,True,Fecha [patente 2012] válida en: 2011-2013,"QUERETARO,MEXICO","GUANAJUATO,MX",2012,2011-2013
"DURAN VALENCIA,CECILIA DE LOS ANGELES","DURAN VALENCIA,CECILIA DE LOS ANGELES",100,True,Fecha [patente 2019] válida en: 2017-2020,"CIUDAD DE MEXICO,MEXICO","VILLA DE COS,MX",2019,2017-2020
"ELIZALDE GONZALEZ,MARIA DE LA PAZ","ELIZALDE GONZALEZ,MARIA DE LA PAZ",100,True,Fecha [patente 2013] válida en: 2009-2013,"PUEBLA,MEXICO","PUEBLA,MX",2013,2009-2013
"ELIZALDE SILLER,HUGO RAMON","ELIZALDE SILLER,HUGO RAMON",100,True,Similitud Nombre (100%),,,,
"ELIZONDO RIOJAS,GUILLERMO","ELIZONDO RIOJAS,GUILLERMO",100,True,Similitud Nombre (100%),,,,
"ENRIQUEZ CARREJO,JOSE LUIS","ENRIQUEZ CARREJO,JOSE LUIS",100,True,Similitud Nombre (100%),,,,
"ESCOBAR AGUILAR,JOSE","ESCOBAR AGUILAR,JOSE",100,True,Fecha [patente 2021] válida en: 2017-2021,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2021,2017-2021
"ESCOBAR BARRIOS,VLADIMIR ALONSO","ESCOBAR BARRIOS,VLADIMIR ALONSO",100,True,Fecha [patente 2017] válida en: 2017-2020,"TAMAULIPAS,MEXICO","SAN LUIS POTOSI,MX",2017,2017-2020
"ESCOBAR HERNANDEZ,DANIEL","ESCOBAR HERNANDEZ,DANIEL",100,True,Sin coincidencias,"JALISCO,MEXICO","JALISCO,MX",2021,
"ESCOBAR VALDERRAMA,GERARDO","ESCOBAR VALDERRAMA,GERARDO",100,True,Fecha [patente 2010] válida en: 2006-2010,"SAN LUIS POTOSI,MEXICO","SAN LUIS POTOSI,MX",2010,2006-2010
"ESCUDERO URIBE,APOLO ZEUS","ESCUDERO URIBE,APOLO ZEUS",100,True,Similitud Nombre (100%),,,,
"ESPARZA GARCIA,FERNANDO JOSE","ESPARZA,FERNANDO",7.142.857.142.857.140,True,Fecha [patente 2014] válida en: 2010-2014,"CIUDAD DE MEXICO,MEXICO","REYNOSA,MX",2014,2010-2014
"ESPARZA FLORES,MIGUEL","ESPARZA,MIGUEL",8.333.333.333.333.330,True,Fecha [patente 2015] válida en: 2013-2015,"ZACATECAS,MEXICO","MEXICO CITY,MX",2015,2013-2015
"ESPINO SOLIS,GERARDO PAVEL","ESPINO SOLIS,GERARDO PAVEL",100,True,Fecha [patente 2018] válida en: 2018-2021,"MORELOS,MEXICO","DURANGO,MX",2018,2018-2021
"ESPINOSA ANDREWS,HUGO","ESPINOSA ANDREWS,HUGO",100,True,Fecha [patente 2020] válida en: 2017-2020,"JALISCO,MEXICO","ZAPOPAN,MX",2020,2017-2020
"ESPINOZA GONZALEZ,CARLOS JOSE","ESPINOZA GONZALEZ,CARLOS JOSE",100,True,Fecha [patente 2023] válida en: 2020-2023,"COAHUILA DE ZARAGOZA,MEXICO","SALTILLO,MX",2023,2020-2023
"ESPINOSA GARCIA,ANA CECILIA","ESPINOZA,CECILIA",6.932.367.149.758.450,True,Fecha [patente 2019] válida en: 2018-2021,"CIUDAD DE MEXICO,MEXICO","EL CONTROL,MX",2019,2018-2021
"ESQUIVEL MARTINEZ,JUAN MANUEL","ESQUIVEL,JUAN MANUEL",82,True,"Fecha [patente 2023] válida en: 2022-2026, 2022-2024","GUERRERO,MEXICO","MEXICO CITY,MX",2023,"2022-2026, 2022-2024"
"ESTRADA GARCIA,IRIS CITLALI ELVIRA","ESTRADA GARCIA,IRIS CITLATI ELVIRA",9.736.842.105.263.150,True,Similitud Nombre (97%),,,,
"ESTRADA GUEL,IVANOVICH","ESTRADA GUEL,IVANOVICH",100,True,Sin coincidencias,"CHIHUAHUA,MEXICO","CHIHUAHUA,MX",2010,
"ESTRADA VARGAS,ANA PAULA","ESTRADA VARGAS,ANA PAULA",100,True,Fecha [patente 2017] válida en: 2016-2018,"CIUDAD DE MEXICO,MEXICO","ZAPOPAN,MX",2017,2016-2018
"FARIAS MANCILLA,JOSE RURIK","FARIAS MANCILLA,JOSE RURIK",100,True,Fecha [patente 2014] válida en: 2013-2015,"CHIHUAHUA,MEXICO","CHIHUAHUA,MX",2014,2013-2015
"FEMAT FLORES,ALEJANDRO RICARDO","FEMAT FLORES,ALEJANDO RICARDO",9.848.484.848.484.840,True,Fecha [patente 2019] válida en: 2016-2020,"SAN LUIS POTOSI,MEXICO","SAN LUIS POTOSI,MX",2019,2016-2020
"FEMAT FLORES,ALEJANDRO RICARDO","FEMAT FLORES,ALEJANDRO RICARDO",100,True,Fecha [patente 2020] válida en: 2016-2020,"SAN LUIS POTOSI,MEXICO","SAN LUIS POTOSI,MX",2020,2016-2020
"FEREGRINO URIBE,CLAUDIA","FEREGRINO URIBE,CLAUDIA",100,True,Similitud Nombre (100%),,,,
"FERNANDEZ DE CASTRO PEREDO,JORGE","FERNANDEZ DE CASTRO,JORGE",9.222.222.222.222.220,True,Fecha [patente 2014] válida en: 2014-2017,"CIUDAD DE MEXICO,MEXICO","COATZACOALCOS,MX",2014,2014-2017
"FERNANDEZ FUENTES,ANTONIO","FERNANDEZ FUENTES,ANTONIO",100,True,Fecha [patente 2023] válida en: 2020-2024,"COAHUILA DE ZARAGOZA,MEXICO","EL CHUBASCO,MX",2023,2020-2024
"FERNANDEZ TAVIZON,SALVADOR","FERNANDEZ TAVIZON,SALVADOR",100,True,Fecha [patente 2023] válida en: 2023-2027,"COAHUILA DE ZARAGOZA,MEXICO","COAHUILA,MX",2023,2023-2027
"FERNANDEZ RUIZ,JUAN","FERNANDEZ,JUAN",8.913.043.478.260.860,True,Fecha [patente 2018] válida en: 2014-2018,"CIUDAD DE MEXICO,MEXICO","SUCHIAPA,MX",2018,2014-2018
"FERRAT TORRES,GERARDO","FERRAT TORRES,GERARDO",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2021,
"FERREIRA BATISTA,CESAR VICENTE","FERREIRA BATISTA,CESAR VICENTE",100,True,Fecha [patente 2013] válida en: 2010-2013,"MORELOS,MEXICO","TLALTIZAPAN,MX",2013,2010-2013
"FERRO FLORES,GUILLERMINA","FERRO FLORES,GUILLERMINA",100,True,Fecha [patente 2021] válida en: 2018-2022,"MEXICO,MEXICO","ESTADO DE MEXICO,MX",2021,2018-2022
"FIGUEROA YANEZ,LUIS JOEL","FIGUEROA YANEZ,LUIS JOEL",100,True,Similitud Nombre (100%),,,,
"FIGUEROA IBARRA,CARLOS ALBERTO","FIGUEROA,CARLOS ALBERTO",8.478.260.869.565.210,True,Fecha [patente 2022] válida en: 2015-2031,"PUEBLA,MEXICO","MONTERREY,MX",2022,2015-2031
"FLORES FLORES,RODOLFO","FLORES FLORES,RODOLFO",100,True,Similitud Nombre (100%),,,,
"FLORES GALLARDO,SERGIO GABRIEL","FLORES GALLARDO,SERGIO GABRIEL",100,True,Fecha [patente 2017] válida en: 2015-2018,"CHIHUAHUA,MEXICO","CHIHUAHUA,MX",2017,2015-2018
"FLORES OROPEZA,EUGENIO ALEJANDRO","FLORES OROPEZA,EUGENIO ALEJANDRO",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,
"FLORES RAMOS,MIGUEL ANGEL","FLORES RAMOS,MIGUEL ANGEL",100,True,Fecha [patente 2019] válida en: 2018-2020,"SIN INSTITUCION DE ADSCRIPCION,SIN INSTITUCION DE ADSCRIPCION","MEXICO CITY,MX",2019,2018-2020
"FLORES SANCHEZ,PATRICIA","FLORES SANCHEZ,PATRICIA",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,
"FLORES SANDOVAL,CESAR ANDRES","FLORES SANDOVAL,CESAR ANDRES",100,True,Fecha [patente 2018] válida en: 2018-2021,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,2018-2021
"FLORES SANTOS,LETICIA","FLORES SANTOS,LETICIA",100,True,Sin coincidencias,"MEXICO,MEXICO","CALIMAYA DE DIAZ GONZALEZ,MX",2021,
"FLORES VALDEZ,MARIO ALBERTO","FLORES VALDEZ,MARIO ALBERTO",100,True,Similitud Nombre (100%),,,,
"FLORES CURIEL,DANIEL","FLORES,DANIEL",8.157.894.736.842.100,True,Fecha [patente 2017] válida en: 2015-2018,"NUEVO LEON,MEXICO","METEPEC,MX",2017,2015-2018
"FLORES LOPEZ,EMIGDIO Z.","FLORES,EMIGDIO Z",8.070.175.438.596.490,True,Similitud Nombre (100%),,,,
"FLORES GARCIA,FERNANDO","FLORES,FERNANDO",8.157.894.736.842.100,True,"Fecha [patente 2000] válida en: 1999-2099, 1998-2099","CIUDAD DE MEXICO,MEXICO","BERKELEY,US",2000,"1999-2099, 1998-2099"
"FLORES LOPEZ,JOSE MANUEL","FLORES,JOSE MANUEL",8.333.333.333.333.330,True,Fecha [patente 2019] válida en: 2019-2021,"SIN INSTITUCION DE ADSCRIPCION,SIN INSTITUCION DE ADSCRIPCION","MEXICALI,MX",2019,2019-2021
"FLOTA BANUELOS,MANUEL ISRAEL","FLOTA BANUELOS,MANUEL ISRAEL",100,True,Similitud Nombre (100%),,,,
"FRAGOSO GONZALEZ,GLADIS DEL CARMEN","FRAGOSO GONZALEZ,GLADIS DEL CARMEN",100,True,Fecha [patente 2021] válida en: 2019-2023,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2021,2019-2023
"FUENTES AGUILAR,RITA QUETZIQUEL","FUENTES AGUILAR,RITA QUETZIQUEL",100,True,Fecha [patente 2023] válida en: 2021-2024,"JALISCO,MEXICO","JALISCO,MX",2023,2021-2024
"FUENTES MOYADO,SERGIO","FUENTES MOYADOS,SERGIO",9.827.586.206.896.550,True,Fecha [patente 2017] válida en: 2007-2017,"BAJA CALIFORNIA,MEXICO","BAJA CALIFORNIA,MX",2017,2007-2017
"FUENTES MOYADO,SERGIO","FUENTES,SERGIO",8.333.333.333.333.330,True,"Fecha [patente 2007] válida en: 2007-2016, 2007-2017","BAJA CALIFORNIA,MEXICO","ENSENADA,MX",2007,"2007-2016, 2007-2017"
"GALINDO ESQUIVEL,IGNACIO RENE","GALINDO ESQUIVEL,IGNACIO RENE",100,True,Fecha [patente 2017] válida en: 2015-2017,"GUANAJUATO,MEXICO","GUANAJUATO,MX",2017,2015-2017
"GALINDO SEVILLA,NORMA DEL CARMEN","GALINDO SEVILLA,NORMA DEL CARMEN",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","HUIXQUILUCAN DE DEGOLLADO,MX",2014,
"GALLEGOS ROBLES,MIGUEL ANGEL","GALLEGOS,MIGUEL ANGEL",8.478.260.869.565.210,True,Fecha [patente 2020] válida en: 2018-2021,"DURANGO,MEXICO","LA Y GRIEGA,MX",2020,2018-2021
"GAMBA AYALA,GERARDO","GAMBA,GERARDO",81.25,True,Fecha [patente 2007] válida en: 2004-2008,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2007,2004-2008
"GAMINO ROFFE,JOSE CARLOS","GAMIO ROFFE,JOSE  CARLOS",9.565.217.391.304.340,True,Fecha [patente 2009] válida en: 2006-2009,"CIUDAD DE MEXICO,MEXICO","CUILAPAM,MX",2009,2006-2009
"GARCIA CANTU,RIGOBERTO","GARCIA CANTU,RIGOBERTO",100,True,Similitud Nombre (100%),,,,
"GARCIA CASILLAS,PERLA ELVIA","GARCIA CASILLAS,PERLA ELVIA",100,True,"Fecha [patente 2007] válida en: 2005-2008, 2005-2007","CHIHUAHUA,MEXICO","CHIHUAHUA,MX",2007,"2005-2008, 2005-2007"
"GARCIA CERDA,LUIS ALFONSO","GARCIA CERDA,LUIS ALFONSO",100,True,Fecha [patente 2017] válida en: 2013-2017,"COAHUILA DE ZARAGOZA,MEXICO","SALTILLO,MX",2017,2013-2017
"GARCIA CRUZ,ISIDORO","GARCIA CRUZ,ISIDORO",100,True,Fecha [patente 2022] válida en: 2022-2024,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2022,2022-2024
"GARCIA DE LEON,ROBERTO","GARCIA DE LEON,ROBERTO",100,True,Fecha [patente 2018] válida en: 2015-2018,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,2015-2018
"GARCIA FLORES,BLANCA ESTELA","GARCIA FLORES,BLANCA ESTELA",100,True,Fecha [patente 2017] válida en: 2016-2019,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2017,2016-2019
"GARCIA GARCIA,GUILLERMO","GARCIA GARCIA,GUILLERMO",100,True,Fecha [patente 2019] válida en: 2018-2022,"JALISCO,MEXICO","GUADALAJARA,MX",2019,2018-2022
"GARCIA GONZALEZ,ALEJANDRO","GARCIA GONZALEZ,ALEJANDRO",100,True,Fecha [patente 2023] válida en: 2020-2023,"JALISCO,MEXICO","JALISCO,MX",2023,2020-2023
