NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY
"CASTELLANOS RODRIGUEZ,SERGIO","CASTELLANOS,SERGIO",84.375
"CASTILLEJOS ESCOBAR,ALFONSO HUMBERTO","CASTILLEJOS ESCOBAR,ALFONSO HUMBERTO",100
"CASTILLO BOCANEGRA,RAFAEL","CASTILLO BOCANEGRA,RAFAEL",100
"CASTILLO CERVANTES,SALVADOR","CASTILLO CERVANTES,SALVADOR",100
"CASTILLO PARRA,GABRIELA","CASTILLO,GABRIELA",8.636.363.636.363.630
"CASTILLO NONATO,JESUS","CASTILLO,JESUS J",7.644.927.536.231.880
"CASTILLO TEJAS,JORGE","CASTILLO,JORGE",8.636.363.636.363.630
"CASTORENA CORTES,GLADYS TERESA","CASTORENA CORTES,GLADYS TERESA",100
"CASTREJON VACIO,FERNANDO","CASTREJON VACIO,FERNANDO",100
"CAREAGA REYNA,GUILLERMO","CASTREZANA,GUILLERMO",8.043.478.260.869.560
"CASTRO ROSAS,JAVIER","CASTRO ROSAS,JAVIER",100
"CASTRO SOTELO,LAURA VERONICA","CASTRO SOTELO,LAURA VERONICA",100
"CASTRO ROCHA,ARTURO","CASTRO,ARTURO",8.333.333.333.333.330
"LEON CASTRO,ERNESTO","CASTRO,ERNESTO",8.529.411.764.705.880
"CASTRUITA DE LEON,GRISELDA","CASTRUITA DE LEON,GRISELDA",100
"CEDENO VIVEROS,LUIS DANIEL","CEDENO VIVEROS,LUIS DANIEL",100
"CENDEJAS SANTANA,GABRIEL","CENDEJAS SANTANA,GABRIEL",100
"CENDEJAS ZARAGOZA,LEOPOLDO","CENDEJAS ZARAGOZA,LEOPOLDO",100
"CENTENO NOLASCO,GUILLERMO","CENTENO NOLASCO,GUILLERMO",100
"CERON CAMACHO,RICARDO","CERON CAMACHO,RICARDO",100
"CERVANTES TORRES,JACQUELYNNE BRENDA","CERVANTES TORRES,JACQUELYNNE BRENDA",100
"CERVANTES ORTIZ,FRANCISCO","CERVANTES,FRANCISCO",87.5
"CERVANTES ORTIZ,FRANCISCO","CERVANTES,FRANCISCO J",82.5
"CERVANTES PEREZ,JUAN","CERVANTES,JUAN",87.5
"CEVADA MAYA,ENRIQUE","CEVADA MAYA,ENRIQUE",100
"CEVALLOS GAOS,ANA MARIA","CEVALLOS,ANA MARIA",880.952.381
"CHAGOYA Y HAZAS,VICTORIA EUGENIA","CHAGOYA HAZAS,VICTORIA EUGENIA",9.642.857.142.857.140
"CHAPELA CASTANARES,VICTOR MANUEL","CHAPELA CASTANARES,VICTOR MANUEL",100
"CHAUHAN,GAURAV","CHAUHAN,GAURAV",100
"CHAUVIN,ANNE LAURE PATRICIA","CHAUVIN,ANNE LAURE PATRICIA",100
"CHAVEZ GOMEZ,BENJAMIN","CHAVEZ GOMEZ,BENJAMIN",100
"CHAVEZ MIYAUCHI,TOMAS EDUARDO","CHAVEZ MIYAUCHI,TOMAS EDUARDO",100
"CHAVEZ REYES,ARTURO","CHAVEZ REYES,ARTURO",100
"CHERNYKH,ANDREY","CHERKAS,ANDREY",8.333.333.333.333.330
"CHICUREL UZIEL,RICARDO","CHICUREL UZIEL,RICARDO",100
"CHICUREL Y UZIEL,ENRIQUE JAIME","CHICUREL Y UZIEL,ENRIQUE JAIME",100
"CISNEROS DEVORA,RODOLFO","CISNEROS DEVORA,RODOLFO",100
"COLLINS MARTINEZ,VIRGINIA HIDALINA","COLLINS MARTINEZ,VIRGINIA HIDOLINA",9.705.882.352.941.170
"CONTRERAS DE LEON,JOSE EULALIO","CONTRERAS DE LEON,JOSE EULALIO",100
"CONTRERAS MASSE,ROBERTO ANTONIO","CONTRERAS MASSE,ROBERTO ANTONIO",100
"CONTRERAS RAMOS,SILVIA MARIBEL","CONTRERAS RAMOS,SILVIA MARIBEL",100
"CONTRERAS CRISTAN,ALBERTO","CONTRERAS,ALBERTO",8.461.538.461.538.460
"CONTRERAS CUEVAS,ANTONIO","CONTRERAS,ANTONIO",86
"CONTRERAS JUAREZ,ROBERTO","CONTRERAS,ROBERTO",86
"CORDOVA DIAZ,RENE KTNWA","CORDOVA DIAZ,RENE KTNWA",100
"CORELLA MADUENO,MARIA ALBA GUADALUPE","CORELLA,MARIA ALBA GUADALUPE",8.181.818.181.818.180
"CORONA GALVAN,SERGIO","CORONA GALVAN,SERGIO",100
"CORONA VILLEGAS,MIGUEL","CORONA VILLEGAS,MIGUEL",100
