Nombre Inventor
"Guajardo Gonzalez,Karla Morena"
"Marquez Vaca,Kevin"
"Luna Ramirez,Maria del Rosario Socorro"
"Martinez Guerrero,Maria del Carmen"
"Contreras De Leon,Jose Eulalio"
"Strange Zenteno,Leobardo Stephen Lincoln"
"A Barrera,Leonel"
"Flores Santos,Leticia"
"Alonso Vazquez,Liliana"
"Osuna Ibarra,Linda Patricia"
"POSSANI POSTAY,Lourival Domingos"
"Sanchez Fernandez,Lucia del Carmen"
"A Arroyo,Luis"
"Duran Hernandez,Luis Alberto"
"Garcia Cortes,Luis Angel"
"Ramirez Ortiz,Luis Angel"
"Bravo Castillo,Luis Armando"
"Becerril,Luis"
"Rios Castaneda,Luis Camilo"
"E Canedo,Luis"
"Estrada Flores,Luis"
"Loo Zazueta,Luis Fernando"
"Gonzalez Rodriguez,Luis"
"Javier Aguilar,Luis"
"Pando Rodriguez,Luis Javier"
"RIVERA CRUZ,Luis Javier"
"Martinez Layseca,Luis Joaquin"
"Martin,Luis"
"Franco Caballero,Luis Miguel"
"Castro Cabrera,Luis Orlando"
"Rabasa,Luis"
"Salazar Olivio,Luis"
"Vazquez,Luis"
"Villalobos,Luis"
"Vite Cadena,Manuel Alejandro"
"Leon,Manuel"
"Oyervides Garcia,Manuel"
"Sanchez,Manuel"
"Vazquez,Manuel"
"Montemayor Cavazos,Marcel"
"Arizpe Rodriguez,Marcela Veronica"
"Gonzalez Garcia,Marco Antonio"
"Hidrogo Ordaz,Marco Antonio"
"Sanchez,Marco"
"Fragoso Iniguez,Marcos Ahuizotl"
"Cepeda Garcia,Maria del Mar"
"Arzola Garcia,Maria del Pilar"
"Elena Vazquez,Maria"
"Pulido Plauchud,Maria Fernanda"
"Fernandez Trevino,Maria"
"Gonzalez,Maria"
"Bravo Solis,Maria Nohemi"
"Teresa Guerra Reyes,Maria"
"Teresa Mata Gonzalez,Maria"
"Medina Huerta,Mario Alejandro"
"Contreras Sosa,Mario"
"Garcia Lannoy,Mario"
"Sandate Aguilar,Mario Sergio"
"Zamorano Fragoso,Martin"
"la Garza,Mauricio de"
"Ferrusca Ceja,Mauricio Enrique"
"Gutierrez Romero,Mauricio Javier"
"Zambrano,Mauricio"
"Herrera Gutierrez,Michelle Carolina"
"Arias Estrada,Miguel"
"Arroyo Ortega,Miguel"
"Bernal Marin,Miguel"
"Bravo Zanoguera,Miguel"
"Camargo Soto,Miguel"
"Madero O'Brien,Miguel E"
"F Escobar,Miguel"
"Hernandez,Miguel"
"Morfin Diaz,Miguel"
"Appleby,Mike"
"G Shlyagin,Mikhail"
"Nieto Torres,Minerva"
"Lopez,Moises"
"Mendoza,Monica"
"Vasquez Henao,Nathali"
"Garcia Munoz,Norma Araceli"
"Beltran Salinas,Octavio"
"Parra Tabla,Octavio"
"Lantz,Ola"
"Antonio Ramirez,Omar"
"Hernandez Sanchez,Omar Rene"
"Mendoza Bravo,Omar Yuren"
"Santillan Godinez,Orlando"
"Alvarez,Oscar"
"Hernandez Cervantes,Oscar"
"Saavedra,Oscar"
"del Angel Marrufo,Pablo Alejandro"
"Molina Cardozo,Pablo Daniel"
"Gomez,Pablo"
"Vidales,Pablo"
"Duarte Escareno,Pablo Enrique"
"Luevano,Patricia"
"Luevano Gonzalez,Patricia"
"Olguin Lora,Patricia"
"Montoya,Pedro"
"Yabur Pacheco,Pedro"
"Leff Gelman,Philippe"
"Avalos Guzman,Rafael"
"Valadez Castillo,Rafael"
"Aguilar Armendariz,Ramon Alberto"
"G Medina,Ramon Oswaldo"
"PARRA MICHEL,Ramon"
"Galaz Mendez,Ramses"
"Caballero,Raul"
"Campogarrido,Raul"
"Dominguez Palestino,Raul"
"G Enriquez,Raul"
"Navarro Mascarell,Raul"
"De La Cruz Cordero,Ricardo Abraham"
"Lopez Guajardo,Ricardo Alejandro"
"Benavides Perez,Ricardo"
"Cano,Ricardo"
"Elizondo Costa,Ricardo"
"Jimenez,Ricardo"
"Rey Diez,Ricardo"
"Sanchez Ortega,Ricardo"
"C Medellin,Roberto"
"C Narro,Roberto"
"Carrillo Fuentevilla,Roberto"
"Cruz,Roberto"
"Flores Ortega,Roberto"
"Miranda Guerrero,Roberto"
"Morales,Roberto"
"Octaviano Flores Serrano,Roberto"
"Olvera Camacho,Roberto"
"Ramirez Delgado,Roberto"
"Kretschmer Schmid,Roberto Rodolfo"
"Sonabend,Roberto"
"Flores Flores,Rodolfo"
"Ramirez,Rodolfo"
